case_label,geometry_class,strength_multiplier,case_status,manuscript_role,final_displacement_um,broken_bonds_at_endpoint,first_event_displacement_um,damaged_mother_pebbles,peak_top_force_N,final_inter_pebble_force_sum_N,final_top_reachable_mothers,final_bottom_reachable_from_top,final_spanning_force_graph,evidence_state,plot_broken_bonds,plot_first_break_um,latest_top_displacement_um,latest_broken_bonds_estimate,first_log_break_displacement_um,final_restart_exists,geometry_label,plot_force_sum_N,plot_top_reachable,plot_bottom_reachable,marker_size
seed02_nominal,intact_geometry,1.0,completed_postprocessed,intact geometry baseline,60.0,0,,0,0.052697753,0.2527022955195097,67,18,1,completed,0,,,,,,Intact geometry,0.2527022955195097,67,18,36.0
seed02_strength0p5,intact_geometry,0.5,completed_postprocessed,existing weakened-bond intact control,60.0,0,,0,0.052698126,0.2526280110783732,67,18,1,completed,0,,,,,,Intact geometry,0.2526280110783732,67,18,36.0
seed02_strength0p25,intact_geometry,0.25,completed_postprocessed,existing weakened-bond intact control,60.0,0,,0,0.052698126,0.2526280110783732,67,18,1,completed,0,,,,,,Intact geometry,0.2526280110783732,67,18,36.0
seed04_nominal,early_cracking,1.0,completed_postprocessed,nominal early-cracking baseline,60.0,10,19.0,2,0.33760013,0.5754712409648477,46,10,1,completed,10,19.0,,,,,Early-cracking geometry,0.5754712409648477,46,10,67.6227766016838
seed06_nominal,synchronous_cracking,1.0,completed_postprocessed,nominal synchronous-cracking baseline,60.0,10,39.0,2,0.29132371,0.9447621714911172,72,12,1,completed,10,39.0,,,,,Synchronous-cracking geometry,0.9447621714911172,72,12,67.6227766016838
seed04_strength0p75,early_cracking,0.75,completed_postprocessed,material-property dependence on an early-cracking geometry,60.0,10,19.0,2,0.33998017,1.3275441519827584,53,12,1,completed,10,19.0,60.0,10.0,15.0,1.0,Early-cracking geometry,1.3275441519827584,53,12,67.6227766016838
seed04_strength0p5,early_cracking,0.5,completed_postprocessed,material-property dependence on an early-cracking geometry,60.0,10,19.0,2,0.2334851,1.1956111326061798,62,13,1,completed,10,19.0,60.0,10.0,9.0,1.0,Early-cracking geometry,1.1956111326061798,62,13,67.6227766016838
seed04_strength0p25,early_cracking,0.25,completed_postprocessed,material-property dependence on an early-cracking geometry,60.0,15,19.0,2,0.16683102,0.8708695396361767,56,13,1,completed,15,19.0,60.0,15.0,5.0,1.0,Early-cracking geometry,0.8708695396361767,56,13,74.72983346207417
seed06_strength0p75,synchronous_cracking,0.75,completed_postprocessed,material-property dependence on a synchronous-cracking geometry,60.0,10,29.0,2,0.25539362,1.1797217011143295,79,14,1,completed,10,29.0,60.0,10.0,27.0,1.0,Synchronous-cracking geometry,1.1797217011143295,79,14,67.6227766016838
seed06_strength0p5,synchronous_cracking,0.5,completed_postprocessed,material-property dependence on a synchronous-cracking geometry,60.0,10,19.0,2,0.22583559,0.8530619257881701,73,14,1,completed,10,19.0,60.0,10.0,19.0,1.0,Synchronous-cracking geometry,0.8530619257881701,73,14,67.6227766016838
seed06_strength0p25,synchronous_cracking,0.25,completed_postprocessed,material-property dependence on a synchronous-cracking geometry,60.0,15,19.0,3,0.16569605,0.7472596833685103,76,10,1,completed,15,19.0,60.0,15.0,15.0,1.0,Synchronous-cracking geometry,0.7472596833685103,76,10,74.72983346207417
