Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,6000,0,0,0,0,0,0,0
1000,6000,4.4286606e-20,1e-05,0,0,80676,0,80676
2000,6000,5.8485423e-22,2e-05,0,0,0,0,80676
3000,6000,9.3055157e-24,3e-05,0,0,0,0,80676
4000,6000,3.4029445e-24,4e-05,0,0,0,0,80676
5000,6000,3.4140334e-24,5e-05,0,0,0,0,80676
6000,6000,6.4079091e-09,6e-05,0.16048347,0,0,68,80608
7000,6000,1.8105041e-08,7e-05,0.48005107,0,0,144,80464
8000,6000,2.8839395e-07,8e-05,24.181654,0,0,0,80464
9000,6000,2.911275e-07,9e-05,23.161635,0,0,204,80260
10000,6000,1.3737237e-07,0.0001,14.987673,0,0,204,80056
11000,6000,4.8648805e-07,0.00011,27.31645,0,0,152,79904
12000,6000,2.4903908e-07,0.00012,18.871129,0,0,252,79652
13000,6000,3.4528469e-07,0.00013,16.294818,0,0,312,79340
14000,6000,7.6357793e-07,0.00014,36.057581,0,0,112,79228
15000,6000,1.0048473e-06,0.00015,45.154864,0,0,200,79028
16000,6000,2.1007764e-06,0.00016,66.011005,0,0,108,78920
17000,6000,2.5985676e-06,0.00017,73.850564,0,0,56,78864
18000,6000,2.8981707e-06,0.00018,78.015576,0,0,0,78864
19000,6000,2.9554987e-06,0.00019,78.858411,0,0,12,78852
20000,6000,2.9733083e-06,0.0002,79.104904,0,0,0,78852
21000,6000,2.9852621e-06,0.00021,79.391947,0,0,0,78852
22000,6000,2.9862791e-06,0.00022,79.420448,0,0,0,78852
23000,6000,2.9868223e-06,0.00023,79.441288,0,0,0,78852
24000,6000,2.9867982e-06,0.00024,79.451799,0,0,0,78852
25000,6000,2.9869735e-06,0.00025,79.462925,0,0,0,78852
26000,6000,2.9873177e-06,0.00026,79.474379,0,0,0,78852
27000,6000,2.9876323e-06,0.00027,79.483481,0,0,0,78852
28000,6000,2.9898846e-06,0.00028,79.540244,0,0,0,78852
29000,6000,2.9911166e-06,0.00029,79.562397,0,0,0,78852
30000,6000,2.5470134e-06,0.0003,72.731369,0,0,52,78800
31000,6000,2.7053945e-06,0.00031,75.505144,0,0,52,78748
32000,6000,2.9075872e-06,0.00032,78.302891,0,0,0,78748
33000,6000,2.9591824e-06,0.00033,79.019933,0,0,0,78748
34000,6000,2.9740529e-06,0.00034,79.236751,0,0,0,78748
35000,6000,2.9778548e-06,0.00035,79.302147,0,0,0,78748
36000,6000,2.9866592e-06,0.00036,79.436951,0,0,0,78748
37000,6000,2.5976653e-06,0.00037,81.711122,0,0,0,78748
38000,6000,3.0962413e-06,0.00038,80.808811,0,0,105,78643
39000,6000,2.6840991e-06,0.00039,82.881287,0,0,7,78636
40000,6000,1.9530745e-06,0.0004,61.877945,0,0,355,78281
41000,6000,1.4831163e-06,0.00041,53.750068,0,0,184,78097
42000,6000,1.7200807e-06,0.00042,57.471073,0,0,112,77985
43000,6000,4.2213179e-06,0.00043,62.357999,0,0,74,77911
44000,6000,1.5573419e-06,0.00044,53.429522,0,0,237,77674
45000,6000,1.2576982e-06,0.00045,49.694266,0,0,185,77489
46000,6000,1.859788e-06,0.00046,71.41216,0,0,67,77422
47000,6000,2.1718096e-06,0.00047,69.553401,0,0,277,77145
48000,6000,1.6093732e-06,0.00048,59.47912,0,0,221,76924
49000,6000,1.533644e-06,0.00049,63.359457,0,0,189,76735
50000,6000,2.3723654e-06,0.0005,79.287834,0,0,140,76595
51000,6000,2.2662846e-06,0.00051,78.940215,0,0,160,76435
52000,6000,1.6069493e-06,0.00052,70.493185,0,0,402,76033
53000,6000,1.6344558e-06,0.00053,69.317521,0,0,309,75724
54000,6000,2.0482907e-06,0.00054,74.619766,0,0,181,75543
55000,6000,2.1333993e-06,0.00055,84.096155,0,0,143,75400
56000,6000,3.0341547e-06,0.00056,103.52617,0,0,102,75298
57000,6000,2.7603112e-06,0.00057,96.789156,0,0,251,75047
58000,6000,2.7626151e-06,0.00058,91.201314,0,0,280,74767
59000,6000,2.917568e-06,0.00059,100.41484,0,0,126,74641
60000,6000,4.2915536e-06,0.0006,116.13081,0,0,127,74514
61000,6000,5.7219701e-06,0.00061,118.02736,0,0,281,74233
62000,6000,3.449287e-06,0.00062,108.87584,0,0,154,74079
63000,6000,3.2475127e-06,0.00063,103.32204,0,0,273,73806
64000,6000,3.2700706e-06,0.00064,103.5527,0,0,189,73617
65000,6000,3.4642951e-06,0.00065,106.97823,0,0,105,73512
66000,6000,3.3422666e-06,0.00066,110.86891,0,0,102,73410
67000,6000,3.6798998e-06,0.00067,118.03698,0,0,104,73306
68000,6000,4.6500608e-06,0.00068,125.44665,0,0,130,73176
69000,6000,3.9977063e-06,0.00069,123.43626,0,0,109,73067
70000,6000,3.5162442e-06,0.0007,110.02991,0,0,254,72813
71000,6000,3.7111202e-06,0.00071,111.98988,0,0,205,72608
72000,6000,3.7761377e-06,0.00072,115.71511,0,0,105,72503
73000,6000,3.4950284e-06,0.00073,114.80915,0,0,151,72352
74000,6000,3.6761572e-06,0.00074,120.75861,0,0,128,72224
75000,6000,3.5860295e-06,0.00075,118.35257,0,0,188,72036
76000,6000,3.586425e-06,0.00076,116.65697,0,0,195,71841
77000,6000,3.2327433e-06,0.00077,103.32642,0,0,312,71529
78000,6000,3.2000968e-06,0.00078,105.9956,0,0,173,71356
79000,6000,3.7536131e-06,0.00079,121.06221,0,0,89,71267
80000,6000,5.86754e-06,0.0008,128.92299,0,0,127,71140
