Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,6000,0,0,0,0,0,0,0
1000,6000,2.4980085e-11,1e-05,0,-0.059424835,80676,0,80676
2000,6000,1.8318087e-11,2e-05,0,-0.0013369414,0,0,80676
3000,6000,1.4509063e-11,3e-05,0,0.0010312381,0,0,80676
4000,6000,1.1511507e-11,4e-05,0,0.0010069149,0,0,80676
5000,6000,9.1475837e-12,5e-05,0,0.00089399518,0,0,80676
6000,6000,6.4151899e-09,6e-05,0.16048347,0.000790461,0,68,80608
7000,6000,1.8110846e-08,7e-05,0.48005107,0.00069899094,0,144,80464
8000,6000,2.8839858e-07,8e-05,24.181654,0.0006182289,0,0,80464
9000,6000,2.9113121e-07,9e-05,23.161635,0.00054699115,0,204,80260
10000,6000,1.3737534e-07,0.0001,14.987673,0.0004840649,0,204,80056
11000,6000,4.8649044e-07,0.00011,27.31645,0.00042851985,0,152,79904
12000,6000,2.49041e-07,0.00012,18.871129,0.00037939734,0,252,79652
13000,6000,3.4528624e-07,0.00013,16.294818,0.00033604802,0,312,79340
14000,6000,7.6357918e-07,0.00014,36.057581,0.00029770635,0,112,79228
15000,6000,1.0048483e-06,0.00015,45.154864,0.0002638166,0,200,79028
16000,6000,2.1007773e-06,0.00016,66.011005,0.00023385509,0,108,78920
17000,6000,2.5985683e-06,0.00017,73.850564,0.00020732601,0,56,78864
18000,6000,2.8981713e-06,0.00018,78.015576,0.00018388199,0,0,78864
19000,6000,2.9554991e-06,0.00019,78.858411,0.00016313008,0,12,78852
20000,6000,2.9733086e-06,0.0002,79.104904,0.00014476176,0,0,78852
21000,6000,2.9852624e-06,0.00021,79.391947,0.0001284895,0,0,78852
22000,6000,2.9862793e-06,0.00022,79.420448,0.00011410011,0,0,78852
23000,6000,2.9868225e-06,0.00023,79.441288,0.00010133936,0,0,78852
24000,6000,2.9867983e-06,0.00024,79.451799,9.0036379e-05,0,0,78852
25000,6000,2.9869736e-06,0.00025,79.462925,8.0024329e-05,0,0,78852
26000,6000,2.9873178e-06,0.00026,79.474379,7.1142051e-05,0,0,78852
27000,6000,2.9876324e-06,0.00027,79.483481,6.3272896e-05,0,0,78852
28000,6000,2.9898847e-06,0.00028,79.540244,5.6291835e-05,0,0,78852
29000,6000,2.9911167e-06,0.00029,79.562397,5.009229e-05,0,0,78852
30000,6000,2.5470135e-06,0.0003,72.731369,4.4594776e-05,0,52,78800
31000,6000,2.7053946e-06,0.00031,75.505144,3.9719407e-05,0,52,78748
32000,6000,2.9075872e-06,0.00032,78.302891,3.538671e-05,0,0,78748
33000,6000,2.9591824e-06,0.00033,79.019933,3.1536193e-05,0,0,78748
34000,6000,2.9740529e-06,0.00034,79.236751,2.8118506e-05,0,0,78748
35000,6000,2.9778549e-06,0.00035,79.302147,2.5077191e-05,0,0,78748
36000,6000,2.9866592e-06,0.00036,79.436951,2.2375567e-05,0,0,78748
37000,6000,2.5976653e-06,0.00037,81.711122,1.9974138e-05,0,0,78748
38000,6000,3.0962414e-06,0.00038,80.808811,1.7838479e-05,0,105,78643
39000,6000,2.6840992e-06,0.00039,82.881287,1.5935295e-05,0,7,78636
40000,6000,1.9530745e-06,0.0004,61.877945,1.4243679e-05,0,355,78281
41000,6000,1.4831163e-06,0.00041,53.750068,1.2731906e-05,0,184,78097
42000,6000,1.7200807e-06,0.00042,57.471073,1.1387972e-05,0,112,77985
43000,6000,4.2213179e-06,0.00043,62.357999,1.0190703e-05,0,74,77911
44000,6000,1.5573419e-06,0.00044,53.429522,9.1237122e-06,0,237,77674
45000,6000,1.2576982e-06,0.00045,49.694266,8.1704702e-06,0,185,77489
46000,6000,1.859788e-06,0.00046,71.41216,7.3217129e-06,0,67,77422
47000,6000,2.1718096e-06,0.00047,69.553401,6.5623523e-06,0,277,77145
48000,6000,1.6093732e-06,0.00048,59.47912,5.8856999e-06,0,221,76924
49000,6000,1.533644e-06,0.00049,63.359457,5.2808498e-06,0,189,76735
50000,6000,2.3723654e-06,0.0005,79.287834,4.7394497e-06,0,140,76595
51000,6000,2.2662846e-06,0.00051,78.940215,4.2559285e-06,0,160,76435
52000,6000,1.6069493e-06,0.00052,70.493185,3.8242003e-06,0,402,76033
53000,6000,1.6344558e-06,0.00053,69.317521,3.4366872e-06,0,309,75724
54000,6000,2.0482907e-06,0.00054,74.619766,3.0899538e-06,0,181,75543
55000,6000,2.1333993e-06,0.00055,84.096155,2.7794211e-06,0,143,75400
56000,6000,3.0341547e-06,0.00056,103.52617,2.5015629e-06,0,102,75298
57000,6000,2.7603112e-06,0.00057,96.789156,2.2523718e-06,0,251,75047
58000,6000,2.7626151e-06,0.00058,91.201314,2.0283044e-06,0,280,74767
59000,6000,2.917568e-06,0.00059,100.41484,1.8276119e-06,0,126,74641
60000,6000,4.2915536e-06,0.0006,116.13081,1.6478506e-06,0,127,74514
61000,6000,5.7219701e-06,0.00061,118.02736,1.4863596e-06,0,281,74233
62000,6000,3.449287e-06,0.00062,108.87584,1.3410817e-06,0,154,74079
63000,6000,3.2475127e-06,0.00063,103.32204,1.2104408e-06,0,273,73806
64000,6000,3.2700706e-06,0.00064,103.5527,1.0932732e-06,0,189,73617
65000,6000,3.4642951e-06,0.00065,106.97823,9.8758364e-07,0,105,73512
66000,6000,3.3422666e-06,0.00066,110.86891,8.9263914e-07,0,102,73410
67000,6000,3.6798998e-06,0.00067,118.03698,8.0694461e-07,0,104,73306
68000,6000,4.6500608e-06,0.00068,125.44665,7.2969533e-07,0,130,73176
69000,6000,3.9977063e-06,0.00069,123.43626,6.6030229e-07,0,109,73067
70000,6000,3.5162442e-06,0.0007,110.02991,5.9766506e-07,0,254,72813
71000,6000,3.7111202e-06,0.00071,111.98988,5.4147947e-07,0,205,72608
72000,6000,3.7761377e-06,0.00072,115.71511,4.9023035e-07,0,105,72503
73000,6000,3.4950284e-06,0.00073,114.80915,4.4449529e-07,0,151,72352
74000,6000,3.6761572e-06,0.00074,120.75861,4.0279246e-07,0,128,72224
75000,6000,3.5860295e-06,0.00075,118.35257,3.6531667e-07,0,188,72036
76000,6000,3.586425e-06,0.00076,116.65697,3.3135576e-07,0,195,71841
