Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,6000,0,0,0,0,0,0,0
1000,6000,2.129539e-22,5e-06,0,0,80676,0,80676
2000,6000,1.8061835e-22,1e-05,0,0,0,0,80676
3000,6000,1.3404579e-23,1.5e-05,0,0,0,0,80676
4000,6000,1.2688301e-23,2e-05,0,0,0,0,80676
5000,6000,6.9026193e-24,2.5e-05,0,0,0,0,80676
6000,6000,2.032471e-24,3e-05,0,0,0,0,80676
7000,6000,2.4413533e-24,3.5e-05,0,0,0,0,80676
8000,6000,1.9130614e-24,4e-05,0,0,0,0,80676
9000,6000,1.88131e-24,4.5e-05,0,0,0,0,80676
10000,6000,1.9651405e-10,5e-05,0.65274929,0,0,0,80676
11000,6000,1.4152131e-07,5.5e-05,0.13407985,0,0,68,80608
12000,6000,2.9940956e-08,6e-05,7.9752946,0,0,0,80608
13000,6000,7.5046409e-08,6.5e-05,12.058049,0,0,76,80532
14000,6000,7.4834573e-09,7e-05,2.7605933,0,0,68,80464
15000,6000,1.0346428e-07,7.5e-05,14.467478,0,0,0,80464
16000,6000,3.7370753e-07,8e-05,27.973408,0,0,0,80464
17000,6000,2.932002e-07,8.5e-05,24.275817,0,0,68,80396
18000,6000,4.4372939e-07,9e-05,29.833903,0,0,0,80396
19000,6000,5.6058372e-07,9.5e-05,33.64553,0,0,4,80392
20000,6000,6.3555862e-07,0.0001,36.097729,0,0,24,80368
