Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,6000,0,0,0,0,0,0,0
1000,6000,1.6568621e-06,1e-05,57.953577,0,80680,2016,78664
2000,6000,1.4921497e-06,2e-05,52.267161,0,0,284,78380
3000,6000,2.453888e-06,3e-05,69.622656,0,0,4,78376
4000,6000,2.7592211e-06,4e-05,74.614187,0,0,0,78376
5000,6000,2.8554843e-06,5e-05,76.313487,0,0,0,78376
6000,6000,2.9114969e-06,6e-05,77.457587,0,0,0,78376
7000,6000,2.9296153e-06,7e-05,77.889447,0,0,0,78376
8000,6000,2.9304911e-06,8e-05,77.97282,0,0,0,78376
9000,6000,2.9446229e-06,9e-05,78.299117,0,0,0,78376
10000,6000,2.9491165e-06,0.0001,78.407724,0,0,4,78372
11000,6000,2.9564234e-06,0.00011,78.546794,0,0,0,78372
12000,6000,2.9604577e-06,0.00012,78.63446,0,0,0,78372
13000,6000,2.5703622e-06,0.00013,71.848822,0,0,96,78276
14000,6000,2.7869553e-06,0.00014,74.949168,0,0,0,78276
15000,6000,2.8344841e-06,0.00015,75.646808,0,0,0,78276
16000,6000,2.0697128e-06,0.00016,63.600523,0,0,91,78185
17000,6000,1.9880591e-06,0.00017,61.468457,0,0,73,78112
18000,6000,2.3856297e-06,0.00018,67.856312,0,0,55,78057
19000,6000,2.7904419e-06,0.00019,75.42242,0,0,0,78057
20000,6000,2.7933128e-06,0.0002,75.624233,0,0,33,78024
21000,6000,2.8988716e-06,0.00021,77.311698,0,0,2,78022
22000,6000,2.9386721e-06,0.00022,78.019665,0,0,2,78020
23000,6000,2.9584771e-06,0.00023,78.387879,0,0,0,78020
24000,6000,2.9664119e-06,0.00024,78.578842,0,0,0,78020
25000,6000,2.9673033e-06,0.00025,78.657256,0,0,0,78020
26000,6000,2.969491e-06,0.00026,78.723195,0,0,0,78020
27000,6000,2.9672047e-06,0.00027,78.717852,0,0,0,78020
28000,6000,2.9672952e-06,0.00028,78.749611,0,0,0,78020
29000,6000,2.9672237e-06,0.00029,78.776615,0,0,0,78020
30000,6000,2.865026e-06,0.0003,77.284072,0,0,29,77991
31000,6000,2.9235992e-06,0.00031,78.12771,0,0,0,77991
32000,6000,2.9436246e-06,0.00032,78.404326,0,0,0,77991
33000,6000,2.9543938e-06,0.00033,78.575304,0,0,0,77991
34000,6000,2.9602966e-06,0.00034,78.658547,0,0,0,77991
35000,6000,2.9643507e-06,0.00035,78.713924,0,0,0,77991
36000,6000,3.3418203e-06,0.00036,83.242955,0,0,54,77937
37000,6000,3.3745269e-06,0.00037,83.838553,0,0,77,77860
38000,6000,2.9016819e-06,0.00038,82.33345,0,0,0,77860
39000,6000,2.8487433e-06,0.00039,82.218229,0,0,60,77800
40000,6000,2.6922223e-06,0.0004,83.764087,0,0,117,77683
41000,6000,2.6743591e-06,0.00041,85.802874,0,0,136,77547
42000,6000,3.1700512e-06,0.00042,100.24761,0,0,80,77467
43000,6000,3.3421241e-06,0.00043,97.262789,0,0,179,77288
44000,6000,8.9761757e-06,0.00044,70.848813,0,0,277,77011
45000,6000,1.8486503e-06,0.00045,71.009049,0,0,205,76806
46000,6000,2.4392748e-06,0.00046,83.480289,0,0,109,76697
47000,6000,3.1223146e-06,0.00047,96.852546,0,0,100,76597
48000,6000,3.0505676e-06,0.00048,98.536875,0,0,205,76392
49000,6000,2.7186898e-06,0.00049,86.199779,0,0,226,76166
50000,6000,2.9155556e-06,0.0005,99.319691,0,0,0,76166
51000,6000,5.7453579e-06,0.00051,92.44516,0,0,315,75851
52000,6000,2.3460984e-06,0.00052,82.792,0,0,205,75646
53000,6000,2.5332082e-06,0.00053,91.830147,0,0,128,75518
54000,6000,3.469973e-06,0.00054,90.238248,0,0,341,75177
55000,6000,2.7537825e-06,0.00055,87.829168,0,0,129,75048
56000,6000,2.8454465e-06,0.00056,97.070628,0,0,55,74993
57000,6000,2.7966692e-06,0.00057,93.59297,0,0,273,74720
58000,6000,2.4345425e-06,0.00058,87.103754,0,0,311,74409
59000,6000,4.2602228e-06,0.00059,102.35063,0,0,239,74170
60000,6000,2.9034074e-06,0.0006,93.424789,0,0,278,73892
61000,6000,2.4210823e-06,0.00061,88.272766,0,0,253,73639
62000,6000,5.1905838e-06,0.00062,106.35856,0,0,124,73515
63000,6000,3.2368492e-06,0.00063,111.07592,0,0,213,73302
64000,6000,3.5087536e-06,0.00064,83.618113,0,0,467,72835
65000,6000,1.9327675e-06,0.00065,77.318287,0,0,298,72537
66000,6000,2.1475136e-06,0.00066,77.716984,0,0,210,72327
67000,6000,2.4816449e-06,0.00067,95.80894,0,0,121,72206
68000,6000,2.5698787e-06,0.00068,92.872924,0,0,244,71962
69000,6000,2.7915477e-06,0.00069,97.332982,0,0,164,71798
70000,6000,2.968438e-06,0.0007,103.83577,0,0,165,71633
71000,6000,3.6516808e-06,0.00071,119.39222,0,0,70,71563
72000,6000,3.1784112e-06,0.00072,107.12106,0,0,252,71311
73000,6000,2.7217579e-06,0.00073,94.441544,0,0,259,71052
74000,6000,3.1362273e-06,0.00074,100.90448,0,0,130,70922
75000,6000,3.8756511e-06,0.00075,111.87082,0,0,86,70836
76000,6000,3.6899781e-06,0.00076,106.29937,0,0,180,70656
77000,6000,5.3979183e-06,0.00077,113.2287,0,0,155,70501
78000,6000,3.7374314e-06,0.00078,110.91543,0,0,116,70385
79000,6000,3.587696e-06,0.00079,114.58423,0,0,63,70322
80000,6000,3.9815213e-06,0.0008,121.97409,0,0,77,70245
