Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,6000,0,0
1,6000,0,0.005139
1,6000,0,-0,0,0,0,0,0
1000,6000,4.3625253e-10,-0,0,-2.3959733,0,140,80536
1001,6000,4.3614245e-10,0,0,-2.3956747,0,0,80536
1001,6000,4.3614245e-10,0,0,-4.7913496,0,0,0
2000,6000,3.4134433e-10,4.995e-07,0,-2.120017,0,0,80536
3000,6000,2.6950417e-10,9.995e-07,0,-1.8841766,0,0,80536
4000,6000,2.1454893e-10,1.4995e-06,0,-1.6813303,0,0,80536
5000,6000,1.7211021e-10,1.9995e-06,0,-1.505974,0,0,80536
6000,6000,1.3905274e-10,2.4995e-06,0,-1.3536722,0,0,80536
6001,6000,1.3902355e-10,2.5e-06,0,-1.3535301,0,0,80536
