metric,value
case_id,PB-003-staged-target1000
target_spacing_m,0.001
relax_steps,1000
compression_steps,20000
top_speed_m_s,1.0
expected_internal_bonds,80676
precompression_intact_bonds_after_relocation,80536
relocation_preload_broken_bonds,140
peak_top_force_N,26.155246
peak_top_force_displacement_mm,0.1
peak_bottom_force_N,2.3959749
peak_bottom_force_displacement_mm,0.0
final_intact_bonds,80324
compression_broken_bonds_after_relocation,212
total_broken_bonds_vs_expected_internal,352
first_compression_break_displacement_mm,0.079995
source_csv,data/processed/PB-003-staged-target1000_thermo.csv
