Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,6000,0,0
1,6000,0,0.005101
1,6000,0,-0,0,0,0,0,0
1000,6000,3.2286472e-09,-0,0,-6.4181275,0,0,80676
1001,6000,3.2268e-09,0,0,-6.4163559,0,0,80676
1001,6000,3.2268e-09,0,0,-12.832713,0,0,0
2000,6000,1.8912195e-09,4.995e-06,0,-4.9372602,0,0,80676
3000,6000,1.1730293e-09,9.995e-06,0,-3.8889135,0,0,80676
4000,6000,7.5873539e-10,1.4995e-05,0,-3.1242636,0,0,80676
5000,6000,5.0811555e-10,1.9995e-05,0,-2.5536902,0,0,80676
6000,6000,3.5057385e-10,2.4995e-05,0,-2.1201796,0,0,80676
7000,6000,2.4862644e-10,2.9995e-05,0,-1.7852661,0,0,80676
8000,6000,1.8168237e-10,3.4995e-05,0,-1.5253631,0,0,80676
9000,6000,1.3732232e-10,3.9995e-05,0,-1.3254981,0,0,80676
10000,6000,1.0935662e-10,4.4995e-05,0,-1.18262,0,0,80676
11000,6000,8.9108202e-11,4.9995e-05,0,-1.0671578,0,0,80676
12000,6000,7.3138541e-11,5.4995e-05,0,-0.96636339,0,0,80676
13000,6000,6.0422781e-11,5.9995e-05,0,-0.87792066,0,0,80676
14000,6000,5.0214235e-11,6.4995e-05,0,-0.79995632,0,0,80676
15000,6000,4.1958689e-11,6.9995e-05,0,-0.7309395,0,0,80676
16000,6000,3.5238611e-11,7.4995e-05,0,-0.66960769,0,0,80676
17000,6000,2.9735551e-11,7.9995e-05,0,-0.61491148,0,0,80676
18000,6000,2.5204106e-11,8.4995e-05,0,-0.56597235,0,0,80676
19000,6000,2.1453419e-11,8.9995e-05,0,-0.52204992,0,0,80676
20000,6000,6.9579837e-11,9.4995e-05,0.67773974,-0.48251684,0,0,80676
21000,6000,3.171884e-09,9.9995e-05,0.28090923,-0.44683845,0,68,80608
22000,6000,1.105091e-08,0.000104995,11.43376,-0.41455705,0,0,80608
23000,6000,4.5668664e-09,0.000109995,0.60192177,-0.38527899,0,144,80464
24000,6000,5.1132368e-09,0.000114995,5.7635086,-0.3586644,0,0,80464
25000,6000,5.5688466e-08,0.000119995,26.126208,-0.33441859,0,0,80464
25001,6000,5.5789002e-08,0.00012,26.150971,-0.33439544,0,0,80464
