Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
1.0,6000.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
1000.0,6000.0,0.0,-0.0,0.0,0.0,0.0,0.0,80676.0
1001.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,80676.0
2000.0,6000.0,0.0,4.995e-06,0.0,0.0,0.0,0.0,80676.0
3000.0,6000.0,0.0,9.995e-06,0.0,0.0,0.0,0.0,80676.0
4000.0,6000.0,0.0,1.4995e-05,0.0,0.0,0.0,0.0,80676.0
5000.0,6000.0,0.0,1.9995e-05,0.0,0.0,0.0,0.0,80676.0
6000.0,6000.0,0.0,2.4995e-05,0.0,0.0,0.0,0.0,80676.0
7000.0,6000.0,0.0,2.9995e-05,0.0,0.0,0.0,0.0,80676.0
8000.0,6000.0,0.0,3.4995e-05,0.0,0.0,0.0,0.0,80676.0
9000.0,6000.0,0.0,3.9995e-05,0.0,0.0,0.0,0.0,80676.0
10000.0,6000.0,0.0,4.4995e-05,0.0,0.0,0.0,0.0,80676.0
11000.0,6000.0,0.0,4.9995e-05,0.0,0.0,0.0,0.0,80676.0
12000.0,6000.0,0.0,5.4995e-05,0.0,0.0,0.0,0.0,80676.0
13000.0,6000.0,0.0,5.9995e-05,0.0,0.0,0.0,0.0,80676.0
14000.0,6000.0,0.0,6.4995e-05,0.0,0.0,0.0,0.0,80676.0
15000.0,6000.0,0.0,6.9995e-05,0.0,0.0,0.0,0.0,80676.0
16000.0,6000.0,0.0,7.4995e-05,0.0,0.0,0.0,0.0,80676.0
17000.0,6000.0,0.0,7.9995e-05,0.0,0.0,0.0,0.0,80676.0
18000.0,6000.0,0.0,8.4995e-05,0.0,0.0,0.0,0.0,80676.0
19000.0,6000.0,0.0,8.9995e-05,0.0,0.0,0.0,0.0,80676.0
20000.0,6000.0,5.1245904e-11,9.4995e-05,0.67773974,0.0,0.0,0.0,80676.0
21000.0,6000.0,3.1561565e-09,9.9995e-05,0.28090923,0.0,0.0,68.0,80608.0
22000.0,6000.0,1.1037369e-08,0.000104995,11.43376,0.0,0.0,0.0,80608.0
23000.0,6000.0,4.5551687e-09,0.000109995,0.60192177,0.0,0.0,144.0,80464.0
24000.0,6000.0,5.1030978e-09,0.000114995,5.7635086,0.0,0.0,0.0,80464.0
25000.0,6000.0,5.567965e-08,0.000119995,26.126208,0.0,0.0,0.0,80464.0
26000.0,6000.0,8.0879195e-08,0.000124995,31.517749,0.0,0.0,72.0,80392.0
27000.0,6000.0,5.995353e-08,0.000129995,13.310796,0.0,0.0,212.0,80180.0
28000.0,6000.0,1.4802182e-08,0.000134995,8.9069184,0.0,0.0,124.0,80056.0
29000.0,6000.0,4.910915e-08,0.000139995,23.446063,0.0,0.0,0.0,80056.0
30000.0,6000.0,5.5085776e-08,0.000144995,21.323462,0.0,0.0,152.0,79904.0
31000.0,6000.0,6.4781605e-08,0.000149995,24.435554,0.0,0.0,96.0,79808.0
31001.0,6000.0,6.4845829e-08,0.00015,24.457647,0.0,0.0,0.0,79808.0
