Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,6000,0,0
1,6000,0,0.005042
1,6000,0,-0,0,0,0,0,0
1000,6000,0,-0,0,0,0,0,70512
1001,6000,0,0,0,0,0,0,70512
1001,6000,0,0,0,0,0,0,0
2000,6000,0,2.4975e-06,0,0,0,0,70512
3000,6000,0,4.9975e-06,0,0,0,0,70512
4000,6000,0,7.4975e-06,0,0,0,0,70512
5000,6000,0,9.9975e-06,0,0,0,0,70512
6000,6000,0,1.24975e-05,0,0,0,0,70512
7000,6000,0,1.49975e-05,0,0,0,0,70512
8000,6000,0,1.74975e-05,0,0,0,0,70512
9000,6000,0,1.99975e-05,0,0,0,0,70512
10000,6000,0,2.24975e-05,0,0,0,0,70512
11000,6000,0,2.49975e-05,0,0,0,0,70512
12000,6000,0,2.74975e-05,0,0,0,0,70512
13000,6000,0,2.99975e-05,0,0,0,0,70512
14000,6000,0,3.24975e-05,0,0,0,0,70512
15000,6000,0,3.49975e-05,0,0,0,0,70512
16000,6000,0,3.74975e-05,0,0,0,0,70512
17000,6000,0,3.99975e-05,0,0,0,0,70512
18000,6000,0,4.24975e-05,0,0,0,0,70512
19000,6000,0,4.49975e-05,0,0,0,0,70512
20000,6000,0,4.74975e-05,0,0,0,0,70512
21000,6000,0,4.99975e-05,0,0,0,0,70512
22000,6000,0,5.24975e-05,0,0,0,0,70512
23000,6000,0,5.49975e-05,0,0,0,0,70512
24000,6000,1.2469983e-09,5.74975e-05,3.7180725,0,0,0,70512
25000,6000,8.3022474e-09,5.99975e-05,9.5978167,0,0,4,70508
26000,6000,4.7902786e-10,6.24975e-05,0.10009976,0,0,44,70464
27000,6000,1.7124624e-09,6.49975e-05,3.8809922,0,0,0,70464
28000,6000,1.361704e-08,6.74975e-05,13.128039,0,0,0,70464
29000,6000,9.7056186e-09,6.99975e-05,9.6306426,0,0,40,70424
30000,6000,9.6528879e-10,7.24975e-05,0.45535747,0,0,44,70380
31000,6000,1.3859404e-09,7.49975e-05,2.4394874,0,0,0,70380
32000,6000,3.8625594e-09,7.74975e-05,6.2476577,0,0,0,70380
33000,6000,1.4987102e-08,7.99975e-05,13.348526,0,0,4,70376
34000,6000,4.2979453e-08,8.24975e-05,21.544013,0,0,24,70352
35000,6000,7.2920283e-08,8.49975e-05,26.427596,0,0,44,70308
36000,6000,8.9636692e-08,8.74975e-05,29.921174,0,0,8,70300
37000,6000,1.0065187e-07,8.99975e-05,32.974627,0,0,0,70300
38000,6000,1.1785034e-07,9.24975e-05,36.915952,0,0,4,70296
39000,6000,5.9900269e-07,9.49975e-05,32.154518,0,0,56,70240
40000,6000,1.0890821e-07,9.74975e-05,34.958104,0,0,0,70240
41000,6000,1.3278019e-07,9.99975e-05,39.698613,0,0,0,70240
42000,6000,1.4625232e-07,0.0001024975,41.983286,0,0,4,70236
43000,6000,1.1845509e-07,0.0001049975,36.964265,0,0,28,70208
44000,6000,1.3494865e-07,0.0001074975,40.474705,0,0,0,70208
45000,6000,1.487103e-07,0.0001099975,42.871685,0,0,0,70208
46000,6000,9.1713549e-08,0.0001124975,27.767897,0,0,48,70160
47000,6000,8.5873321e-08,0.0001149975,28.768103,0,0,0,70160
48000,6000,8.8260702e-08,0.0001174975,30.497944,0,0,0,70160
49000,6000,9.505391e-08,0.0001199975,32.383856,0,0,0,70160
50000,6000,3.0312573e-08,0.0001224975,15.947992,0,0,64,70096
51000,6000,5.0076548e-09,0.0001249975,3.2882098,0,0,64,70032
52000,6000,6.6668597e-09,0.0001274975,5.6841592,0,0,0,70032
53000,6000,1.1034875e-08,0.0001299975,7.7343857,0,0,0,70032
54000,6000,1.8009228e-08,0.0001324975,10.669119,0,0,0,70032
55000,6000,1.3633566e-08,0.0001349975,9.9821066,0,0,52,69980
56000,6000,5.0048702e-08,0.0001374975,24.665775,0,0,0,69980
57000,6000,1.0563218e-07,0.0001399975,36.432441,0,0,0,69980
58000,6000,1.4508499e-07,0.0001424975,42.875668,0,0,0,69980
59000,6000,1.6541001e-07,0.0001449975,45.845067,0,0,0,69980
60000,6000,1.7534507e-07,0.0001474975,47.246052,0,0,0,69980
61000,6000,1.8028353e-07,0.0001499975,47.932305,0,0,0,69980
61001,6000,1.8028675e-07,0.00015,47.932756,0,0,0,69980
