event_index,timestep,pebble_id,new_broken_bonds,cumulative_broken_bonds,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N
1,42000,9,12,12,0.0001024975,0.1024975,0.10009976,-0.15977113
2,42000,10,12,12,0.0001024975,0.1024975,0.10009976,-0.15977113
3,42000,11,12,12,0.0001024975,0.1024975,0.10009976,-0.15977113
4,42000,12,12,12,0.0001024975,0.1024975,0.10009976,-0.15977113
5,46000,9,21,33,0.0001124975,0.1124975,0.45538201,-0.13091077
6,46000,10,21,33,0.0001124975,0.1124975,0.45538201,-0.13091077
7,46000,11,21,33,0.0001124975,0.1124975,0.45538201,-0.13091077
8,46000,12,21,33,0.0001124975,0.1124975,0.45538201,-0.13091077
9,50000,9,7,40,0.0001224975,0.12249750000000001,21.543165,-0.10846746
10,50000,10,7,40,0.0001224975,0.12249750000000001,21.543165,-0.10846746
11,50000,11,7,40,0.0001224975,0.12249750000000001,21.543165,-0.10846746
12,50000,12,7,40,0.0001224975,0.12249750000000001,21.543165,-0.10846746
13,52000,9,13,53,0.0001274975,0.12749749999999999,29.92028,-0.09911126
14,52000,10,13,53,0.0001274975,0.12749749999999999,29.92028,-0.09911126
15,52000,11,13,53,0.0001274975,0.12749749999999999,29.92028,-0.09911126
16,52000,12,13,53,0.0001274975,0.12749749999999999,29.92028,-0.09911126
17,54000,9,1,54,0.0001324975,0.13249750000000002,36.915423,-0.090777953
18,54000,10,1,54,0.0001324975,0.13249750000000002,36.915423,-0.090777953
19,54000,11,1,54,0.0001324975,0.13249750000000002,36.915423,-0.090777953
20,54000,12,1,54,0.0001324975,0.13249750000000002,36.915423,-0.090777953
21,56000,9,14,68,0.0001374975,0.1374975,34.932276,-0.083333803
22,56000,10,14,68,0.0001374975,0.1374975,34.932276,-0.083333803
23,56000,11,14,68,0.0001374975,0.1374975,34.932276,-0.083333803
24,56000,12,14,68,0.0001374975,0.1374975,34.932276,-0.083333803
25,58000,9,1,69,0.0001424975,0.1424975,41.96989,-0.076665193
26,58000,10,1,69,0.0001424975,0.1424975,41.96989,-0.076665193
27,58000,11,1,69,0.0001424975,0.1424975,41.96989,-0.076665193
28,58000,12,1,69,0.0001424975,0.1424975,41.96989,-0.076665193
29,60000,9,7,76,0.0001474975,0.1474975,40.454845,-0.070675325
30,60000,10,7,76,0.0001474975,0.1474975,40.454845,-0.070675325
31,60000,11,7,76,0.0001474975,0.1474975,40.454845,-0.070675325
32,60000,12,7,76,0.0001474975,0.1474975,40.454845,-0.070675325
33,62000,9,12,88,0.0001524975,0.1524975,27.763914,-0.065281347
34,62000,10,12,88,0.0001524975,0.1524975,27.763914,-0.065281347
35,62000,11,12,88,0.0001524975,0.1524975,27.763914,-0.065281347
36,62000,12,12,88,0.0001524975,0.1524975,27.763914,-0.065281347
37,66000,9,16,104,0.0001624975,0.16249750000000002,15.928655,-0.056006249
38,66000,10,16,104,0.0001624975,0.16249750000000002,15.928655,-0.056006249
39,66000,11,16,104,0.0001624975,0.16249750000000002,15.928655,-0.056006249
40,66000,12,16,104,0.0001624975,0.16249750000000002,15.928655,-0.056006249
41,68000,9,16,120,0.0001674975,0.1674975,5.6650977,-0.052010771
42,68000,10,16,120,0.0001674975,0.1674975,5.6650977,-0.052010771
43,68000,11,16,120,0.0001674975,0.1674975,5.6650977,-0.052010771
44,68000,12,16,120,0.0001674975,0.1674975,5.6650977,-0.052010771
45,72000,9,13,133,0.0001774975,0.1774975,24.55728,-0.045072886
46,72000,10,13,133,0.0001774975,0.1774975,24.55728,-0.045072886
47,72000,11,13,133,0.0001774975,0.1774975,24.55728,-0.045072886
48,72000,12,13,133,0.0001774975,0.1774975,24.55728,-0.045072886
49,86000,5,1,1,0.0002124975,0.2124975,56.670102,-0.02855389
50,86000,6,1,1,0.0002124975,0.2124975,56.670102,-0.02855389
51,86000,7,1,1,0.0002124975,0.2124975,56.670102,-0.02855389
52,86000,8,1,1,0.0002124975,0.2124975,56.670102,-0.02855389
53,88000,5,1,2,0.0002174975,0.21749749999999998,52.852272,-0.026884608
54,88000,6,1,2,0.0002174975,0.21749749999999998,52.852272,-0.026884608
55,88000,7,1,2,0.0002174975,0.21749749999999998,52.852272,-0.026884608
56,88000,8,1,2,0.0002174975,0.21749749999999998,52.852272,-0.026884608
57,88000,9,13,146,0.0002174975,0.21749749999999998,52.852272,-0.026884608
58,88000,10,13,146,0.0002174975,0.21749749999999998,52.852272,-0.026884608
59,88000,11,13,146,0.0002174975,0.21749749999999998,52.852272,-0.026884608
60,88000,12,13,146,0.0002174975,0.21749749999999998,52.852272,-0.026884608
61,90000,5,1,3,0.0002224975,0.22249750000000001,50.707684,-0.025341018
62,90000,6,1,3,0.0002224975,0.22249750000000001,50.707684,-0.025341018
63,90000,7,1,3,0.0002224975,0.22249750000000001,50.707684,-0.025341018
64,90000,8,1,3,0.0002224975,0.22249750000000001,50.707684,-0.025341018
65,90000,9,8,154,0.0002224975,0.22249750000000001,50.707684,-0.025341018
66,90000,10,9,155,0.0002224975,0.22249750000000001,50.707684,-0.025341018
67,90000,11,8,154,0.0002224975,0.22249750000000001,50.707684,-0.025341018
68,90000,12,8,154,0.0002224975,0.22249750000000001,50.707684,-0.025341018
69,94000,5,5,8,0.0002324975,0.2324975,52.433223,-0.022586272
70,94000,7,5,8,0.0002324975,0.2324975,52.433223,-0.022586272
71,94000,8,5,8,0.0002324975,0.2324975,52.433223,-0.022586272
72,96000,5,12,20,0.0002374975,0.2374975,53.17209,-0.021355684
73,96000,6,11,14,0.0002374975,0.2374975,53.17209,-0.021355684
74,96000,7,12,20,0.0002374975,0.2374975,53.17209,-0.021355684
75,96000,8,12,20,0.0002374975,0.2374975,53.17209,-0.021355684
76,98000,5,2,22,0.0002424975,0.2424975,53.471168,-0.020211662
77,98000,6,9,23,0.0002424975,0.2424975,53.471168,-0.020211662
