timestep,pebble_id,reference_step,initial_internal_bonds,intact_internal_bonds,broken_internal_bonds,delta_broken_since_previous_dump,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N
2000,1,2000,5876,5876,0,0,2.4975e-06,0.0024974999999999997,0,-7.0090252
2000,2,2000,5876,5876,0,0,2.4975e-06,0.0024974999999999997,0,-7.0090252
2000,3,2000,5876,5876,0,0,2.4975e-06,0.0024974999999999997,0,-7.0090252
2000,4,2000,5876,5876,0,0,2.4975e-06,0.0024974999999999997,0,-7.0090252
2000,5,2000,5876,5876,0,0,2.4975e-06,0.0024974999999999997,0,-7.0090252
2000,6,2000,5876,5876,0,0,2.4975e-06,0.0024974999999999997,0,-7.0090252
2000,7,2000,5876,5876,0,0,2.4975e-06,0.0024974999999999997,0,-7.0090252
2000,8,2000,5876,5876,0,0,2.4975e-06,0.0024974999999999997,0,-7.0090252
2000,9,2000,5876,5876,0,0,2.4975e-06,0.0024974999999999997,0,-7.0090252
2000,10,2000,5876,5876,0,0,2.4975e-06,0.0024974999999999997,0,-7.0090252
2000,11,2000,5876,5876,0,0,2.4975e-06,0.0024974999999999997,0,-7.0090252
2000,12,2000,5876,5876,0,0,2.4975e-06,0.0024974999999999997,0,-7.0090252
4000,1,2000,5876,5876,0,0,7.4975e-06,0.0074975,0,-4.3964136
4000,2,2000,5876,5876,0,0,7.4975e-06,0.0074975,0,-4.3964136
4000,3,2000,5876,5876,0,0,7.4975e-06,0.0074975,0,-4.3964136
4000,4,2000,5876,5876,0,0,7.4975e-06,0.0074975,0,-4.3964136
4000,5,2000,5876,5876,0,0,7.4975e-06,0.0074975,0,-4.3964136
4000,6,2000,5876,5876,0,0,7.4975e-06,0.0074975,0,-4.3964136
4000,7,2000,5876,5876,0,0,7.4975e-06,0.0074975,0,-4.3964136
4000,8,2000,5876,5876,0,0,7.4975e-06,0.0074975,0,-4.3964136
4000,9,2000,5876,5876,0,0,7.4975e-06,0.0074975,0,-4.3964136
4000,10,2000,5876,5876,0,0,7.4975e-06,0.0074975,0,-4.3964136
4000,11,2000,5876,5876,0,0,7.4975e-06,0.0074975,0,-4.3964136
4000,12,2000,5876,5876,0,0,7.4975e-06,0.0074975,0,-4.3964136
6000,1,2000,5876,5876,0,0,1.24975e-05,0.0124975,0,-3.0010412
6000,2,2000,5876,5876,0,0,1.24975e-05,0.0124975,0,-3.0010412
6000,3,2000,5876,5876,0,0,1.24975e-05,0.0124975,0,-3.0010412
6000,4,2000,5876,5876,0,0,1.24975e-05,0.0124975,0,-3.0010412
6000,5,2000,5876,5876,0,0,1.24975e-05,0.0124975,0,-3.0010412
6000,6,2000,5876,5876,0,0,1.24975e-05,0.0124975,0,-3.0010412
6000,7,2000,5876,5876,0,0,1.24975e-05,0.0124975,0,-3.0010412
6000,8,2000,5876,5876,0,0,1.24975e-05,0.0124975,0,-3.0010412
6000,9,2000,5876,5876,0,0,1.24975e-05,0.0124975,0,-3.0010412
6000,10,2000,5876,5876,0,0,1.24975e-05,0.0124975,0,-3.0010412
6000,11,2000,5876,5876,0,0,1.24975e-05,0.0124975,0,-3.0010412
6000,12,2000,5876,5876,0,0,1.24975e-05,0.0124975,0,-3.0010412
8000,1,2000,5876,5876,0,0,1.74975e-05,0.0174975,0,-2.1597639
8000,2,2000,5876,5876,0,0,1.74975e-05,0.0174975,0,-2.1597639
8000,3,2000,5876,5876,0,0,1.74975e-05,0.0174975,0,-2.1597639
8000,4,2000,5876,5876,0,0,1.74975e-05,0.0174975,0,-2.1597639
8000,5,2000,5876,5876,0,0,1.74975e-05,0.0174975,0,-2.1597639
8000,6,2000,5876,5876,0,0,1.74975e-05,0.0174975,0,-2.1597639
8000,7,2000,5876,5876,0,0,1.74975e-05,0.0174975,0,-2.1597639
8000,8,2000,5876,5876,0,0,1.74975e-05,0.0174975,0,-2.1597639
8000,9,2000,5876,5876,0,0,1.74975e-05,0.0174975,0,-2.1597639
8000,10,2000,5876,5876,0,0,1.74975e-05,0.0174975,0,-2.1597639
8000,11,2000,5876,5876,0,0,1.74975e-05,0.0174975,0,-2.1597639
8000,12,2000,5876,5876,0,0,1.74975e-05,0.0174975,0,-2.1597639
10000,1,2000,5876,5876,0,0,2.24975e-05,0.0224975,0,-1.612042
10000,2,2000,5876,5876,0,0,2.24975e-05,0.0224975,0,-1.612042
10000,3,2000,5876,5876,0,0,2.24975e-05,0.0224975,0,-1.612042
10000,4,2000,5876,5876,0,0,2.24975e-05,0.0224975,0,-1.612042
10000,5,2000,5876,5876,0,0,2.24975e-05,0.0224975,0,-1.612042
10000,6,2000,5876,5876,0,0,2.24975e-05,0.0224975,0,-1.612042
10000,7,2000,5876,5876,0,0,2.24975e-05,0.0224975,0,-1.612042
10000,8,2000,5876,5876,0,0,2.24975e-05,0.0224975,0,-1.612042
10000,9,2000,5876,5876,0,0,2.24975e-05,0.0224975,0,-1.612042
10000,10,2000,5876,5876,0,0,2.24975e-05,0.0224975,0,-1.612042
10000,11,2000,5876,5876,0,0,2.24975e-05,0.0224975,0,-1.612042
10000,12,2000,5876,5876,0,0,2.24975e-05,0.0224975,0,-1.612042
12000,1,2000,5876,5876,0,0,2.74975e-05,0.027497499999999998,0,-1.253181
12000,2,2000,5876,5876,0,0,2.74975e-05,0.027497499999999998,0,-1.253181
12000,3,2000,5876,5876,0,0,2.74975e-05,0.027497499999999998,0,-1.253181
12000,4,2000,5876,5876,0,0,2.74975e-05,0.027497499999999998,0,-1.253181
12000,5,2000,5876,5876,0,0,2.74975e-05,0.027497499999999998,0,-1.253181
12000,6,2000,5876,5876,0,0,2.74975e-05,0.027497499999999998,0,-1.253181
12000,7,2000,5876,5876,0,0,2.74975e-05,0.027497499999999998,0,-1.253181
12000,8,2000,5876,5876,0,0,2.74975e-05,0.027497499999999998,0,-1.253181
12000,9,2000,5876,5876,0,0,2.74975e-05,0.027497499999999998,0,-1.253181
12000,10,2000,5876,5876,0,0,2.74975e-05,0.027497499999999998,0,-1.253181
12000,11,2000,5876,5876,0,0,2.74975e-05,0.027497499999999998,0,-1.253181
12000,12,2000,5876,5876,0,0,2.74975e-05,0.027497499999999998,0,-1.253181
14000,1,2000,5876,5876,0,0,3.24975e-05,0.0324975,0,-1.0346992
14000,2,2000,5876,5876,0,0,3.24975e-05,0.0324975,0,-1.0346992
14000,3,2000,5876,5876,0,0,3.24975e-05,0.0324975,0,-1.0346992
14000,4,2000,5876,5876,0,0,3.24975e-05,0.0324975,0,-1.0346992
14000,5,2000,5876,5876,0,0,3.24975e-05,0.0324975,0,-1.0346992
14000,6,2000,5876,5876,0,0,3.24975e-05,0.0324975,0,-1.0346992
14000,7,2000,5876,5876,0,0,3.24975e-05,0.0324975,0,-1.0346992
14000,8,2000,5876,5876,0,0,3.24975e-05,0.0324975,0,-1.0346992
14000,9,2000,5876,5876,0,0,3.24975e-05,0.0324975,0,-1.0346992
14000,10,2000,5876,5876,0,0,3.24975e-05,0.0324975,0,-1.0346992
14000,11,2000,5876,5876,0,0,3.24975e-05,0.0324975,0,-1.0346992
14000,12,2000,5876,5876,0,0,3.24975e-05,0.0324975,0,-1.0346992
16000,1,2000,5876,5876,0,0,3.74975e-05,0.037497499999999996,0,-0.86915049
16000,2,2000,5876,5876,0,0,3.74975e-05,0.037497499999999996,0,-0.86915049
16000,3,2000,5876,5876,0,0,3.74975e-05,0.037497499999999996,0,-0.86915049
16000,4,2000,5876,5876,0,0,3.74975e-05,0.037497499999999996,0,-0.86915049
16000,5,2000,5876,5876,0,0,3.74975e-05,0.037497499999999996,0,-0.86915049
16000,6,2000,5876,5876,0,0,3.74975e-05,0.037497499999999996,0,-0.86915049
16000,7,2000,5876,5876,0,0,3.74975e-05,0.037497499999999996,0,-0.86915049
16000,8,2000,5876,5876,0,0,3.74975e-05,0.037497499999999996,0,-0.86915049
16000,9,2000,5876,5876,0,0,3.74975e-05,0.037497499999999996,0,-0.86915049
16000,10,2000,5876,5876,0,0,3.74975e-05,0.037497499999999996,0,-0.86915049
16000,11,2000,5876,5876,0,0,3.74975e-05,0.037497499999999996,0,-0.86915049
16000,12,2000,5876,5876,0,0,3.74975e-05,0.037497499999999996,0,-0.86915049
18000,1,2000,5876,5876,0,0,4.24975e-05,0.0424975,0,-0.73676621
18000,2,2000,5876,5876,0,0,4.24975e-05,0.0424975,0,-0.73676621
18000,3,2000,5876,5876,0,0,4.24975e-05,0.0424975,0,-0.73676621
18000,4,2000,5876,5876,0,0,4.24975e-05,0.0424975,0,-0.73676621
18000,5,2000,5876,5876,0,0,4.24975e-05,0.0424975,0,-0.73676621
18000,6,2000,5876,5876,0,0,4.24975e-05,0.0424975,0,-0.73676621
18000,7,2000,5876,5876,0,0,4.24975e-05,0.0424975,0,-0.73676621
18000,8,2000,5876,5876,0,0,4.24975e-05,0.0424975,0,-0.73676621
18000,9,2000,5876,5876,0,0,4.24975e-05,0.0424975,0,-0.73676621
18000,10,2000,5876,5876,0,0,4.24975e-05,0.0424975,0,-0.73676621
18000,11,2000,5876,5876,0,0,4.24975e-05,0.0424975,0,-0.73676621
18000,12,2000,5876,5876,0,0,4.24975e-05,0.0424975,0,-0.73676621
20000,1,2000,5876,5876,0,0,4.74975e-05,0.0474975,0,-0.62955009
20000,2,2000,5876,5876,0,0,4.74975e-05,0.0474975,0,-0.62955009
