event_index,timestep,pebble_id,new_broken_bonds,cumulative_broken_bonds,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N
1,42000,9,12,12,0.0001024975,0.1024975,0.10009976,-0.15977113
2,42000,10,12,12,0.0001024975,0.1024975,0.10009976,-0.15977113
3,42000,11,12,12,0.0001024975,0.1024975,0.10009976,-0.15977113
4,42000,12,12,12,0.0001024975,0.1024975,0.10009976,-0.15977113
5,46000,9,21,33,0.0001124975,0.1124975,0.45538201,-0.13091077
6,46000,10,21,33,0.0001124975,0.1124975,0.45538201,-0.13091077
7,46000,11,21,33,0.0001124975,0.1124975,0.45538201,-0.13091077
8,46000,12,21,33,0.0001124975,0.1124975,0.45538201,-0.13091077
9,50000,9,7,40,0.0001224975,0.12249750000000001,21.543165,-0.10846746
10,50000,10,7,40,0.0001224975,0.12249750000000001,21.543165,-0.10846746
11,50000,11,7,40,0.0001224975,0.12249750000000001,21.543165,-0.10846746
12,50000,12,7,40,0.0001224975,0.12249750000000001,21.543165,-0.10846746
13,52000,9,13,53,0.0001274975,0.12749749999999999,29.92028,-0.09911126
14,52000,10,13,53,0.0001274975,0.12749749999999999,29.92028,-0.09911126
15,52000,11,13,53,0.0001274975,0.12749749999999999,29.92028,-0.09911126
16,52000,12,13,53,0.0001274975,0.12749749999999999,29.92028,-0.09911126
17,54000,9,1,54,0.0001324975,0.13249750000000002,36.915423,-0.090777953
18,54000,10,1,54,0.0001324975,0.13249750000000002,36.915423,-0.090777953
19,54000,11,1,54,0.0001324975,0.13249750000000002,36.915423,-0.090777953
20,54000,12,1,54,0.0001324975,0.13249750000000002,36.915423,-0.090777953
21,56000,9,14,68,0.0001374975,0.1374975,34.932276,-0.083333803
22,56000,10,14,68,0.0001374975,0.1374975,34.932276,-0.083333803
23,56000,11,14,68,0.0001374975,0.1374975,34.932276,-0.083333803
24,56000,12,14,68,0.0001374975,0.1374975,34.932276,-0.083333803
25,58000,9,1,69,0.0001424975,0.1424975,41.96989,-0.076665193
26,58000,10,1,69,0.0001424975,0.1424975,41.96989,-0.076665193
27,58000,11,1,69,0.0001424975,0.1424975,41.96989,-0.076665193
28,58000,12,1,69,0.0001424975,0.1424975,41.96989,-0.076665193
29,60000,9,7,76,0.0001474975,0.1474975,40.454845,-0.070675325
30,60000,10,7,76,0.0001474975,0.1474975,40.454845,-0.070675325
31,60000,11,7,76,0.0001474975,0.1474975,40.454845,-0.070675325
32,60000,12,7,76,0.0001474975,0.1474975,40.454845,-0.070675325
