Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,6000,0,0
1,6000,0,0.004977
1,6000,0,-0,0,0,0,0,0
1000,6000,7.2538756e-09,-0,0,-9.3037218,0,0,70512
1001,6000,7.2487635e-09,0,0,-9.3008692,0,0,70512
1001,6000,7.2487635e-09,0,0,-18.601739,0,0,0
2000,6000,3.870589e-09,2.4975e-06,0,-7.0090252,0,0,70512
3000,6000,2.3274061e-09,4.9975e-06,0,-5.4770625,0,0,70512
4000,6000,1.5085342e-09,7.4975e-06,0,-4.3964136,0,0,70512
5000,6000,1.0251886e-09,9.9975e-06,0,-3.6016712,0,0,70512
6000,6000,7.1856554e-10,1.24975e-05,0,-3.0010412,0,0,70512
7000,6000,5.1297176e-10,1.49975e-05,0,-2.5342401,0,0,70512
8000,6000,3.7290352e-10,1.74975e-05,0,-2.1597639,0,0,70512
9000,6000,2.7602894e-10,1.99975e-05,0,-1.8573306,0,0,70512
10000,6000,2.0814705e-10,2.24975e-05,0,-1.612042,0,0,70512
11000,6000,1.6012241e-10,2.49975e-05,0,-1.4130369,0,0,70512
12000,6000,1.2613449e-10,2.74975e-05,0,-1.253181,0,0,70512
13000,6000,1.0339052e-10,2.99975e-05,0,-1.1333131,0,0,70512
14000,6000,8.6402418e-11,3.24975e-05,0,-1.0346992,0,0,70512
15000,6000,7.2556973e-11,3.49975e-05,0,-0.94716186,0,0,70512
16000,6000,6.1203194e-11,3.74975e-05,0,-0.86915049,0,0,70512
17000,6000,5.1841623e-11,3.99975e-05,0,-0.79937743,0,0,70512
18000,6000,4.4083532e-11,4.24975e-05,0,-0.73676621,0,0,70512
19000,6000,3.7625322e-11,4.49975e-05,0,-0.68041352,0,0,70512
20000,6000,3.222584e-11,4.74975e-05,0,-0.62955009,0,0,70512
21000,6000,2.7693502e-11,4.99975e-05,0,-0.58352347,0,0,70512
22000,6000,2.3874629e-11,5.24975e-05,0,-0.54177313,0,0,70512
23000,6000,2.0645413e-11,5.49975e-05,0,-0.50381553,0,0,70512
24000,6000,1.7905349e-11,5.74975e-05,0,-0.46923243,0,0,70512
25000,6000,1.5572769e-11,5.99975e-05,0,-0.43766094,0,0,70512
26000,6000,1.358093e-11,6.24975e-05,0,-0.40878376,0,0,70512
27000,6000,1.1874827e-11,6.49975e-05,0,-0.38232306,0,0,70512
28000,6000,1.0409345e-11,6.74975e-05,0,-0.35803515,0,0,70512
29000,6000,9.146876e-12,6.99975e-05,0,-0.33570418,0,0,70512
30000,6000,8.0564571e-12,7.24975e-05,0,-0.31514062,0,0,70512
31000,6000,7.112205e-12,7.49975e-05,0,-0.29617615,0,0,70512
32000,6000,6.2924311e-12,7.74975e-05,0,-0.27866069,0,0,70512
33000,6000,5.5789963e-12,7.99975e-05,0,-0.26246092,0,0,70512
34000,6000,4.9566671e-12,8.24975e-05,0,-0.24745822,0,0,70512
35000,6000,4.4125325e-12,8.49975e-05,0,-0.23354571,0,0,70512
36000,6000,3.9357442e-12,8.74975e-05,0,-0.22062823,0,0,70512
37000,6000,3.517063e-12,8.99975e-05,0,-0.2086202,0,0,70512
38000,6000,3.1486323e-12,9.24975e-05,0,-0.19744434,0,0,70512
39000,6000,2.8237773e-12,9.49975e-05,0,-0.18703127,0,0,70512
40000,6000,1.2496519e-09,9.74975e-05,3.7180461,-0.17731836,0,0,70512
41000,6000,8.3050861e-09,9.99975e-05,9.597734,-0.1682487,0,4,70508
42000,6000,4.8121935e-10,0.0001024975,0.10009976,-0.15977113,0,44,70464
43000,6000,1.7145538e-09,0.0001049975,3.880795,-0.15183899,0,0,70464
44000,6000,1.361784e-08,0.0001074975,13.127759,-0.14440999,0,0,70464
45000,6000,9.7070619e-09,0.0001099975,9.6304859,-0.1374456,0,40,70424
46000,6000,9.6654414e-10,0.0001124975,0.45538201,-0.13091077,0,44,70380
47000,6000,1.3872133e-09,0.0001149975,2.4395268,-0.12477352,0,0,70380
48000,6000,3.8635823e-09,0.0001174975,6.2469731,-0.11900464,0,0,70380
49000,6000,1.498739e-08,0.0001199975,13.3477,-0.11357743,0,4,70376
50000,6000,4.2980327e-08,0.0001224975,21.543165,-0.10846746,0,24,70352
51000,6000,7.2926119e-08,0.0001249975,26.426994,-0.10365221,0,44,70308
52000,6000,8.9637267e-08,0.0001274975,29.92028,-0.09911126,0,8,70300
53000,6000,1.0064892e-07,0.0001299975,32.973901,-0.094825625,0,0,70300
54000,6000,1.1784799e-07,0.0001324975,36.915423,-0.090777953,0,4,70296
55000,6000,7.3311802e-07,0.0001349975,32.780395,-0.08695224,0,56,70240
56000,6000,1.0880739e-07,0.0001374975,34.932276,-0.083333803,0,0,70240
57000,6000,1.326813e-07,0.0001399975,39.680952,-0.079908944,0,0,70240
58000,6000,1.4617211e-07,0.0001424975,41.96989,-0.076665193,0,4,70236
59000,6000,1.1835636e-07,0.0001449975,36.936516,-0.073590881,0,28,70208
60000,6000,1.3484292e-07,0.0001474975,40.454845,-0.070675325,0,0,70208
61000,6000,1.4863032e-07,0.0001499975,42.858383,-0.067908543,0,0,70208
61001,6000,1.4864209e-07,0.00015,42.86033,-0.067905847,0,0,70208
