event_index,timestep,pebble_id,new_broken_bonds,cumulative_broken_bonds,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N
1,52000,28,1,1,0.0001287475,0.1287475,14.774922,-0.22300029
2,52000,29,1,1,0.0001287475,0.1287475,14.774922,-0.22300029
3,52000,30,1,1,0.0001287475,0.1287475,14.774922,-0.22300029
4,52000,31,1,1,0.0001287475,0.1287475,14.774922,-0.22300029
5,52000,32,1,1,0.0001287475,0.1287475,14.774922,-0.22300029
6,52000,33,1,1,0.0001287475,0.1287475,14.774922,-0.22300029
7,52000,34,1,1,0.0001287475,0.1287475,14.774922,-0.22300029
8,52000,35,1,1,0.0001287475,0.1287475,14.774922,-0.22300029
9,52000,36,1,1,0.0001287475,0.1287475,14.774922,-0.22300029
10,56000,28,21,22,0.0001387475,0.1387475,15.068537,-0.18750102
11,56000,29,21,22,0.0001387475,0.1387475,15.068537,-0.18750102
12,56000,30,21,22,0.0001387475,0.1387475,15.068537,-0.18750102
13,56000,31,21,22,0.0001387475,0.1387475,15.068537,-0.18750102
14,56000,32,21,22,0.0001387475,0.1387475,15.068537,-0.18750102
15,56000,33,21,22,0.0001387475,0.1387475,15.068537,-0.18750102
16,56000,34,21,22,0.0001387475,0.1387475,15.068537,-0.18750102
17,56000,35,21,22,0.0001387475,0.1387475,15.068537,-0.18750102
18,56000,36,21,22,0.0001387475,0.1387475,15.068537,-0.18750102
19,60000,28,12,34,0.0001487475,0.1487475,20.513885,-0.15901948
20,60000,29,12,34,0.0001487475,0.1487475,20.513885,-0.15901948
21,60000,30,12,34,0.0001487475,0.1487475,20.513885,-0.15901948
22,60000,31,12,34,0.0001487475,0.1487475,20.513885,-0.15901948
23,60000,32,12,34,0.0001487475,0.1487475,20.513885,-0.15901948
24,60000,33,12,34,0.0001487475,0.1487475,20.513885,-0.15901948
25,60000,34,12,34,0.0001487475,0.1487475,20.513885,-0.15901948
26,60000,35,12,34,0.0001487475,0.1487475,20.513885,-0.15901948
27,60000,36,12,34,0.0001487475,0.1487475,20.513885,-0.15901948
