timestep,pebble_id,reference_step,initial_internal_bonds,intact_internal_bonds,broken_internal_bonds,delta_broken_since_previous_dump,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N
4000,1,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,2,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,3,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,4,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,5,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,6,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,7,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,8,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,9,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,10,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,11,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,12,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,13,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,14,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,15,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,16,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,17,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,18,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,19,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,20,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,21,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,22,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,23,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,24,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,25,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,26,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,27,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,28,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,29,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,30,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,31,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,32,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,33,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,34,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,35,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
4000,36,4000,5876,5876,0,0,8.7475e-06,0.0087475,0,-9.891929
8000,1,4000,5876,5876,0,0,1.87475e-05,0.0187475,0,-4.8594642
8000,2,4000,5876,5876,0,0,1.87475e-05,0.0187475,0,-4.8594642
8000,3,4000,5876,5876,0,0,1.87475e-05,0.0187475,0,-4.8594642
8000,4,4000,5876,5876,0,0,1.87475e-05,0.0187475,0,-4.8594642
8000,5,4000,5876,5876,0,0,1.87475e-05,0.0187475,0,-4.8594642
8000,6,4000,5876,5876,0,0,1.87475e-05,0.0187475,0,-4.8594642
8000,7,4000,5876,5876,0,0,1.87475e-05,0.0187475,0,-4.8594642
8000,8,4000,5876,5876,0,0,1.87475e-05,0.0187475,0,-4.8594642
