event_index,timestep,pebble_id,new_broken_bonds,cumulative_broken_bonds,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N
1,48000,28,3,3,0.0001187475,0.1187475,12.885141,-0.24091157
2,48000,29,21,21,0.0001187475,0.1187475,12.885141,-0.24091157
3,48000,34,1,1,0.0001187475,0.1187475,12.885141,-0.24091157
4,48000,36,3,3,0.0001187475,0.1187475,12.885141,-0.24091157
5,52000,28,20,23,0.0001287475,0.1287475,25.755246,-0.20535597
6,52000,29,2,23,0.0001287475,0.1287475,25.755246,-0.20535597
7,52000,30,1,1,0.0001287475,0.1287475,25.755246,-0.20535597
8,52000,34,41,42,0.0001287475,0.1287475,25.755246,-0.20535597
9,52000,36,20,23,0.0001287475,0.1287475,25.755246,-0.20535597
10,56000,29,30,53,0.0001387475,0.1387475,36.370342,-0.17746467
11,56000,30,12,13,0.0001387475,0.1387475,36.370342,-0.17746467
12,56000,31,23,23,0.0001387475,0.1387475,36.370342,-0.17746467
13,56000,32,23,23,0.0001387475,0.1387475,36.370342,-0.17746467
14,56000,33,16,16,0.0001387475,0.1387475,36.370342,-0.17746467
15,56000,34,10,52,0.0001387475,0.1387475,36.370342,-0.17746467
16,56000,35,23,23,0.0001387475,0.1387475,36.370342,-0.17746467
17,56000,36,32,55,0.0001387475,0.1387475,36.370342,-0.17746467
18,60000,28,10,33,0.0001487475,0.1487475,37.111366,-0.15643405
19,60000,30,40,53,0.0001487475,0.1487475,37.111366,-0.15643405
20,60000,31,31,54,0.0001487475,0.1487475,37.111366,-0.15643405
21,60000,32,16,39,0.0001487475,0.1487475,37.111366,-0.15643405
22,60000,33,18,34,0.0001487475,0.1487475,37.111366,-0.15643405
23,60000,35,19,42,0.0001487475,0.1487475,37.111366,-0.15643405
24,60000,36,15,70,0.0001487475,0.1487475,37.111366,-0.15643405
