Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,18000,0,0
1,18000,0,0.01705
1,18000,0,-0,0,0,0,0,0
501,18000,1.0860665e-08,0,0,-12.207077,0,115,211421
501,18000,1.0860665e-08,0,0,-24.414159,0,0,0
2000,18000,5.8198309e-09,3.7475e-06,0,-9.2786482,0,0,211421
4000,18000,2.9903152e-09,8.7475e-06,0,-6.7741771,0,0,211421
6000,18000,1.6941505e-09,1.37475e-05,0,-5.1401301,0,0,211421
8000,18000,1.0101177e-09,1.87475e-05,0,-4.0075044,0,0,211421
10000,18000,6.2428942e-10,2.37475e-05,0,-3.1811696,0,0,211421
12000,18000,3.983251e-10,2.87475e-05,0,-2.562124,0,0,211421
14000,18000,2.6158341e-10,3.37475e-05,0,-2.0906967,0,0,211421
16000,18000,1.7632571e-10,3.87475e-05,0,-1.7263894,0,0,211421
18000,18000,1.2169569e-10,4.37475e-05,0,-1.4411446,0,0,211421
20000,18000,8.5803203e-11,4.87475e-05,0,-1.2151564,0,0,211421
22000,18000,6.1675709e-11,5.37475e-05,0,-1.0342193,0,0,211421
24000,18000,4.5115884e-11,5.87475e-05,0,-0.88803071,0,0,211421
26000,18000,3.3538551e-11,6.37475e-05,0,-0.76919626,0,0,211421
28000,18000,2.5307025e-11,6.87475e-05,0,-0.67220369,0,0,211421
30000,18000,1.9378884e-11,7.37475e-05,0,-0.59353643,0,0,211421
32000,18000,1.5027146e-11,7.87475e-05,0,-0.52720525,0,0,211421
34000,18000,1.1789545e-11,8.37475e-05,0,-0.47067766,0,0,211421
36000,18000,9.3576455e-12,8.87475e-05,0,-0.42246248,0,0,211421
38000,18000,7.5074442e-12,9.37475e-05,0,-0.38092625,0,0,211421
40000,18000,6.0849005e-12,9.87475e-05,0,-0.34494879,0,0,211421
42000,18000,4.9802402e-12,0.0001037475,0,-0.31362738,0,0,211421
44000,18000,4.1143084e-12,0.0001087475,0,-0.28622906,0,0,211421
46000,18000,3.2089928e-10,0.0001137475,0.9509012,-0.26215472,0,0,211421
48000,18000,2.4090331e-08,0.0001187475,12.885141,-0.24091157,0,28,211393
50000,18000,5.5621802e-08,0.0001237475,17.39268,-0.22209177,0,53,211340
52000,18000,6.3024169e-08,0.0001287475,25.755246,-0.20535597,0,31,211309
54000,18000,4.652018e-08,0.0001337475,27.344486,-0.19042023,0,68,211241
56000,18000,9.5907434e-08,0.0001387475,36.370342,-0.17746467,0,101,211140
58000,18000,9.772838e-08,0.0001437475,36.428937,-0.1664264,0,86,211054
60000,18000,8.6068205e-08,0.0001487475,37.111366,-0.15643405,0,63,210991
60501,18000,9.7198062e-08,0.00015,41.646834,-0.15407941,0,10,210981
