pebble_id,intact_internal_bonds,initial_internal_bonds,final_broken_internal_bonds,initial_x,initial_y,initial_z
1,5876,5876,0,-0.00364428,0.000715939,0.000499337
2,5876,5876,0,-0.00456103,-0.00352236,0.000499354
3,5876,5876,0,-0.00318991,-0.00255081,0.000499386
4,5876,5876,0,-0.00158145,0.00360901,0.000499389
5,5876,5876,0,-0.00164095,0.000231442,0.000499391
6,5876,5876,0,-0.00177636,0.00154033,0.000499393
7,5876,5876,0,0.00447009,-0.00414435,0.000499409
8,5876,5876,0,0.0038849,0.00112166,0.000499422
9,5876,5876,0,0.00428435,-0.00157774,0.000499428
10,5876,5876,0,0.00434052,0.0040467,0.000499432
11,5876,5876,0,0.00196202,0.000253101,0.000499447
12,5876,5876,0,-0.0013523,-0.00267366,0.000499455
13,5876,5876,0,0.00338486,0.00211245,0.000499458
14,5876,5876,0,0.000264157,-0.00126005,0.00049946
15,5876,5876,0,0.00219887,0.00304859,0.000499469
16,5876,5876,0,-0.00107787,0.00447447,0.000499471
17,5876,5876,0,-0.00385858,-0.00500032,0.00049955
18,5876,5876,0,-0.00499276,0.00448269,0.000499552
19,5876,5876,0,0.000566279,-0.00500017,0.000499554
20,5876,5876,0,-0.00296426,0.00500017,0.000499568
21,5876,5876,0,-0.000638357,-0.0040302,0.00049958
22,5876,5876,0,-0.00396846,0.00193211,0.000499583
23,5876,5876,0,0.00159849,-0.00194618,0.000499585
24,5876,5876,0,0.0010655,0.000695491,0.000499592
25,5876,5876,0,0.00356249,-0.000554288,0.000499597
26,5876,5876,0,0.00319747,0.00309466,0.000499598
27,5876,5876,0,0.00334974,-0.00213084,0.000499623
28,5876,5876,0,0.00118898,0.00168756,0.00049963
29,5876,5876,0,-0.00318417,-0.00414984,0.00049965
30,5876,5876,0,-0.00266344,0.0010766,0.000499668
31,5876,5876,0,-0.00500032,0.00267628,0.000499679
32,5876,5876,0,0.00248262,-0.00392297,0.000499681
33,5876,5876,0,0.00252767,-0.00156169,0.000499692
34,5876,5876,0,-0.00415263,0.00320596,0.000499717
35,5876,5876,0,-0.00175893,-0.000926729,0.000499719
36,5876,5876,0,0.000649651,0.00253182,0.000499719
37,5876,5876,0,-0.00500025,-0.0017609,0.000499721
