Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,500000,0,0
1,500000,0,0.73291
1,500000,0,-0,0,0,0,0,0
1000,500000,0,-0,0,0,0,0,5876000
1001,500000,0,0,0,0,0,0,5876000
1001,500000,0,0,0,0,0,0,0
2000,500000,0,2.4975e-06,0,0,0,0,5876000
3000,500000,0,4.9975e-06,0,0,0,0,5876000
4000,500000,0,7.4975e-06,0,0,0,0,5876000
5000,500000,0,9.9975e-06,0,0,0,0,5876000
6000,500000,0,1.24975e-05,0,0,0,0,5876000
7000,500000,0,1.49975e-05,0,0,0,0,5876000
8000,500000,0,1.74975e-05,0,0,0,0,5876000
9000,500000,0,1.99975e-05,0,0,0,0,5876000
10000,500000,0,2.24975e-05,0,0,0,0,5876000
11000,500000,0,2.49975e-05,0,0,0,0,5876000
12000,500000,0,2.74975e-05,0,0,0,0,5876000
13000,500000,0,2.99975e-05,0,0,0,0,5876000
14000,500000,0,3.24975e-05,0,0,0,0,5876000
15000,500000,0,3.49975e-05,0,0,0,0,5876000
16000,500000,0,3.74975e-05,0,0,0,0,5876000
17000,500000,0,3.99975e-05,0,0,0,0,5876000
18000,500000,0,4.24975e-05,0,0,0,0,5876000
19000,500000,0,4.49975e-05,0,0,0,0,5876000
20000,500000,0,4.74975e-05,0,0,0,0,5876000
21000,500000,0,4.99975e-05,0,0,0,0,5876000
22000,500000,0,5.24975e-05,0,0,0,0,5876000
23000,500000,0,5.49975e-05,0,0,0,0,5876000
24000,500000,0,5.74975e-05,0,0,0,0,5876000
25000,500000,7.8141557e-13,5.99975e-05,0.031746924,0,0,0,5876000
26000,500000,6.8770445e-10,6.24975e-05,1.4092562,0,0,0,5876000
27000,500000,3.3250938e-09,6.49975e-05,3.1837729,0,0,0,5876000
28000,500000,1.1452226e-08,6.74975e-05,4.8946232,0,0,15,5875985
29000,500000,1.812515e-08,6.99975e-05,5.4221592,0,0,8,5875977
30000,500000,1.6648381e-08,7.24975e-05,5.8717532,0,0,0,5875977
31000,500000,1.6770348e-08,7.49975e-05,6.8551271,0,0,0,5875977
32000,500000,3.8042125e-09,7.74975e-05,2.5324407,0,0,20,5875957
33000,500000,9.2136588e-09,7.99975e-05,5.075069,0,0,0,5875957
34000,500000,1.5523456e-08,8.24975e-05,6.6308593,0,0,0,5875957
35000,500000,2.0820244e-08,8.49975e-05,7.7933035,0,0,0,5875957
36000,500000,2.4613069e-08,8.74975e-05,8.5982355,0,0,0,5875957
37000,500000,2.7624351e-08,8.99975e-05,8.8616592,0,0,6,5875951
38000,500000,2.7978653e-08,9.24975e-05,9.1503351,0,0,2,5875949
39000,500000,3.0804617e-08,9.49975e-05,9.7287962,0,0,2,5875947
40000,500000,3.3669745e-08,9.74975e-05,10.30607,0,0,0,5875947
41000,500000,3.62669e-08,9.99975e-05,10.762007,0,0,0,5875947
41001,500000,3.6269189e-08,0.0001,10.762398,0,0,0,5875947
