Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,500000,0,0
1,500000,0,0.44082
1,500000,0,-0,0,0,0,0,0
1000,500000,0,-0,0,0,0,0,5876000
1001,500000,0,0,0,0,0,0,5876000
1001,500000,0,0,0,0,0,0,0
2000,500000,0,2.4975e-06,0,0,0,0,5876000
3000,500000,0,4.9975e-06,0,0,0,0,5876000
4000,500000,0,7.4975e-06,0,0,0,0,5876000
5000,500000,0,9.9975e-06,0,0,0,0,5876000
6000,500000,0,1.24975e-05,0,0,0,0,5876000
7000,500000,0,1.49975e-05,0,0,0,0,5876000
8000,500000,0,1.74975e-05,0,0,0,0,5876000
9000,500000,0,1.99975e-05,0,0,0,0,5876000
10000,500000,0,2.24975e-05,0,0,0,0,5876000
11000,500000,0,2.49975e-05,0,0,0,0,5876000
12000,500000,0,2.74975e-05,0,0,0,0,5876000
13000,500000,0,2.99975e-05,0,0,0,0,5876000
14000,500000,0,3.24975e-05,0,0,0,0,5876000
15000,500000,0,3.49975e-05,0,0,0,0,5876000
16000,500000,0,3.74975e-05,0,0,0,0,5876000
17000,500000,0,3.99975e-05,0,0,0,0,5876000
18000,500000,0,4.24975e-05,0,0,0,0,5876000
19000,500000,0,4.49975e-05,0,0,0,0,5876000
20000,500000,0,4.74975e-05,0,0,0,0,5876000
21000,500000,0,4.99975e-05,0,0,0,0,5876000
22000,500000,0,5.24975e-05,0,0,0,0,5876000
23000,500000,0,5.49975e-05,0,0,0,0,5876000
24000,500000,0,5.74975e-05,0,0,0,0,5876000
25000,500000,7.8141557e-13,5.99975e-05,0.031746924,0,0,0,5876000
26000,500000,6.8770445e-10,6.24975e-05,1.4092562,0,0,0,5876000
27000,500000,3.3250587e-09,6.49975e-05,3.1837771,0,0,0,5876000
28000,500000,1.1451567e-08,6.74975e-05,4.8945421,0,0,15,5875985
29000,500000,1.8124285e-08,6.99975e-05,5.4220307,0,0,8,5875977
30000,500000,1.6647958e-08,7.24975e-05,5.8717593,0,0,0,5875977
31000,500000,1.6770279e-08,7.49975e-05,6.8552115,0,0,0,5875977
32000,500000,3.8043661e-09,7.74975e-05,2.5325054,0,0,20,5875957
33000,500000,9.2139505e-09,7.99975e-05,5.0751401,0,0,0,5875957
34000,500000,1.552386e-08,8.24975e-05,6.6309035,0,0,0,5875957
35000,500000,2.0820408e-08,8.49975e-05,7.7933682,0,0,0,5875957
36000,500000,2.4613362e-08,8.74975e-05,8.5982647,0,0,0,5875957
37000,500000,2.768517e-08,8.99975e-05,8.866217,0,0,6,5875951
38000,500000,2.7983605e-08,9.24975e-05,9.1500471,0,0,2,5875949
39000,500000,3.0802822e-08,9.49975e-05,9.7280268,0,0,2,5875947
40000,500000,3.366588e-08,9.74975e-05,10.305283,0,0,0,5875947
40001,500000,3.3668771e-08,9.75e-05,10.305807,0,0,0,5875947
40001,500000,3.3668771e-08,9.75e-05,20.611614,0,0,0,0
41000,500000,3.6263575e-08,9.99975e-05,10.761397,0,0,0,5875947
42000,500000,3.8268029e-08,0.0001024975,11.098472,0,0,0,5875947
43000,500000,3.9809597e-08,0.0001049975,11.350259,0,0,0,5875947
44000,500000,4.1022475e-08,0.0001074975,11.543042,0,0,0,5875947
45000,500000,4.2041295e-08,0.0001099975,11.698252,0,0,0,5875947
46000,500000,4.2854113e-08,0.0001124975,11.819623,0,0,0,5875947
47000,500000,4.3451097e-08,0.0001149975,11.90898,0,0,0,5875947
48000,500000,4.3884295e-08,0.0001174975,11.974536,0,0,0,5875947
49000,500000,4.420062e-08,0.0001199975,12.023216,0,0,0,5875947
50000,500000,4.4435067e-08,0.0001224975,12.060066,0,0,0,5875947
51000,500000,4.2265774e-08,0.0001249975,12.105015,0,0,0,5875947
52000,500000,3.9637779e-08,0.0001274975,12.266552,0,0,0,5875947
53000,500000,3.8661242e-08,0.0001299975,12.5598,0,0,0,5875947
54000,500000,3.895426e-08,0.0001324975,12.932749,0,0,1,5875946
55000,500000,3.3655552e-08,0.0001349975,12.282909,0,0,9,5875937
56000,500000,3.3946615e-08,0.0001374975,12.976522,0,0,1,5875936
57000,500000,4.7106808e-08,0.0001399975,13.274471,0,0,15,5875921
58000,500000,4.7590923e-08,0.0001424975,13.352004,0,0,8,5875913
59000,500000,4.948678e-08,0.0001449975,13.399497,0,0,9,5875904
60000,500000,4.9119289e-08,0.0001474975,13.369609,0,0,1,5875903
61000,500000,4.7923969e-08,0.0001499975,13.346761,0,0,1,5875902
61001,500000,4.7922937e-08,0.00015,13.346767,0,0,0,5875902
