Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,500000,0,0
1,500000,0,0.447146
1,500000,0,-0,0,0,0,0,0
1000,500000,0,-0,0,0,0,0,5876000
1001,500000,0,0,0,0,0,0,5876000
1001,500000,0,0,0,0,0,0,0
2000,500000,0,2.4975e-06,0,0,0,0,5876000
3000,500000,0,4.9975e-06,0,0,0,0,5876000
4000,500000,0,7.4975e-06,0,0,0,0,5876000
5000,500000,0,9.9975e-06,0,0,0,0,5876000
6000,500000,0,1.24975e-05,0,0,0,0,5876000
7000,500000,0,1.49975e-05,0,0,0,0,5876000
8000,500000,0,1.74975e-05,0,0,0,0,5876000
9000,500000,0,1.99975e-05,0,0,0,0,5876000
10000,500000,0,2.24975e-05,0,0,0,0,5876000
11000,500000,0,2.49975e-05,0,0,0,0,5876000
12000,500000,0,2.74975e-05,0,0,0,0,5876000
13000,500000,0,2.99975e-05,0,0,0,0,5876000
14000,500000,0,3.24975e-05,0,0,0,0,5876000
15000,500000,0,3.49975e-05,0,0,0,0,5876000
16000,500000,0,3.74975e-05,0,0,0,0,5876000
17000,500000,0,3.99975e-05,0,0,0,0,5876000
18000,500000,0,4.24975e-05,0,0,0,0,5876000
19000,500000,0,4.49975e-05,0,0,0,0,5876000
19001,500000,0,4.5e-05,0,0,0,0,5876000
19001,500000,0,4.5e-05,0,0,0,0,0
20000,500000,0,4.74975e-05,0,0,0,0,5876000
21000,500000,0,4.99975e-05,0,0,0,0,5876000
22000,500000,0,5.24975e-05,0,0,0,0,5876000
23000,500000,3.496033e-10,5.49975e-05,1.0118844,0,0,0,5876000
24000,500000,2.222111e-09,5.74975e-05,2.6476149,0,0,0,5876000
25000,500000,8.1382327e-09,5.99975e-05,4.0230582,0,0,15,5875985
26000,500000,1.3006597e-08,6.24975e-05,4.3640218,0,0,9,5875976
27000,500000,6.5380632e-11,6.49975e-05,0.027662972,0,0,13,5875963
28000,500000,2.617213e-10,6.74975e-05,0.46817208,0,0,0,5875963
29000,500000,1.2158071e-09,6.99975e-05,1.052419,0,0,0,5875963
30000,500000,2.3718894e-09,7.24975e-05,1.6098353,0,0,0,5875963
31000,500000,2.7080619e-09,7.49975e-05,2.1892391,0,0,0,5875963
32000,500000,4.2528173e-09,7.74975e-05,3.1825258,0,0,0,5875963
33000,500000,7.3248421e-09,7.99975e-05,4.470968,0,0,0,5875963
34000,500000,1.1640973e-08,8.24975e-05,6.9252313,0,0,0,5875963
35000,500000,1.9754853e-08,8.49975e-05,10.118506,0,0,1,5875962
36000,500000,2.9893517e-08,8.74975e-05,11.561059,0,0,25,5875937
37000,500000,3.9108015e-08,8.99975e-05,12.727208,0,0,7,5875930
38000,500000,4.3509606e-08,9.24975e-05,13.989964,0,0,0,5875930
39000,500000,3.4432232e-08,9.49975e-05,12.603889,0,0,9,5875921
40000,500000,2.155325e-08,9.74975e-05,8.2000774,0,0,20,5875901
41000,500000,1.1169403e-08,9.99975e-05,7.6340636,0,0,12,5875889
42000,500000,2.194156e-08,0.0001024975,11.628806,0,0,2,5875887
43000,500000,2.9079534e-08,0.0001049975,14.293721,0,0,11,5875876
44000,500000,2.3720454e-08,0.0001074975,10.451367,0,0,27,5875849
45000,500000,3.272551e-08,0.0001099975,14.428518,0,0,0,5875849
46000,500000,3.9321524e-08,0.0001124975,16.369061,0,0,6,5875843
47000,500000,5.0529487e-08,0.0001149975,19.035039,0,0,12,5875831
48000,500000,6.3950143e-08,0.0001174975,22.152523,0,0,11,5875820
49000,500000,5.5885752e-08,0.0001199975,21.235566,0,0,21,5875799
