Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,250000,0,0
1,250000,0,0.250461
1,250000,0,-0,0,0,0,0,0
1001,250000,0,0,0,0,0,0,2938000
1001,250000,0,0,0,0,0,0,0
5000,250000,0,9.9975e-06,0,0,0,0,2938000
10000,250000,0,2.24975e-05,0,0,0,0,2938000
15000,250000,0,3.49975e-05,0,0,0,0,2938000
20000,250000,0,4.74975e-05,0,0,0,0,2938000
25000,250000,9.634478e-11,5.99975e-05,0.025000121,0,0,13,2937987
30000,250000,1.4646344e-09,7.24975e-05,1.9073619,0,0,10,2937977
35000,250000,8.4143327e-09,8.49975e-05,3.2581149,0,0,32,2937945
40000,250000,4.7059686e-09,9.74975e-05,3.1019,0,0,28,2937917
45000,250000,2.5135146e-08,0.0001099975,8.4754684,0,0,11,2937906
50000,250000,3.7716955e-08,0.0001224975,10.753809,0,0,0,2937906
55000,250000,4.0043998e-08,0.0001349975,10.964947,0,0,0,2937906
60000,250000,4.105676e-08,0.0001474975,11.17435,0,0,3,2937903
65000,250000,3.6915592e-08,0.0001599975,11.687704,0,0,1,2937902
70000,250000,6.6791305e-08,0.0001724975,4.3909194,0,0,57,2937845
75000,250000,1.3011947e-08,0.0001849975,7.8111555,0,0,52,2937793
80000,250000,5.9011692e-08,0.0001974975,24.085833,0,0,64,2937729
81001,250000,7.2356034e-08,0.0002,27.017553,0,0,16,2937713
