event_index,timestep,pebble_id,new_broken_bonds,cumulative_broken_bonds,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N
1,30000,500,23,23,7.24975e-05,0.0724975,5.4380537,0
2,40000,498,41,41,9.74975e-05,0.0974975,12.514847,0
3,40000,499,40,40,9.74975e-05,0.0974975,12.514847,0
4,40000,500,40,63,9.74975e-05,0.0974975,12.514847,0
5,50000,498,15,56,0.0001224975,0.12249750000000001,28.414774,0
6,50000,499,28,68,0.0001224975,0.12249750000000001,28.414774,0
7,50000,500,26,89,0.0001224975,0.12249750000000001,28.414774,0
8,60000,499,1,69,0.0001474975,0.1474975,36.572236,0
9,60000,500,5,94,0.0001474975,0.1474975,36.572236,0
10,70000,429,30,30,0.0001724975,0.1724975,32.898875,0
11,70000,436,18,18,0.0001724975,0.1724975,32.898875,0
12,70000,478,22,22,0.0001724975,0.1724975,32.898875,0
13,70000,498,37,93,0.0001724975,0.1724975,32.898875,0
14,70000,499,63,132,0.0001724975,0.1724975,32.898875,0
15,70000,500,22,116,0.0001724975,0.1724975,32.898875,0
16,80000,429,6,36,0.0001974975,0.1974975,46.27913,0
17,80000,436,5,23,0.0001974975,0.1974975,46.27913,0
18,80000,478,1,23,0.0001974975,0.1974975,46.27913,0
19,80000,497,39,39,0.0001974975,0.1974975,46.27913,0
20,80000,499,32,164,0.0001974975,0.1974975,46.27913,0
21,80000,500,34,150,0.0001974975,0.1974975,46.27913,0
22,81001,500,31,181,0.0002,0.2,47.85561,0
