Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,250000,0,0
1,250000,0,0.205581
1,250000,0,-0,0,0,0,0,0
1001,250000,0,0,0,0,0,0,2938000
1001,250000,0,0,0,0,0,0,0
5000,250000,0,9.9975e-06,0,0,0,0,2938000
10000,250000,0,2.24975e-05,0,0,0,0,2938000
15000,250000,0,3.49975e-05,0,0,0,0,2938000
20000,250000,0,4.74975e-05,0,0,0,0,2938000
25000,250000,0,5.99975e-05,0,0,0,0,2938000
30000,250000,1.5882081e-08,7.24975e-05,5.4380537,0,0,23,2937977
35000,250000,2.4717581e-08,8.49975e-05,10.864918,0,0,70,2937907
40000,250000,2.9430854e-08,9.74975e-05,12.514847,0,0,51,2937856
45000,250000,7.5212036e-08,0.0001099975,26.08615,0,0,18,2937838
50000,250000,9.0407384e-08,0.0001224975,28.414774,0,0,51,2937787
55000,250000,1.2415784e-07,0.0001349975,34.719893,0,0,0,2937787
60000,250000,1.2854233e-07,0.0001474975,36.572236,0,0,6,2937781
65000,250000,8.5030858e-08,0.0001599975,28.259671,0,0,72,2937709
70000,250000,9.0857003e-08,0.0001724975,32.898875,0,0,120,2937589
75000,250000,1.1067148e-07,0.0001849975,38.068887,0,0,52,2937537
80000,250000,1.3685223e-07,0.0001974975,46.27913,0,0,65,2937472
81001,250000,1.4734929e-07,0.0002,47.85561,0,0,31,2937441
