Step,Atoms,KinEng,erot
0,0,0,0
10000,200,7.1263257e-06,1.0771097e-10
20000,400,1.7927372e-05,3.456394e-09
30000,500,2.9358528e-05,1.1349739e-08
40000,500,3.8697608e-05,1.2567069e-08
50000,500,4.7732974e-05,1.2438545e-08
60000,500,5.6215484e-05,1.1965857e-08
70000,500,6.4011608e-05,1.1297649e-08
80000,500,7.1068499e-05,1.110189e-08
90000,500,7.7064154e-05,1.118745e-08
100000,500,7.1398613e-05,5.0635303e-07
110000,500,3.9432483e-05,1.3642857e-06
120000,500,1.2776062e-05,7.3691929e-07
130000,500,4.6081484e-07,3.3026118e-07
140000,500,5.6953049e-08,7.2905385e-08
150000,500,2.3157655e-08,2.461836e-08
150000,500,2.3157655e-08,2.461836e-08
160000,500,1.2921331e-08,1.3575367e-08
170000,500,8.5661685e-09,6.8608822e-09
180000,500,4.4121714e-09,5.5979437e-09
190000,500,8.0541821e-09,6.7476595e-09
200000,500,5.015058e-10,1.7339565e-09
