Step,Atoms,KinEng,top_disp,top_forc,bottom_f,side_for,all_wall,bond_cre,bond_bro,bond_int
0,50000,0,0
1,50000,4.5347186e-20,0.038196
1,50000,4.5347186e-20,0,0,-0.00035514589,-1.3484619e-10,-0.00035514603,0,0,0
11,50000,1.714542e-15,0,0,-0.00035532744,-9.5187772e-09,-0.00035533695,0,0,493500
11,50000,1.714542e-15,0,0,-0.00071068656,-1.7243249e-08,-0.0007107038,0,0,0
21,50000,1.5680314e-15,0,6.2312492e-06,-0.00035499,-5.7912173e-09,-0.00034876454,0,0,493500
21,50000,1.5680314e-15,1e-08,6.2455766e-06,-0.00071001837,-1.0206769e-08,-0.000703783,0,0,0
31,50000,2.26833e-15,1e-08,1.218877e-08,-0.00035501054,-6.7925218e-09,-0.00035500514,0,0,493500
31,50000,2.26833e-15,1e-08,2.4276597e-08,-0.00071000591,-1.6727652e-08,-0.00070999836,0,0,0
41,50000,2.8034312e-15,1e-08,7.7382884e-06,-0.00035519539,8.6385008e-09,-0.00034744846,0,0,493500
41,50000,2.8034312e-15,2e-08,7.7941008e-06,-0.0007103675,1.7847553e-08,-0.00070255555,0,0,0
51,50000,3.5973869e-15,2e-08,5.224767e-08,-0.00035515171,-1.6542826e-08,-0.00035511601,0,0,493500
51,50000,3.5973869e-15,2e-08,1.0496486e-07,-0.00071031136,-3.0125101e-08,-0.00071023652,0,0,0
61,50000,4.2853059e-15,2e-08,8.7055741e-06,-0.00035505432,-1.9817427e-08,-0.00034636856,0,0,493500
61,50000,4.2853059e-15,3e-08,8.8111422e-06,-0.00071011922,-4.0326923e-08,-0.0007013484,0,0,0
71,50000,4.833221e-15,3e-08,1.0173386e-07,-0.00035507466,-1.2783392e-09,-0.00035497421,0,0,493500
71,50000,4.833221e-15,3e-08,2.0360658e-07,-0.00071014467,-4.265349e-09,-0.00070994533,0,0,0
81,50000,5.1616481e-15,3e-08,9.4635052e-06,-0.00035510566,-1.2907027e-08,-0.00034565506,0,0,493500
81,50000,5.1616481e-15,4e-08,9.6333791e-06,-0.00071020623,-2.4154418e-08,-0.000700597,0,0,0
91,50000,5.4282527e-15,4e-08,1.6535371e-07,-0.00035509988,-1.8037588e-08,-0.00035495257,0,0,493500
91,50000,5.4282527e-15,4e-08,3.3121511e-07,-0.00071020063,-3.6090025e-08,-0.00070990551,0,0,0
100,50000,5.6543796e-15,4e-08,1.003835e-05,-0.00035506843,-1.0630639e-08,-0.00034504071,0,0,493500
101,50000,5.6886885e-15,4e-08,1.0098647e-05,-0.0003550699,-1.1342089e-08,-0.0003449826,0,0,493500
101,50000,5.6886885e-15,5e-08,1.0338628e-05,-0.00071014134,-2.337697e-08,-0.00069982609,0,0,0
111,50000,5.9271709e-15,5e-08,2.3433684e-07,-0.00035508952,-1.393982e-08,-0.00035486912,0,0,493500
111,50000,5.9271709e-15,5e-08,4.6898602e-07,-0.00071017886,-2.7608865e-08,-0.00070973748,0,0,0
