Step,Atoms,KinEng,top_disp,top_forc,bottom_f,side_for,all_wall,bond_cre,bond_bro,bond_int
1,50000,4.5347186e-20,0,0,-6.3926234,-1.8091515e-08,-6.3926235,0,0,0
100,50000,7.1489044e-07,0,0.00074499773,-4.239586,0.026685205,-4.2121558,0,1,493499
200,50000,9.9633514e-07,0,0.0032272068,-3.416989,0.14327967,-3.2704821,0,4,493495
300,50000,1.1351794e-06,0,0.0088098552,-2.4698076,0.32728196,-2.1337158,0,1,493494
400,50000,1.2851459e-06,0,0.015842077,-1.768327,0.42538555,-1.3270994,0,2,493492
500,50000,1.4406526e-06,0,0.02281317,-1.5099848,0.41560024,-1.0715714,0,0,493492
600,50000,1.5812155e-06,0,0.031632395,-1.1973271,0.4187447,-0.74694997,0,1,493491
700,50000,1.6177307e-06,0,0.045641929,-0.93269976,0.37828149,-0.50877634,0,0,493491
800,50000,1.6848918e-06,0,0.054999031,-0.86555319,0.32604321,-0.48451094,0,2,493489
900,50000,1.7248754e-06,0,0.065136222,-0.71002824,0.35187367,-0.29301835,0,0,493489
1000,50000,1.6886344e-06,0,0.075312609,-0.53628191,0.31704648,-0.14392282,0,1,493488
1001,50000,1.688581e-06,0,0.07540232,-0.5355083,0.31652328,-0.1435827,0,0,493488
1001,50000,1.688581e-06,0,0.15080477,-1.0710309,0.64196286,-0.27826332,0,0,0
1001,50000,1.688581e-06,0,0.22620722,-1.6065536,0.96740244,-0.41294393,0,0,0
1100,50000,1.6611082e-06,0,0.09055866,-0.42916322,0.29118349,-0.047421068,0,1,493487
1200,50000,1.6358003e-06,0,0.12552281,-0.23812939,0.27203878,0.1594322,0,0,493487
1300,50000,1.6099875e-06,0,0.16291966,-0.18638214,0.25410942,0.23064695,0,0,493487
1400,50000,1.5794126e-06,0,0.18652586,-0.13866364,0.2339223,0.28178452,0,0,493487
1500,50000,1.5677729e-06,0,0.19615155,-0.11851588,0.2046917,0.28232737,0,0,493487
1600,50000,1.5400609e-06,0,0.1928955,-0.102963,0.17306583,0.26299834,0,0,493487
1700,50000,1.518663e-06,0,0.17627227,-0.089708125,0.17084254,0.25740669,0,0,493487
1800,50000,1.5021397e-06,0,0.17188504,-0.089561865,0.13699797,0.21932115,0,0,493487
1900,50000,1.4657961e-06,0,0.16144991,-0.088746277,0.095054148,0.16775779,0,1,493486
2000,50000,1.440996e-06,0,0.15263963,-0.07381601,0.076403915,0.15522753,0,0,493486
2001,50000,1.4406137e-06,0,0.15252827,-0.073682757,0.076245858,0.15509137,0,0,493486
2001,50000,1.4406137e-06,0,0.30505322,-0.14738514,0.15548227,0.31315035,0,0,0
2001,50000,1.4406137e-06,0,0.45757816,-0.22108751,0.23471868,0.47120933,0,0,0
2100,50000,1.4129712e-06,0,0.13741538,-0.064243644,0.064550201,0.13772194,0,0,493486
2200,50000,1.3823744e-06,0,0.12715311,-0.053484301,0.06957254,0.14324135,0,0,493486
2300,50000,1.3441717e-06,0,0.11552772,-0.035580518,0.065915452,0.14586265,0,0,493486
2400,50000,1.2998021e-06,0,0.10526417,-0.04953589,0.048740962,0.10446925,0,0,493486
2500,50000,1.2562443e-06,0,0.095520978,-0.068917781,0.025331653,0.05193485,0,0,493486
2600,50000,1.2261117e-06,0,0.08510668,-0.08327135,0.022748089,0.02458342,0,0,493486
2700,50000,1.2083432e-06,0,0.07051756,-0.083840494,0.023751619,0.010428686,0,0,493486
2800,50000,1.1743842e-06,0,0.053287245,-0.08129907,0.014194229,-0.013817596,0,0,493486
2900,50000,1.1403856e-06,0,0.042203356,-0.067513588,0.0076463097,-0.017663922,0,0,493486
3000,50000,1.1069041e-06,0,0.033566783,-0.05667747,-0.0050234315,-0.028134119,0,0,493486
3001,50000,1.1066714e-06,0,0.033513289,-0.056657924,-0.0051860622,-0.028330698,0,0,493486
3001,50000,1.1066714e-06,0,0.067028463,-0.11332364,-0.011680205,-0.05797538,0,0,0
3001,50000,1.1066714e-06,0,0.10054364,-0.16998935,-0.018174347,-0.087620063,0,0,0
3100,50000,1.0751588e-06,0,0.029470924,-0.061540358,-0.013545039,-0.045614474,0,0,493486
3200,50000,1.0506089e-06,0,0.023578896,-0.069505945,-0.014900131,-0.06082718,0,0,493486
3300,50000,1.0221676e-06,0,0.020304919,-0.0650401,-0.0087734869,-0.053508668,0,0,493486
3400,50000,9.9277824e-07,0,0.016869867,-0.067646102,-0.0015486093,-0.052324843,0,0,493486
3500,50000,9.6541904e-07,0,0.014450108,-0.066586941,0.0050312906,-0.047105542,0,0,493486
3600,50000,9.3670305e-07,0,0.011067041,-0.051741014,0.0035529265,-0.037121047,0,0,493486
3700,50000,9.1343455e-07,0,0.0064724846,-0.044313059,-0.0032317549,-0.041072329,0,0,493486
3800,50000,8.8415541e-07,0,0.0035556816,-0.035461585,-0.0034099812,-0.035315885,0,0,493486
