Step,Atoms,KinEng,top_disp,top_forc,bottom_f,side_for,all_wall,bond_cre,bond_bro,bond_int
1,50000,4.5347186e-20,0,0,-3.5514575,-1.3484619e-08,-3.5514575,0,0,0
100,50000,2.9343028e-07,0,0.00021106834,-2.7688993,0.0043264084,-2.7643618,0,1,493499
200,50000,3.9334219e-07,0,0.0010298307,-2.4329703,0.077452239,-2.3544882,0,0,493499
300,50000,4.5772246e-07,0,0.0030750874,-2.0320923,0.19764202,-1.8313752,0,1,493498
400,50000,5.194644e-07,0,0.0062990571,-1.6174111,0.26956496,-1.3415471,0,0,493498
500,50000,5.9474076e-07,0,0.009766361,-1.388068,0.30020247,-1.0780991,0,0,493498
600,50000,6.6466853e-07,0,0.013587404,-1.1563675,0.3423105,-0.80046958,0,0,493498
700,50000,7.272932e-07,0,0.018649893,-0.93945973,0.3539015,-0.56690834,0,0,493498
800,50000,7.9104754e-07,0,0.023218916,-0.88212467,0.32810532,-0.53080043,0,0,493498
900,50000,8.4074122e-07,0,0.027952502,-0.81337329,0.32434325,-0.46107753,0,0,493498
1000,50000,8.8212052e-07,0,0.033080663,-0.70677095,0.31045523,-0.36323506,0,0,493498
1001,50000,8.8229125e-07,0,0.033125899,-0.70636815,0.31029109,-0.36295116,0,0,493498
1001,50000,8.8229125e-07,0,0.066250631,-1.412777,0.62647171,-0.72005469,0,0,0
1001,50000,8.8229125e-07,0,0.099375363,-2.1191859,0.94265234,-1.0771582,0,0,0
1100,50000,9.1738584e-07,0,0.03776142,-0.67386438,0.2953278,-0.34077517,0,0,493498
1200,50000,9.2961142e-07,0,0.043364726,-0.55670076,0.29166151,-0.22167452,0,0,493498
1201,50000,9.2995942e-07,0,0.043419907,-0.55548203,0.29165442,-0.2204077,0,0,493498
1201,50000,9.2995942e-07,0,0.086839224,-1.1109581,0.58837806,-0.43574081,0,0,0
1201,50000,9.2995942e-07,0,0.13025854,-1.6664342,0.8851017,-0.65107391,0,0,0
1300,50000,9.3376856e-07,0,0.048977749,-0.48214974,0.2960577,-0.13711429,0,0,493498
1400,50000,9.4078294e-07,0,0.062477692,-0.41992749,0.29184848,-0.065601322,0,0,493498
1401,50000,9.405899e-07,0,0.062648659,-0.41920716,0.29169183,-0.064866674,0,0,493498
1401,50000,9.405899e-07,0,0.12529661,-0.83839705,0.58712503,-0.12597541,0,0,0
1401,50000,9.405899e-07,0,0.18794456,-1.2575869,0.88255822,-0.18708415,0,0,0
1500,50000,9.4851209e-07,0,0.081638391,-0.35536006,0.26146311,-0.012258561,0,0,493498
1600,50000,9.3839866e-07,0,0.10375882,-0.29301534,0.22404703,0.03479051,0,0,493498
1601,50000,9.3843457e-07,0,0.10395601,-0.29241077,0.22371799,0.035263226,0,0,493498
1601,50000,9.3843457e-07,0,0.20790772,-0.5848206,0.44743946,0.070526574,0,0,0
1601,50000,9.3843457e-07,0,0.31185943,-0.87723044,0.67116093,0.10578992,0,0,0
1700,50000,9.3065811e-07,0,0.11893742,-0.24799784,0.19906692,0.070006494,0,0,493498
1800,50000,9.2532295e-07,0,0.12918049,-0.19964954,0.1923718,0.12190275,0,1,493497
1801,50000,9.2520756e-07,0,0.12925956,-0.19912434,0.19198631,0.12212153,0,0,493497
1801,50000,9.2520756e-07,0,0.25851617,-0.39823755,0.38513117,0.24540979,0,0,0
1801,50000,9.2520756e-07,0,0.38777278,-0.59735077,0.57827603,0.36869805,0,0,0
1900,50000,9.2093457e-07,0,0.13248065,-0.16225568,0.16756992,0.13779489,0,0,493497
2000,50000,9.1990024e-07,0,0.13015069,-0.1403352,0.14972333,0.13953883,0,0,493497
2001,50000,9.1991247e-07,0,0.13011909,-0.14003931,0.14959306,0.13967284,0,0,493497
2001,50000,9.1991247e-07,0,0.26023729,-0.28006771,0.30058942,0.280759,0,0,0
