timestep,pebble_id,pebble_z_mm,rank_from_top,reference_step,initial_internal_bonds,intact_internal_bonds,broken_internal_bonds,delta_broken_since_previous_dump,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N,side_force_z_N,all_wall_force_z_N
20000,1,0.495167,98,20000,4935,4935,0,0,5e-06,0.005,0.016378015,-0.030637779,-0.0050291432,-0.019288906
20000,2,0.497921,78,20000,4935,4935,0,0,5e-06,0.005,0.016378015,-0.030637779,-0.0050291432,-0.019288906
20000,3,0.497186,85,20000,4935,4935,0,0,5e-06,0.005,0.016378015,-0.030637779,-0.0050291432,-0.019288906
20000,4,0.495532,97,20000,4935,4935,0,0,5e-06,0.005,0.016378015,-0.030637779,-0.0050291432,-0.019288906
20000,5,0.497462,83,20000,4935,4935,0,0,5e-06,0.005,0.016378015,-0.030637779,-0.0050291432,-0.019288906
20000,6,0.494001,100,20000,4935,4935,0,0,5e-06,0.005,0.016378015,-0.030637779,-0.0050291432,-0.019288906
20000,7,1.46762,46,20000,4935,4935,0,0,5e-06,0.005,0.016378015,-0.030637779,-0.0050291432,-0.019288906
20000,8,0.497731,80,20000,4935,4935,0,0,5e-06,0.005,0.016378015,-0.030637779,-0.0050291432,-0.019288906
20000,9,2.19007,20,20000,4935,4935,0,0,5e-06,0.005,0.016378015,-0.030637779,-0.0050291432,-0.019288906
20000,10,0.497189,84,20000,4935,4935,0,0,5e-06,0.005,0.016378015,-0.030637779,-0.0050291432,-0.019288906
20000,11,2.24635,18,20000,4935,4935,0,0,5e-06,0.005,0.016378015,-0.030637779,-0.0050291432,-0.019288906
20000,12,0.494971,99,20000,4935,4935,0,0,5e-06,0.005,0.016378015,-0.030637779,-0.0050291432,-0.019288906
20000,13,0.498614,76,20000,4935,4935,0,0,5e-06,0.005,0.016378015,-0.030637779,-0.0050291432,-0.019288906
20000,14,0.498352,77,20000,4935,4935,0,0,5e-06,0.005,0.016378015,-0.030637779,-0.0050291432,-0.019288906
20000,15,0.496528,95,20000,4935,4935,0,0,5e-06,0.005,0.016378015,-0.030637779,-0.0050291432,-0.019288906
