Step,Atoms,KinEng,top_disp,top_forc,bottom_f,side_for,all_wall,bond_cre,bond_bro,bond_int
1,50000,4.5347186e-20,0,0,-1.420583,-8.5284218e-09,-1.420583,0,0,0
100,50000,6.7326817e-08,0,2.3278353e-05,-1.2928598,-0.00056696657,-1.2934035,0,0,493500
200,50000,8.723201e-08,0,0.00013828427,-1.2045165,0.012398594,-1.1919796,0,0,493500
300,50000,1.0656399e-07,0,0.00046215353,-1.1292323,0.047337209,-1.081433,0,0,493500
400,50000,1.3779733e-07,0,0.0010718051,-1.0306849,0.091255277,-0.93835778,0,0,493500
500,50000,1.5213838e-07,0,0.0018377839,-0.94993326,0.11366176,-0.83443372,0,0,493500
600,50000,1.7444522e-07,0,0.0027590258,-0.84972276,0.12475297,-0.72221077,0,0,493500
700,50000,1.9865606e-07,0,0.0038634552,-0.74026176,0.14456643,-0.59183187,0,0,493500
800,50000,2.2451635e-07,0,0.0049527909,-0.66504839,0.1668322,-0.4932634,0,0,493500
900,50000,2.4454943e-07,0,0.0061672718,-0.61430806,0.18521097,-0.42292982,0,0,493500
1000,50000,2.7625073e-07,0,0.0074502799,-0.54917088,0.18145552,-0.36026508,0,0,493500
1001,50000,2.7629742e-07,0,0.0074620964,-0.54871207,0.18136249,-0.35988748,0,0,493500
1001,50000,2.7629742e-07,0,0.014923876,-1.0974553,0.36532388,-0.71720751,0,0,0
1100,50000,2.9819106e-07,0,0.016186506,-0.5194786,0.17499853,-0.32829357,0,0,493500
1200,50000,3.149204e-07,0,0.025081525,-0.47163147,0.17110662,-0.27544332,0,0,493500
1300,50000,3.3297594e-07,0,0.034053697,-0.42361844,0.16943982,-0.22012492,0,0,493500
1400,50000,3.4947772e-07,0,0.042726403,-0.39192216,0.16425025,-0.18494551,0,0,493500
1500,50000,3.5930626e-07,0,0.055193152,-0.35644166,0.15199843,-0.14925007,0,0,493500
1600,50000,3.6668058e-07,0,0.072948705,-0.31993317,0.14481445,-0.10217001,0,0,493500
1700,50000,3.7377095e-07,0,0.091962324,-0.29187264,0.14304547,-0.056864851,0,0,493500
