mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
3,35,1,0.0002581732302037529,0.0002581732302037529,2.79208e-08
5,37,1,6.688533399542832e-06,6.688533399542832e-06,2.83212e-09
10,43,1,0.0004306302497932536,0.0004306302497932536,4.2697e-08
12,89,2,0.0003677901579543198,0.0002465679277583281,2.68189e-08
13,55,1,0.0007387899635762521,0.0007387899635762521,5.65574e-08
18,26,2,0.0010535112730086077,0.0007938809703280462,6.48541e-08
21,55,1,8.289220297428463e-05,8.289220297428463e-05,1.05092e-08
26,27,1,0.0006043526439585501,0.0006043526439585501,5.34911e-08
26,40,2,0.0014304357232856261,0.0010222470072179229,6.94957e-08
27,43,1,0.0005877960135701841,0.0005877960135701841,5.11388e-08
28,35,2,0.00010717747496720656,7.734934444404102e-05,1.25196e-08
29,71,1,9.94301040404263e-06,9.94301040404263e-06,2.86554e-09
34,81,1,2.0001603929757466e-06,2.0001603929757466e-06,1.09218e-09
35,70,1,0.00034572143871764734,0.00034572143871764734,3.38877e-08
37,62,1,4.696690920526068e-05,4.696690920526068e-05,9.39789e-09
39,65,1,2.385220081656198e-06,2.385220081656198e-06,1.28082e-09
40,72,1,0.0014013954047584142,0.0014013954047584142,8.67912e-08
40,74,1,0.001051870593613587,0.001051870593613587,7.60727e-08
43,58,2,0.0010900932631088562,0.0009350293205680772,7.06902e-08
55,82,1,0.0006969932928228506,0.0006969932928228506,5.40846e-08
58,72,1,0.0008159365789134593,0.0008159365789134593,5.6451e-08
58,83,1,0.0011705740264712008,0.0011705740264712008,7.78015e-08
58,94,1,0.00024339936739252219,0.00024339936739252219,2.84258e-08
60,62,1,5.808405984657064e-05,5.808405984657064e-05,1.06447e-08
62,70,2,0.0005790622935631082,0.0003463167384516087,3.52767e-08
62,83,2,0.000819166139052698,0.0004444673704491703,4.079e-08
66,94,1,1.2995446963717716e-05,1.2995446963717716e-05,3.77255e-09
70,76,1,0.00014836088326445753,0.00014836088326445753,1.90621e-08
72,96,2,0.0032451168135009135,0.00228841607247371,1.22589e-07
74,82,2,0.0007465973361637706,0.000724293549666846,5.72728e-08
76,100,1,7.630608914929399e-06,7.630608914929399e-06,3.24203e-09
80,82,1,0.0004010097850329964,0.0004010097850329964,3.80481e-08
83,95,1,8.96106590966164e-05,8.96106590966164e-05,1.4115e-08
