mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
5,37,2,7.61463975014709e-05,6.816765817497326e-05,1.01802e-08
6,31,1,2.386652317141347e-06,2.386652317141347e-06,1.32565e-09
7,37,1,4.026161667102924e-05,4.026161667102924e-05,6.68121e-09
10,43,1,0.00023506835486277177,0.00023506835486277177,2.7712e-08
11,92,1,0.0003913875024550477,0.0003913875024550477,3.71539e-08
26,27,1,0.0010343456264585837,0.0010343456264585837,6.91804e-08
26,40,2,0.0014118529847152107,0.0009991422168232158,7.15584e-08
26,92,1,0.0003937686203711515,0.0003937686203711515,3.61344e-08
27,43,1,0.0004260776835018351,0.0004260776835018351,4.12436e-08
30,36,1,3.382554681677149e-06,3.382554681677149e-06,1.42966e-09
34,81,1,0.0001970750772477332,0.0001970750772477332,2.37969e-08
35,70,1,0.0004350312087292244,0.0004350312087292244,3.68946e-08
37,92,1,0.0009888868043664047,0.0009888868043664047,6.95457e-08
40,72,1,0.002218986148393225,0.002218986148393225,1.11325e-07
40,74,1,0.0031604202550502675,0.0031604202550502675,1.53015e-07
43,58,2,0.0018406678360017633,0.0016189404802740587,1.00811e-07
55,82,1,0.00033381717275450344,0.00033381717275450344,2.68325e-08
58,72,1,0.001153434005863361,0.001153434005863361,6.76455e-08
58,83,1,0.0012487138198722717,0.0012487138198722717,8.07121e-08
58,94,1,0.0005564249513501349,0.0005564249513501349,4.6228e-08
60,62,1,0.00012606105053623818,0.00012606105053623818,1.68444e-08
62,70,2,0.0019001017049309471,0.0017013371524739005,9.98552e-08
62,81,1,0.00021179248965024703,0.00021179248965024703,2.45865e-08
62,83,1,0.0009369319872354665,0.0009369319872354665,6.63418e-08
71,81,2,0.0006165167735768924,0.000615600862674022,5.0745e-08
72,96,1,0.00657765751777181,0.00657765751777181,2.41819e-07
74,82,2,0.001094778216442738,0.000696566345266551,5.76066e-08
80,82,1,0.0012698503319123872,0.0012698503319123872,8.22183e-08
