timestep,pebble_id,pebble_z_mm,rank_from_top,reference_step,initial_internal_bonds,intact_internal_bonds,broken_internal_bonds,delta_broken_since_previous_dump,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N,side_force_z_N,all_wall_force_z_N
15001,1,0.494897,99,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,2,0.498216,83,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,3,0.497519,90,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,4,0.497308,92,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,5,0.497368,91,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,6,0.945234,69,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,7,0.498749,78,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,8,0.497008,94,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,9,0.498599,80,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,10,0.497867,88,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,11,0.498214,84,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,12,0.498528,81,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,13,0.496487,95,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,14,0.499377,76,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,15,0.494567,100,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,16,0.498267,82,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,17,0.498128,86,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,18,0.498669,79,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,19,0.499634,74,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,20,1.47492,45,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,21,1.29942,57,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,22,1.6521,43,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,23,0.93737,70,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,24,0.496428,96,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
15001,25,1.30692,56,15001,4935,4935,0,0,5e-06,0.005,0.039801965,-0.021428011,-0.0073721348,0.01100182
