Step,Atoms,KinEng,top_disp,top_forc,bottom_f,side_for,all_wall,bond_cre,bond_bro,bond_int
1,50000,4.5347186e-20,0,0,-0.010758483,-4.9046729e-10,-0.010758484,0,0,0
100,50000,1.1405495e-08,0,0,-0.010153335,-0.00036731308,-0.010520648,0,0,493500
200,50000,2.4251109e-08,0,0,-0.01049416,-0.00034369474,-0.010837855,0,0,493500
300,50000,4.2862281e-08,0,0,-0.0098930446,0.00063495373,-0.0092580909,0,0,493500
400,50000,5.6622756e-08,0,0,-0.00874632,0.0026143833,-0.0061319367,0,0,493500
500,50000,6.5493972e-08,0,0,-0.0075247847,0.0042226275,-0.0033021572,0,0,493500
600,50000,6.6932692e-08,0,0,-0.0071174588,0.0045683076,-0.0025491512,0,0,493500
700,50000,6.8603727e-08,0,0,-0.0059954258,0.0044509867,-0.0015444391,0,0,493500
800,50000,6.856742e-08,0,0,-0.0046142445,0.0016084869,-0.0030057576,0,0,493500
900,50000,6.8174698e-08,0,0,-0.0037114718,0.00044706471,-0.0032644071,0,0,493500
1000,50000,6.7205787e-08,0,0,-0.0023642687,0.0005151449,-0.0018491238,0,0,493500
1100,50000,6.8265122e-08,0,0,-0.0018273906,0.00075424623,-0.0010731444,0,0,493500
1200,50000,6.4769514e-08,0,0,-0.00113184,0.00028624444,-0.00084559553,0,0,493500
1300,50000,6.5116262e-08,0,0,-0.00025398236,-0.00029163049,-0.00054561285,0,0,493500
1400,50000,6.369286e-08,0,0,-0.00015871652,-0.00093001589,-0.0010887324,0,0,493500
1500,50000,6.1171517e-08,0,0,-6.5728075e-05,-0.00056587427,-0.00063160234,0,0,493500
1600,50000,6.0680508e-08,0,0,-1.9082816e-05,-5.1944623e-05,-7.1027439e-05,0,0,493500
1700,50000,5.8997706e-08,0,0,-1.612101e-06,0,-1.612101e-06,0,0,493500
1800,50000,5.734339e-08,0,0,0,0,0,0,0,493500
1900,50000,5.5864232e-08,0,0,0,0,0,0,0,493500
2000,50000,5.4115999e-08,0,0,0,0,0,0,0,493500
2100,50000,5.3079748e-08,0,0,0,0,0,0,0,493500
2200,50000,5.1058005e-08,0,0,0,0,0,0,0,493500
2300,50000,5.0317486e-08,0,0,0,0,0,0,0,493500
2400,50000,4.905954e-08,0,0,0,0,0,0,0,493500
2500,50000,4.7334386e-08,0,0,0,0,0,0,0,493500
2600,50000,4.680706e-08,0,0,0,0,0,0,0,493500
2700,50000,4.46257e-08,0,0,0,0,0,0,0,493500
2800,50000,4.4105978e-08,0,0,0,0,0,0,0,493500
2900,50000,4.246821e-08,0,0,0,0,0,0,0,493500
3000,50000,4.1704566e-08,0,0,0,0,0,0,0,493500
3100,50000,4.0771058e-08,0,0,0,0,0,0,0,493500
3200,50000,3.92727e-08,0,0,0,0,0,0,0,493500
3300,50000,3.864742e-08,0,0,0,0,0,0,0,493500
3400,50000,3.7700455e-08,0,0,0,0,0,0,0,493500
3500,50000,3.5726058e-08,0,0,0,0,0,0,0,493500
3600,50000,3.6040604e-08,0,0,0,0,0,0,0,493500
3700,50000,3.4318773e-08,0,0,0,0,0,0,0,493500
3800,50000,3.3831976e-08,0,0,0,0,0,0,0,493500
3900,50000,3.2724786e-08,0,0,0,0,0,0,0,493500
4000,50000,3.2280404e-08,0,0,0,0,0,0,0,493500
4100,50000,3.0828708e-08,0,0,0,0,0,0,0,493500
4200,50000,3.0234995e-08,0,0,0,0,0,0,0,493500
4300,50000,2.9609794e-08,0,0,0,0,0,0,0,493500
4400,50000,2.8657103e-08,0,0,0,0,0,0,0,493500
4500,50000,2.776032e-08,0,0,0,0,0,0,0,493500
4600,50000,2.7920799e-08,0,0,0,0,0,0,0,493500
4700,50000,2.5893439e-08,0,0,0,0,0,0,0,493500
4800,50000,2.6142973e-08,0,0,0,0,0,0,0,493500
4900,50000,2.5100624e-08,0,0,0,0,0,0,0,493500
5000,50000,2.4366294e-08,0,0,0,0,0,0,0,493500
5100,50000,2.3767082e-08,0,0,0,0,0,0,0,493500
5200,50000,2.3481106e-08,0,0,0,0,0,0,0,493500
5300,50000,2.2529817e-08,0,0,0,0,0,0,0,493500
5400,50000,2.2062381e-08,0,0,0,0,0,0,0,493500
5500,50000,2.1369153e-08,0,0,0,0,0,0,0,493500
5600,50000,2.1078136e-08,0,0,0,0,0,0,0,493500
5700,50000,1.9914462e-08,0,0,0,0,0,0,0,493500
5800,50000,2.0206137e-08,0,0,0,0,0,0,0,493500
5900,50000,1.9110351e-08,0,0,0,0,0,0,0,493500
6000,50000,1.8873223e-08,0,0,0,0,0,0,0,493500
