Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,500,0,0,0,0,0,0,0
1000,500,0,5e-07,0,0,5846,0,5846
2000,500,0,1e-06,0,0,0,0,5846
3000,500,0,1.5e-06,0,0,0,0,5846
4000,500,0,2e-06,0,0,0,0,5846
5000,500,0,2.5e-06,0,0,0,0,5846
6000,500,0,3e-06,0,0,0,0,5846
7000,500,0,3.5e-06,0,0,0,0,5846
8000,500,0,4e-06,0,0,0,0,5846
9000,500,0,4.5e-06,0,0,0,0,5846
10000,500,0,5e-06,0,0,0,0,5846
11000,500,0,5.5e-06,0,0,0,0,5846
12000,500,0,6e-06,0,0,0,0,5846
13000,500,0,6.5e-06,0,0,0,0,5846
14000,500,0,7e-06,0,0,0,0,5846
15000,500,0,7.5e-06,0,0,0,0,5846
16000,500,0,8e-06,0,0,0,0,5846
17000,500,0,8.5e-06,0,0,0,0,5846
18000,500,0,9e-06,0,0,0,0,5846
19000,500,0,9.5e-06,0,0,0,0,5846
20000,500,0,1e-05,0,0,0,0,5846
21000,500,0,1.05e-05,0,0,0,0,5846
22000,500,0,1.1e-05,0,0,0,0,5846
23000,500,0,1.15e-05,0,0,0,0,5846
24000,500,0,1.2e-05,0,0,0,0,5846
25000,500,0,1.25e-05,0,0,0,0,5846
26000,500,0,1.3e-05,0,0,0,0,5846
27000,500,0,1.35e-05,0,0,0,0,5846
28000,500,0,1.4e-05,0,0,0,0,5846
29000,500,0,1.45e-05,0,0,0,0,5846
30000,500,0,1.5e-05,0,0,0,0,5846
31000,500,0,1.55e-05,0,0,0,0,5846
32000,500,0,1.6e-05,0,0,0,0,5846
33000,500,0,1.65e-05,0,0,0,0,5846
34000,500,0,1.7e-05,0,0,0,0,5846
35000,500,0,1.75e-05,0,0,0,0,5846
36000,500,0,1.8e-05,0,0,0,0,5846
37000,500,0,1.85e-05,0,0,0,0,5846
38000,500,0,1.9e-05,0,0,0,0,5846
39000,500,0,1.95e-05,0,0,0,0,5846
40000,500,0,2e-05,0,0,0,0,5846
41000,500,0,2.05e-05,0,0,0,0,5846
42000,500,0,2.1e-05,0,0,0,0,5846
