timestep,intact_bonds,fragment_count,largest_fragment_particles,second_fragment_particles,single_particle_fragments
0,0,500,1,1,500
1000,5839,1,500,0,0
2000,5839,1,500,0,0
3000,5839,1,500,0,0
4000,5839,1,500,0,0
5000,5839,1,500,0,0
6000,5839,1,500,0,0
7000,5839,1,500,0,0
8000,5839,1,500,0,0
9000,5839,1,500,0,0
10000,5839,1,500,0,0
11000,5839,1,500,0,0
12000,5839,1,500,0,0
13000,5839,1,500,0,0
14000,5839,1,500,0,0
15000,5839,1,500,0,0
16000,5839,1,500,0,0
17000,5839,1,500,0,0
18000,5839,1,500,0,0
19000,5839,1,500,0,0
20000,5839,1,500,0,0
21000,5839,1,500,0,0
22000,5839,1,500,0,0
23000,5839,1,500,0,0
24000,5839,1,500,0,0
25000,5839,1,500,0,0
26000,5839,1,500,0,0
27000,5839,1,500,0,0
28000,5839,1,500,0,0
29000,5839,1,500,0,0
30000,5839,1,500,0,0
31000,5839,1,500,0,0
32000,5839,1,500,0,0
33000,5839,1,500,0,0
34000,5839,1,500,0,0
35000,5839,1,500,0,0
36000,5839,1,500,0,0
37000,5839,1,500,0,0
38000,5839,1,500,0,0
39000,5839,1,500,0,0
40000,5839,1,500,0,0
41000,5839,1,500,0,0
42000,5839,1,500,0,0
43000,5839,1,500,0,0
44000,5839,1,500,0,0
45000,5839,1,500,0,0
46000,5839,1,500,0,0
47000,5839,1,500,0,0
48000,5839,1,500,0,0
49000,5839,1,500,0,0
50000,5839,1,500,0,0
51000,5839,1,500,0,0
52000,5839,1,500,0,0
53000,5839,1,500,0,0
54000,5839,1,500,0,0
55000,5839,1,500,0,0
56000,5839,1,500,0,0
57000,5839,1,500,0,0
58000,5839,1,500,0,0
59000,5839,1,500,0,0
60000,5839,1,500,0,0
61000,5839,1,500,0,0
62000,5839,1,500,0,0
63000,5839,1,500,0,0
64000,5839,1,500,0,0
65000,5839,1,500,0,0
66000,5839,1,500,0,0
67000,5839,1,500,0,0
68000,5839,1,500,0,0
69000,5839,1,500,0,0
70000,5839,1,500,0,0
71000,5839,1,500,0,0
72000,5839,1,500,0,0
73000,5839,1,500,0,0
74000,5839,1,500,0,0
75000,5839,1,500,0,0
76000,5839,1,500,0,0
77000,5839,1,500,0,0
78000,5839,1,500,0,0
79000,5839,1,500,0,0
80000,5839,1,500,0,0
81000,5839,1,500,0,0
82000,5839,1,500,0,0
83000,5839,1,500,0,0
84000,5839,1,500,0,0
85000,5839,1,500,0,0
86000,5839,1,500,0,0
87000,5839,1,500,0,0
88000,5839,1,500,0,0
89000,5839,1,500,0,0
90000,5839,1,500,0,0
91000,5839,1,500,0,0
92000,5839,1,500,0,0
93000,5839,1,500,0,0
94000,5839,1,500,0,0
95000,5839,1,500,0,0
96000,5839,1,500,0,0
97000,5839,1,500,0,0
98000,5839,1,500,0,0
99000,5839,1,500,0,0
100000,5839,1,500,0,0
101000,5839,1,500,0,0
102000,5839,1,500,0,0
103000,5839,1,500,0,0
104000,5839,1,500,0,0
105000,5839,1,500,0,0
106000,5839,1,500,0,0
107000,5839,1,500,0,0
108000,5839,1,500,0,0
109000,5839,1,500,0,0
110000,5839,1,500,0,0
111000,5839,1,500,0,0
112000,5839,1,500,0,0
113000,5839,1,500,0,0
114000,5839,1,500,0,0
115000,5839,1,500,0,0
116000,5839,1,500,0,0
117000,5839,1,500,0,0
118000,5839,1,500,0,0
119000,5839,1,500,0,0
120000,5839,1,500,0,0
121000,5839,1,500,0,0
122000,5839,1,500,0,0
123000,5839,1,500,0,0
124000,5839,1,500,0,0
125000,5839,1,500,0,0
126000,5839,1,500,0,0
127000,5839,1,500,0,0
128000,5839,1,500,0,0
129000,5839,1,500,0,0
130000,5839,1,500,0,0
131000,5839,1,500,0,0
132000,5839,1,500,0,0
133000,5839,1,500,0,0
134000,5839,1,500,0,0
135000,5839,1,500,0,0
136000,5839,1,500,0,0
137000,5839,1,500,0,0
138000,5839,1,500,0,0
139000,5839,1,500,0,0
140000,5839,1,500,0,0
141000,5839,1,500,0,0
142000,5839,1,500,0,0
143000,5839,1,500,0,0
144000,5839,1,500,0,0
145000,5839,1,500,0,0
146000,5839,1,500,0,0
147000,5839,1,500,0,0
148000,5839,1,500,0,0
149000,5839,1,500,0,0
150000,5839,1,500,0,0
151000,5839,1,500,0,0
152000,5839,1,500,0,0
153000,5839,1,500,0,0
154000,5839,1,500,0,0
155000,5839,1,500,0,0
156000,5839,1,500,0,0
157000,5839,1,500,0,0
158000,5839,1,500,0,0
159000,5839,1,500,0,0
160000,5839,1,500,0,0
161000,5839,1,500,0,0
162000,5839,1,500,0,0
163000,5839,1,500,0,0
164000,5839,1,500,0,0
165000,5839,1,500,0,0
166000,5839,1,500,0,0
167000,5839,1,500,0,0
168000,5839,1,500,0,0
169000,5839,1,500,0,0
170000,5839,1,500,0,0
171000,5839,1,500,0,0
172000,5839,1,500,0,0
173000,5839,1,500,0,0
174000,5839,1,500,0,0
175000,5839,1,500,0,0
176000,5839,1,500,0,0
177000,5839,1,500,0,0
178000,5839,1,500,0,0
179000,5839,1,500,0,0
180000,5839,1,500,0,0
181000,5839,1,500,0,0
182000,5839,1,500,0,0
183000,5839,1,500,0,0
184000,5839,1,500,0,0
185000,5839,1,500,0,0
186000,5839,1,500,0,0
187000,5839,1,500,0,0
188000,5839,1,500,0,0
189000,5839,1,500,0,0
190000,5839,1,500,0,0
191000,5839,1,500,0,0
192000,5839,1,500,0,0
193000,5839,1,500,0,0
194000,5839,1,500,0,0
195000,5839,1,500,0,0
196000,5839,1,500,0,0
197000,5839,1,500,0,0
198000,5839,1,500,0,0
199000,5839,1,500,0,0
200000,5839,1,500,0,0
201000,5839,1,500,0,0
202000,5839,1,500,0,0
203000,5839,1,500,0,0
204000,5839,1,500,0,0
205000,5839,1,500,0,0
206000,5839,1,500,0,0
207000,5839,1,500,0,0
208000,5838,1,500,0,0
209000,5838,1,500,0,0
210000,5826,2,499,1,1
211000,5826,2,499,1,1
212000,5826,2,499,1,1
213000,5826,2,499,1,1
214000,5826,2,499,1,1
215000,5826,2,499,1,1
216000,5826,2,499,1,1
217000,5826,2,499,1,1
218000,5826,2,499,1,1
219000,5826,2,499,1,1
220000,5818,3,498,1,2
221000,5818,3,498,1,2
222000,5818,3,498,1,2
223000,5818,3,498,1,2
224000,5818,3,498,1,2
225000,5818,3,498,1,2
226000,5807,4,497,1,3
227000,5807,4,497,1,3
228000,5807,4,497,1,3
229000,5807,4,497,1,3
230000,5807,4,497,1,3
231000,5807,4,497,1,3
232000,5807,4,497,1,3
233000,5807,4,497,1,3
234000,5807,4,497,1,3
235000,5807,4,497,1,3
236000,5807,4,497,1,3
237000,5807,4,497,1,3
238000,5807,4,497,1,3
239000,5807,4,497,1,3
240000,5807,4,497,1,3
241000,5807,4,497,1,3
242000,5807,4,497,1,3
243000,5807,4,497,1,3
244000,5805,4,497,1,3
245000,5782,5,251,246,3
246000,5782,5,251,246,3
247000,5782,5,251,246,3
248000,5782,5,251,246,3
249000,5782,5,251,246,3
250000,5782,5,251,246,3
251000,5782,5,251,246,3
252000,5782,5,251,246,3
253000,5782,5,251,246,3
254000,5782,5,251,246,3
255000,5782,5,251,246,3
256000,5782,5,251,246,3
257000,5782,5,251,246,3
258000,5782,5,251,246,3
259000,5782,5,251,246,3
260000,5782,5,251,246,3
261000,5781,5,251,246,3
262000,5773,6,250,246,4
263000,5773,6,250,246,4
264000,5773,6,250,246,4
265000,5773,6,250,246,4
266000,5773,6,250,246,4
267000,5773,6,250,246,4
268000,5773,6,250,246,4
269000,5773,6,250,246,4
270000,5773,6,250,246,4
271000,5773,6,250,246,4
272000,5762,7,250,245,5
273000,5762,7,250,245,5
274000,5762,7,250,245,5
275000,5762,7,250,245,5
276000,5762,7,250,245,5
277000,5762,7,250,245,5
278000,5762,7,250,245,5
279000,5762,7,250,245,5
280000,5749,8,250,244,6
281000,5749,8,250,244,6
282000,5749,8,250,244,6
283000,5749,8,250,244,6
284000,5749,8,250,244,6
285000,5749,8,250,244,6
286000,5749,8,250,244,6
287000,5749,8,250,244,6
288000,5749,8,250,244,6
289000,5749,8,250,244,6
290000,5749,8,250,244,6
291000,5749,8,250,244,6
292000,5749,8,250,244,6
293000,5749,8,250,244,6
294000,5749,8,250,244,6
295000,5749,8,250,244,6
296000,5749,8,250,244,6
297000,5749,8,250,244,6
298000,5748,8,250,244,6
299000,5748,8,250,244,6
300000,5748,8,250,244,6
301000,5748,8,250,244,6
302000,5748,8,250,244,6
303000,5748,8,250,244,6
304000,5748,8,250,244,6
305000,5721,9,249,244,7
306000,5721,9,249,244,7
307000,5721,9,249,244,7
308000,5721,9,249,244,7
309000,5721,9,249,244,7
310000,5721,9,249,244,7
311000,5721,9,249,244,7
312000,5721,9,249,244,7
313000,5721,9,249,244,7
314000,5721,9,249,244,7
315000,5721,9,249,244,7
316000,5721,9,249,244,7
317000,5721,9,249,244,7
318000,5720,9,249,244,7
319000,5720,9,249,244,7
320000,5693,11,249,242,9
321000,5693,11,249,242,9
322000,5693,11,249,242,9
323000,5693,11,249,242,9
324000,5693,11,249,242,9
325000,5693,11,249,242,9
326000,5693,11,249,242,9
327000,5693,11,249,242,9
328000,5693,11,249,242,9
329000,5693,11,249,242,9
330000,5693,11,249,242,9
331000,5693,11,249,242,9
332000,5693,11,249,242,9
333000,5693,11,249,242,9
334000,5678,12,248,242,10
335000,5678,12,248,242,10
336000,5678,12,248,242,10
337000,5678,12,248,242,10
338000,5678,12,248,242,10
339000,5678,12,248,242,10
340000,5678,12,248,242,10
341000,5678,12,248,242,10
342000,5678,12,248,242,10
343000,5678,12,248,242,10
344000,5678,12,248,242,10
345000,5678,12,248,242,10
346000,5678,12,248,242,10
347000,5678,12,248,242,10
348000,5678,12,248,242,10
349000,5678,12,248,242,10
350000,5678,12,248,242,10
351000,5664,13,248,241,11
