Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,500,0,0,0,0,0,0,0
1000,500,0,5e-06,0,0,6723,0,6723
2000,500,0,1e-05,0,0,0,0,6723
3000,500,0,1.5e-05,0,0,0,0,6723
4000,500,0,2e-05,0,0,0,0,6723
5000,500,0,2.5e-05,0,0,0,0,6723
6000,500,0,3e-05,0,0,0,0,6723
7000,500,0,3.5e-05,0,0,0,0,6723
8000,500,0,4e-05,0,0,0,0,6723
9000,500,0,4.5e-05,0,0,0,0,6723
10000,500,0,5e-05,0,0,0,0,6723
11000,500,0,5.5e-05,0,0,0,0,6723
12000,500,0,6e-05,0,0,0,0,6723
13000,500,0,6.5e-05,0,0,0,0,6723
14000,500,0,7e-05,0,0,0,0,6723
15000,500,0,7.5e-05,0,0,0,0,6723
16000,500,0,8e-05,0,0,0,0,6723
17000,500,0,8.5e-05,0,0,0,0,6723
18000,500,0,9e-05,0,0,0,0,6723
19000,500,0,9.5e-05,0,0,0,0,6723
20000,500,1.5920678e-14,0.0001,0.0019599109,0,0,0,6723
21000,500,4.7476771e-07,0.000105,0.25359509,-1.9510721,0,17,6706
22000,500,3.0614401e-09,0.00011,2.3525638,-1.1276281,0,0,6706
23000,500,5.3268524e-09,0.000115,0.060000336,-1.430994,0,36,6670
24000,500,1.8473056e-09,0.00012,1.6029377,-0.93161606,0,0,6670
25000,500,6.8053547e-08,0.000125,5.9782217,-0.053990107,0,0,6670
26000,500,2.9459986e-08,0.00013,6.2251073,-2.7404862,0,17,6653
27000,500,3.950968e-06,0.000135,6.6667005,-5.4774384,0,34,6619
28000,500,2.2254396e-08,0.00014,1.2834501,-4.1641518,0,51,6568
29000,500,1.2193052e-08,0.000145,5.2989443,-3.4548528,0,0,6568
30000,500,2.6943609e-08,0.00015,5.7119087,-5.2099481,0,38,6530
