Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,500,0,0,0,0,0,0,0
1000,500,0,1.25e-06,0,0,6723,0,6723
2000,500,0,2.5e-06,0,0,0,0,6723
3000,500,0,3.75e-06,0,0,0,0,6723
4000,500,0,5e-06,0,0,0,0,6723
5000,500,0,6.25e-06,0,0,0,0,6723
6000,500,0,7.5e-06,0,0,0,0,6723
7000,500,0,8.75e-06,0,0,0,0,6723
8000,500,0,1e-05,0,0,0,0,6723
9000,500,0,1.125e-05,0,0,0,0,6723
10000,500,0,1.25e-05,0,0,0,0,6723
11000,500,0,1.375e-05,0,0,0,0,6723
12000,500,0,1.5e-05,0,0,0,0,6723
13000,500,0,1.625e-05,0,0,0,0,6723
14000,500,0,1.75e-05,0,0,0,0,6723
15000,500,0,1.875e-05,0,0,0,0,6723
16000,500,0,2e-05,0,0,0,0,6723
17000,500,0,2.125e-05,0,0,0,0,6723
18000,500,0,2.25e-05,0,0,0,0,6723
19000,500,0,2.375e-05,0,0,0,0,6723
20000,500,0,2.5e-05,0,0,0,0,6723
21000,500,0,2.625e-05,0,0,0,0,6723
22000,500,0,2.75e-05,0,0,0,0,6723
23000,500,0,2.875e-05,0,0,0,0,6723
24000,500,0,3e-05,0,0,0,0,6723
25000,500,0,3.125e-05,0,0,0,0,6723
26000,500,0,3.25e-05,0,0,0,0,6723
27000,500,0,3.375e-05,0,0,0,0,6723
28000,500,0,3.5e-05,0,0,0,0,6723
29000,500,0,3.625e-05,0,0,0,0,6723
30000,500,0,3.75e-05,0,0,0,0,6723
31000,500,0,3.875e-05,0,0,0,0,6723
32000,500,0,4e-05,0,0,0,0,6723
33000,500,0,4.125e-05,0,0,0,0,6723
34000,500,0,4.25e-05,0,0,0,0,6723
35000,500,0,4.375e-05,0,0,0,0,6723
36000,500,0,4.5e-05,0,0,0,0,6723
37000,500,0,4.625e-05,0,0,0,0,6723
38000,500,0,4.75e-05,0,0,0,0,6723
39000,500,0,4.875e-05,0,0,0,0,6723
40000,500,0,5e-05,0,0,0,0,6723
41000,500,0,5.125e-05,0,0,0,0,6723
42000,500,0,5.25e-05,0,0,0,0,6723
43000,500,0,5.375e-05,0,0,0,0,6723
44000,500,0,5.5e-05,0,0,0,0,6723
45000,500,0,5.625e-05,0,0,0,0,6723
46000,500,0,5.75e-05,0,0,0,0,6723
47000,500,0,5.875e-05,0,0,0,0,6723
48000,500,0,6e-05,0,0,0,0,6723
49000,500,0,6.125e-05,0,0,0,0,6723
50000,500,0,6.25e-05,0,0,0,0,6723
51000,500,0,6.375e-05,0,0,0,0,6723
52000,500,0,6.5e-05,0,0,0,0,6723
53000,500,0,6.625e-05,0,0,0,0,6723
54000,500,0,6.75e-05,0,0,0,0,6723
55000,500,0,6.875e-05,0,0,0,0,6723
56000,500,0,7e-05,0,0,0,0,6723
57000,500,0,7.125e-05,0,0,0,0,6723
58000,500,0,7.25e-05,0,0,0,0,6723
59000,500,0,7.375e-05,0,0,0,0,6723
60000,500,0,7.5e-05,0,0,0,0,6723
61000,500,0,7.625e-05,0,0,0,0,6723
62000,500,0,7.75e-05,0,0,0,0,6723
63000,500,0,7.875e-05,0,0,0,0,6723
64000,500,0,8e-05,0,0,0,0,6723
65000,500,0,8.125e-05,0,0,0,0,6723
66000,500,0,8.25e-05,0,0,0,0,6723
67000,500,0,8.375e-05,0,0,0,0,6723
68000,500,0,8.5e-05,0,0,0,0,6723
69000,500,0,8.625e-05,0,0,0,0,6723
70000,500,0,8.75e-05,0,0,0,0,6723
71000,500,0,8.875e-05,0,0,0,0,6723
72000,500,0,9e-05,0,0,0,0,6723
73000,500,0,9.125e-05,0,0,0,0,6723
74000,500,0,9.25e-05,0,0,0,0,6723
75000,500,0,9.375e-05,0,0,0,0,6723
76000,500,0,9.5e-05,0,0,0,0,6723
77000,500,0,9.625e-05,0,0,0,0,6723
78000,500,0,9.75e-05,0,0,0,0,6723
79000,500,0,9.875e-05,0,0,0,0,6723
80000,500,6.8145051e-16,0.0001,0.00040548305,0,0,0,6723
81000,500,7.5757842e-11,0.00010125,0.47861394,-0.28335823,0,0,6723
82000,500,1.5668761e-10,0.0001025,1.2300866,-0.94937208,0,0,6723
83000,500,2.1345534e-10,0.00010375,2.1196835,-1.7907962,0,0,6723
84000,500,2.5844546e-10,0.000105,3.107229,-2.7440198,0,0,6723
85000,500,1.1568915e-10,0.00010625,0.005,-0.21533477,0,17,6706
86000,500,6.4902813e-11,0.0001075,0.32211845,-0.16921969,0,0,6706
87000,500,1.6181911e-10,0.00010875,1.0421617,-0.76834007,0,0,6706
88000,500,3.9826756e-10,0.00011,2.173797,-1.7240632,0,0,6706
89000,500,1.6271256e-09,0.00011125,3.6573588,-2.8429923,0,0,6706
90000,500,1.3782637e-08,0.0001125,3.1755367,-0.48242054,0,0,6706
91000,500,5.9121248e-09,0.00011375,3.4304724,-1.6680165,0,0,6706
92000,500,3.8759115e-09,0.000115,4.1963947,-2.7681161,0,0,6706
93000,500,1.5360173e-09,0.00011625,2.0977805,-2.8937143,0,19,6687
94000,500,1.5055805e-08,0.0001175,0.017218389,-2.6768317,0,17,6670
95000,500,3.0709306e-09,0.00011875,0.11193893,-1.3231436,0,0,6670
96000,500,6.1092273e-10,0.00012,0.44501189,-0.84738398,0,0,6670
97000,500,4.857647e-10,0.00012125,0.89596632,-0.744437,0,0,6670
98000,500,1.2398092e-09,0.0001225,1.4383874,-0.88804317,0,0,6670
99000,500,2.1013295e-09,0.00012375,1.969745,-1.2056054,0,0,6670
100000,500,2.9521065e-09,0.000125,2.6383998,-1.6645221,0,0,6670
101000,500,3.5086199e-09,0.00012625,3.4143873,-2.3021423,0,0,6670
102000,500,3.7285465e-09,0.0001275,4.2289665,-3.0652725,0,0,6670
103000,500,3.7972048e-09,0.00012875,5.0921992,-3.9118463,0,0,6670
104000,500,3.8033475e-09,0.00013,6.0123604,-4.8230969,0,0,6670
105000,500,3.6856866e-09,0.00013125,6.9870008,-5.8185261,0,0,6670
106000,500,3.287359e-08,0.0001325,5.4936917,-1.356252,0,35,6635
107000,500,1.0170559e-08,0.00013375,4.9902089,-2.6893773,0,0,6635
108000,500,3.3432248e-08,0.000135,4.2580747,-0.097069064,0,17,6618
109000,500,1.7799791e-08,0.00013625,3.4477625,-0.45228382,0,0,6618
110000,500,1.2358646e-08,0.0001375,3.233696,-0.79599384,0,0,6618
111000,500,1.0367022e-08,0.00013875,3.2845141,-1.1162004,0,0,6618
112000,500,9.8392086e-09,0.00014,3.4645198,-1.4112711,0,0,6618
113000,500,9.994856e-09,0.00014125,3.7112541,-1.6964569,0,0,6618
114000,500,1.0529915e-08,0.0001425,3.9924935,-1.9772255,0,0,6618
115000,500,1.1319954e-08,0.00014375,4.2916517,-2.2550312,0,0,6618
116000,500,1.2295655e-08,0.000145,4.5967957,-2.5298873,0,0,6618
117000,500,1.3399171e-08,0.00014625,4.8940438,-2.7984348,0,0,6618
118000,500,1.459407e-08,0.0001475,5.1801634,-3.0582096,0,0,6618
119000,500,1.5859168e-08,0.00014875,5.4520061,-3.3066175,0,0,6618
120000,500,1.7018373e-08,0.00015,5.7081874,-3.5553546,0,0,6618
