Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,500,0,0,0,0,0,0,0
1000,500,0,1.5e-07,0,0,5876,0,5876
2000,500,0,3e-07,0,0,0,0,5876
3000,500,0,4.5e-07,0,0,0,0,5876
4000,500,0,6e-07,0,0,0,0,5876
5000,500,0,7.5e-07,0,0,0,0,5876
6000,500,0,9e-07,0,0,0,0,5876
7000,500,0,1.05e-06,0,0,0,0,5876
8000,500,0,1.2e-06,0,0,0,0,5876
9000,500,0,1.35e-06,0,0,0,0,5876
10000,500,0,1.5e-06,0,0,0,0,5876
11000,500,0,1.65e-06,0,0,0,0,5876
12000,500,0,1.8e-06,0,0,0,0,5876
13000,500,0,1.95e-06,0,0,0,0,5876
14000,500,0,2.1e-06,0,0,0,0,5876
15000,500,0,2.25e-06,0,0,0,0,5876
16000,500,0,2.4e-06,0,0,0,0,5876
17000,500,0,2.55e-06,0,0,0,0,5876
18000,500,0,2.7e-06,0,0,0,0,5876
19000,500,0,2.85e-06,0,0,0,0,5876
20000,500,0,3e-06,0,0,0,0,5876
21000,500,0,3.15e-06,0,0,0,0,5876
22000,500,0,3.3e-06,0,0,0,0,5876
23000,500,0,3.45e-06,0,0,0,0,5876
24000,500,0,3.6e-06,0,0,0,0,5876
25000,500,0,3.75e-06,0,0,0,0,5876
26000,500,0,3.9e-06,0,0,0,0,5876
27000,500,0,4.05e-06,0,0,0,0,5876
28000,500,0,4.2e-06,0,0,0,0,5876
29000,500,0,4.35e-06,0,0,0,0,5876
30000,500,0,4.5e-06,0,0,0,0,5876
31000,500,0,4.65e-06,0,0,0,0,5876
32000,500,0,4.8e-06,0,0,0,0,5876
33000,500,0,4.95e-06,0,0,0,0,5876
34000,500,0,5.1e-06,0,0,0,0,5876
35000,500,0,5.25e-06,0,0,0,0,5876
36000,500,0,5.4e-06,0,0,0,0,5876
37000,500,0,5.55e-06,0,0,0,0,5876
38000,500,0,5.7e-06,0,0,0,0,5876
39000,500,0,5.85e-06,0,0,0,0,5876
40000,500,0,6e-06,0,0,0,0,5876
41000,500,0,6.15e-06,0,0,0,0,5876
42000,500,0,6.3e-06,0,0,0,0,5876
43000,500,0,6.45e-06,0,0,0,0,5876
44000,500,0,6.6e-06,0,0,0,0,5876
45000,500,0,6.75e-06,0,0,0,0,5876
46000,500,0,6.9e-06,0,0,0,0,5876
47000,500,0,7.05e-06,0,0,0,0,5876
48000,500,0,7.2e-06,0,0,0,0,5876
49000,500,0,7.35e-06,0,0,0,0,5876
50000,500,0,7.5e-06,0,0,0,0,5876
51000,500,0,7.65e-06,0,0,0,0,5876
52000,500,0,7.8e-06,0,0,0,0,5876
53000,500,0,7.95e-06,0,0,0,0,5876
54000,500,0,8.1e-06,0,0,0,0,5876
55000,500,0,8.25e-06,0,0,0,0,5876
56000,500,0,8.4e-06,0,0,0,0,5876
57000,500,0,8.55e-06,0,0,0,0,5876
58000,500,0,8.7e-06,0,0,0,0,5876
59000,500,0,8.85e-06,0,0,0,0,5876
60000,500,0,9e-06,0,0,0,0,5876
61000,500,0,9.15e-06,0,0,0,0,5876
62000,500,0,9.3e-06,0,0,0,0,5876
