timestep,reference_step,intact_bonds,broken_bonds_from_reference,fragment_count,largest_fragment_fraction,second_fragment_fraction,single_particle_fragment_fraction,largest_span_x_over_d,largest_span_y_over_d,largest_span_z_over_d,second_centroid_r_over_R,broken_edges,broken_core_fraction,broken_surface_fraction,broken_span_x_over_d,broken_span_y_over_d,broken_span_z_over_d,failure_mode_draft
0,5000,0,12513,1000,0.001,0.001,1.0,0.0,0.0,0.0,0.7216047272149134,12513.0,0.2617278030847918,0.3119955246543595,0.899985485667102,0.8912090476350052,0.8961630192852782,prebond_or_invalid
5000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
10000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
15000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
20000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
25000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
30000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
35000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
40000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
45000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
50000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
55000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
60000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
65000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
70000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
75000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
80000,5000,12513,0,1,1.0,0.0,0.0,0.9040140388472753,0.8960466640594159,0.9079434928732184,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
