timestep,intact_bonds,fragment_count,largest_fragment_particles,second_fragment_particles,single_particle_fragments
0,0,500,1,1,500
5000,5876,1,500,0,0
10000,5876,1,500,0,0
15000,5876,1,500,0,0
20000,5876,1,500,0,0
25000,5876,1,500,0,0
30000,5876,1,500,0,0
35000,5876,1,500,0,0
40000,5876,1,500,0,0
45000,5876,1,500,0,0
50000,5876,1,500,0,0
55000,5876,1,500,0,0
60000,5876,1,500,0,0
65000,5876,1,500,0,0
70000,5876,1,500,0,0
75000,5876,1,500,0,0
80000,5876,1,500,0,0
85000,5876,1,500,0,0
90000,5876,1,500,0,0
95000,5876,1,500,0,0
100000,5876,1,500,0,0
105000,5876,1,500,0,0
110000,5876,1,500,0,0
115000,5876,1,500,0,0
120000,5876,1,500,0,0
125000,5876,1,500,0,0
130000,5876,1,500,0,0
135000,5876,1,500,0,0
140000,5876,1,500,0,0
145000,5876,1,500,0,0
150000,5876,1,500,0,0
155000,5876,1,500,0,0
160000,5876,1,500,0,0
165000,5876,1,500,0,0
170000,5876,1,500,0,0
175000,5876,1,500,0,0
180000,5876,1,500,0,0
185000,5876,1,500,0,0
190000,5875,1,500,0,0
195000,5875,1,500,0,0
200000,5864,2,499,1,1
205000,5864,2,499,1,1
210000,5853,3,498,1,2
215000,5841,4,497,1,3
220000,5841,4,497,1,3
225000,5841,4,497,1,3
230000,5841,4,497,1,3
235000,5822,5,249,248,3
240000,5822,5,249,248,3
245000,5822,5,249,248,3
250000,5822,5,249,248,3
255000,5822,5,249,248,3
260000,5822,5,249,248,3
265000,5822,5,249,248,3
270000,5814,5,249,248,3
275000,5814,5,249,248,3
280000,5788,6,248,247,3
285000,5787,7,247,247,4
290000,5787,7,247,247,4
295000,5787,7,247,247,4
300000,5787,7,247,247,4
305000,5787,7,247,247,4
310000,5786,7,247,247,4
315000,5769,8,247,246,5
320000,5761,9,246,246,6
325000,5761,9,246,246,6
330000,5761,9,246,246,6
335000,5761,9,246,246,6
340000,5732,11,246,244,8
345000,5732,11,246,244,8
350000,5719,12,245,244,9
355000,5719,12,245,244,9
360000,5706,13,245,243,10
365000,5706,13,245,243,10
370000,5706,13,245,243,10
375000,5706,13,245,243,10
380000,5706,13,245,243,10
385000,5706,13,245,243,10
390000,5699,13,245,243,10
395000,5690,14,245,242,11
400000,5690,14,245,242,11
405000,5650,17,244,240,14
410000,5650,17,244,240,14
415000,5635,18,244,239,15
420000,5623,19,244,238,16
425000,5623,19,244,238,16
430000,5604,20,244,237,17
435000,5590,21,243,237,18
440000,5589,21,243,237,18
445000,5541,24,242,236,22
450000,5541,24,242,236,22
455000,5541,24,242,236,22
460000,5524,26,241,235,24
465000,5524,26,241,235,24
470000,5523,27,240,235,25
475000,5512,28,240,234,26
480000,5512,28,240,234,26
485000,5498,29,240,233,27
490000,5489,29,240,233,27
495000,5489,29,240,233,27
500000,5473,30,239,233,28
505000,5473,30,239,233,28
510000,5473,30,239,233,28
515000,5473,30,239,233,28
520000,5473,30,239,233,28
525000,5443,32,239,231,30
530000,5426,33,238,231,31
535000,5426,33,238,231,31
540000,5426,33,238,231,31
545000,5416,34,237,231,32
550000,5402,35,237,230,33
555000,5402,35,237,230,33
560000,5401,35,237,230,33
565000,5401,35,237,230,33
570000,5401,35,237,230,33
575000,5401,35,237,230,33
580000,5401,35,237,230,33
585000,5401,35,237,230,33
590000,5401,35,237,230,33
595000,5401,35,237,230,33
600000,5401,35,237,230,33
