timestep,reference_step,intact_bonds,broken_bonds_from_reference,fragment_count,largest_fragment_fraction,second_fragment_fraction,single_particle_fragment_fraction,largest_span_x_over_d,largest_span_y_over_d,largest_span_z_over_d,second_centroid_r_over_R,broken_edges,broken_core_fraction,broken_surface_fraction,broken_span_x_over_d,broken_span_y_over_d,broken_span_z_over_d,failure_mode_draft
0,5000,0,4935,500,0.002,0.002,1.0,0.0,0.0,0.0,0.9012496418454637,4935.0,0.2855116514690983,0.3069908814589666,0.8786247293117863,0.8752387059605418,0.8775638784331136,prebond_or_invalid
5000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
10000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
15000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
20000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
25000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
30000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
35000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
40000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
45000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
50000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
55000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
60000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
65000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
70000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
75000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
80000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
85000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
90000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
95000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
100000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
105000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
110000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
115000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
120000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
125000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
130000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
135000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
140000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
145000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
150000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
155000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
160000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
165000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
170000,5000,4935,0,1,1.0,0.0,0.0,0.8818159814083132,0.8789635249682554,0.8819165085075222,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
175000,5000,4935,0,1,1.0,0.0,0.0,0.8818179146217594,0.8789654581817017,0.8818652783511945,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
180000,5000,4935,0,1,1.0,0.0,0.0,0.8819116754739065,0.8789934897766735,0.8808542077187647,0.0,0,0.0,0.0,0.0,0.0,0.0,intact_or_prebond
185000,5000,4928,7,2,0.998,0.002,0.5,0.881785049993172,0.8789528922943005,0.8744166069424906,0.9004768735514491,7.0,0.0,0.8571428571428571,0.048347880070239636,0.15397513466309307,0.05894802770881228,surface_spall
190000,5000,4928,7,2,0.998,0.002,0.5,0.8817705508923244,0.8789606251480859,0.8744233731895528,0.8956502219968292,7.0,0.0,0.8571428571428571,0.048347880070239636,0.15397513466309307,0.05894802770881228,surface_spall
195000,5000,4928,7,2,0.998,0.002,0.5,0.8818797774520419,0.8789886567430577,0.8736027240815862,0.8908236396463721,7.0,0.0,0.8571428571428571,0.048347880070239636,0.15397513466309307,0.05894802770881228,surface_spall
200000,5000,4919,16,3,0.996,0.002,0.6666666666666666,0.8820576330891042,0.8789683580018712,0.8710711810736189,0.8859971276310736,16.0,0.0,0.75,0.07395768539441831,0.23626705304867593,0.12049864401974444,surface_spall
205000,5000,4915,20,4,0.5,0.496,0.5,0.44058844985361295,0.8789809238892724,0.8646587120721471,0.3691304067728807,20.0,0.15,0.6,0.08547993234958715,0.46229682262265503,0.6355937007267599,progressive_bulk_damage
210000,5000,4915,20,4,0.5,0.496,0.5,0.44062260006914233,0.879036987079216,0.8640594159037852,0.369783281750534,20.0,0.15,0.6,0.08547993234958715,0.46229682262265503,0.6355937007267599,progressive_bulk_damage
215000,5000,4915,20,4,0.5,0.496,0.5,0.44060954604534597,0.8791017497296678,0.8633847244110167,0.37033783171876516,20.0,0.15,0.6,0.08547993234958715,0.46229682262265503,0.6355937007267599,progressive_bulk_damage
220000,5000,4915,20,4,0.5,0.496,0.5,0.4413337065369928,0.8790321540456,0.8645494855124296,0.37091688810571766,20.0,0.15,0.6,0.08547993234958715,0.46229682262265503,0.6355937007267599,progressive_bulk_damage
225000,5000,4915,20,4,0.5,0.496,0.5,0.4415526100951609,0.8790514861800633,0.8645620513998307,0.371555516179246,20.0,0.15,0.6,0.08547993234958715,0.46229682262265503,0.6355937007267599,progressive_bulk_damage
230000,5000,4915,20,4,0.5,0.496,0.5,0.44176797393950873,0.8790717849212497,0.8645485189057064,0.37214540000272694,20.0,0.15,0.6,0.08547993234958715,0.46229682262265503,0.6355937007267599,progressive_bulk_damage
235000,5000,4915,20,4,0.5,0.496,0.5,0.44198501291330794,0.8790920836624362,0.8645340198048589,0.37298612090758365,20.0,0.15,0.6,0.08547993234958715,0.46229682262265503,0.6355937007267599,progressive_bulk_damage
240000,5000,4907,28,4,0.5,0.496,0.5,0.4422016488121035,0.8791123824036227,0.864516620883842,0.3748072895653481,28.0,0.10714285714285714,0.5714285714285714,0.17356003678448623,0.46229682262265503,0.8702229836740423,minor_spall_or_early_damage
245000,5000,4902,33,5,0.5,0.494,0.6,0.44224586140362104,0.8791529798859956,0.8640613491172315,0.3774423935627289,33.0,0.09090909090909091,0.6363636363636364,0.18572997790664572,0.46229682262265503,0.8775638784331136,minor_spall_or_early_damage
250000,5000,4902,33,5,0.5,0.494,0.6,0.4422988507841849,0.8792042100423234,0.8634127560059883,0.37838711624246196,33.0,0.09090909090909091,0.6363636363636364,0.18572997790664572,0.46229682262265503,0.8775638784331136,minor_spall_or_early_damage
255000,5000,4902,33,5,0.5,0.494,0.6,0.44239959053687306,0.8792631730524364,0.8626588027619202,0.3793592635090626,33.0,0.09090909090909091,0.6363636363636364,0.18572997790664572,0.46229682262265503,0.8775638784331136,minor_spall_or_early_damage
260000,5000,4891,44,6,0.498,0.494,0.6666666666666666,0.4428641610601603,0.8791800448742442,0.8575966833527089,0.38002559520294976,44.0,0.06818181818181818,0.6136363636363636,0.24922821010408158,0.46229682262265503,0.8775638784331136,minor_spall_or_early_damage
265000,5000,4891,44,6,0.498,0.494,0.6666666666666666,0.44289439651846085,0.8792061432557696,0.8569877211171154,0.3807726995521511,44.0,0.06818181818181818,0.6136363636363636,0.24922821010408158,0.46229682262265503,0.8775638784331136,minor_spall_or_early_damage
270000,5000,4882,53,7,0.498,0.492,0.7142857142857143,0.44302276189129713,0.8792428743112499,0.856273398748697,0.38196588659622643,53.0,0.05660377358490566,0.6226415094339622,0.3045413857259388,0.46229682262265503,0.8775638784331136,minor_spall_or_early_damage
275000,5000,4858,77,9,0.496,0.49,0.7777777777777778,0.4438723125402862,0.8791346143582555,0.8460466996176188,0.38367307085119606,77.0,0.03896103896103896,0.5974025974025974,0.3732783363809081,0.46229682262265503,0.8775638784331136,minor_spall_or_early_damage
280000,5000,4858,77,9,0.496,0.49,0.7777777777777778,0.44407456533104106,0.8791578129196114,0.84598290357389,0.38490401065975194,77.0,0.03896103896103896,0.5974025974025974,0.3732783363809081,0.46229682262265503,0.8775638784331136,minor_spall_or_early_damage
285000,5000,4854,81,9,0.496,0.49,0.7777777777777778,0.4441014949943485,0.8792129095028317,0.845223150689483,0.3869407381985011,81.0,0.037037037037037035,0.5925925925925926,0.3732783363809081,0.49058191020756914,0.8775638784331136,minor_spall_or_early_damage
290000,5000,4853,82,9,0.496,0.49,0.7777777777777778,0.4441574711896869,0.8792738057263911,0.8443445051781264,0.3891154916564593,82.0,0.036585365853658534,0.5975609756097561,0.3732783363809081,0.49058191020756914,0.8775638784331136,minor_spall_or_early_damage
295000,5000,4845,90,10,0.494,0.49,0.8,0.4443978856138723,0.8792515737717583,0.8413441579094246,0.39060110154268246,90.0,0.03333333333333333,0.6,0.3732783363809081,0.49058191020756914,0.8775638784331136,minor_spall_or_early_damage
300000,5000,4845,90,10,0.494,0.49,0.8,0.44475884556250356,0.8792941044675775,0.8403543526249043,0.3920167807375881,90.0,0.03333333333333333,0.6,0.3732783363809081,0.49058191020756914,0.8775638784331136,minor_spall_or_early_damage
305000,5000,4827,108,11,0.492,0.49,0.8181818181818182,0.4451196411879918,0.8792293418171256,0.837404268905807,0.39305701308168495,108.0,0.027777777777777776,0.6203703703703703,0.3732783363809081,0.49058191020756914,0.8775638784331136,minor_spall_or_early_damage
310000,5000,4827,108,11,0.492,0.49,0.8181818181818182,0.4457078793754407,0.8792071098624928,0.8368310711189705,0.3939111306315287,108.0,0.027777777777777776,0.6203703703703703,0.3732783363809081,0.49058191020756914,0.8775638784331136,minor_spall_or_early_damage
315000,5000,4806,129,13,0.49,0.488,0.8461538461538461,0.4452132183848614,0.8790456865397245,0.8235624606300944,0.3956773291803331,129.0,0.023255813953488372,0.627906976744186,0.4047791312124452,0.49058191020756914,0.8775638784331136,minor_spall_or_early_damage
320000,5000,4806,129,13,0.49,0.488,0.8461538461538461,0.4451820259859049,0.879026354405261,0.8236417223813939,0.39802757037598047,129.0,0.023255813953488372,0.627906976744186,0.4047791312124452,0.49058191020756914,0.8775638784331136,minor_spall_or_early_damage
325000,5000,4806,129,13,0.49,0.488,0.8461538461538461,0.4453503798788784,0.8790495529666169,0.8233846049930322,0.39897956742562996,129.0,0.023255813953488372,0.627906976744186,0.4047791312124452,0.49058191020756914,0.8775638784331136,minor_spall_or_early_damage
