Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,500,0,0,0,0,0,0,0
1000,500,0,5e-07,0,0,4935,0,4935
2000,500,0,1e-06,0,0,0,0,4935
3000,500,0,1.5e-06,0,0,0,0,4935
4000,500,0,2e-06,0,0,0,0,4935
5000,500,0,2.5e-06,0,0,0,0,4935
6000,500,0,3e-06,0,0,0,0,4935
7000,500,0,3.5e-06,0,0,0,0,4935
8000,500,0,4e-06,0,0,0,0,4935
9000,500,0,4.5e-06,0,0,0,0,4935
10000,500,0,5e-06,0,0,0,0,4935
11000,500,0,5.5e-06,0,0,0,0,4935
12000,500,0,6e-06,0,0,0,0,4935
13000,500,0,6.5e-06,0,0,0,0,4935
14000,500,0,7e-06,0,0,0,0,4935
15000,500,0,7.5e-06,0,0,0,0,4935
16000,500,0,8e-06,0,0,0,0,4935
17000,500,0,8.5e-06,0,0,0,0,4935
18000,500,0,9e-06,0,0,0,0,4935
19000,500,0,9.5e-06,0,0,0,0,4935
20000,500,0,1e-05,0,0,0,0,4935
21000,500,0,1.05e-05,0,0,0,0,4935
22000,500,0,1.1e-05,0,0,0,0,4935
23000,500,0,1.15e-05,0,0,0,0,4935
24000,500,0,1.2e-05,0,0,0,0,4935
25000,500,0,1.25e-05,0,0,0,0,4935
26000,500,0,1.3e-05,0,0,0,0,4935
27000,500,0,1.35e-05,0,0,0,0,4935
28000,500,0,1.4e-05,0,0,0,0,4935
29000,500,0,1.45e-05,0,0,0,0,4935
30000,500,0,1.5e-05,0,0,0,0,4935
31000,500,0,1.55e-05,0,0,0,0,4935
32000,500,0,1.6e-05,0,0,0,0,4935
33000,500,0,1.65e-05,0,0,0,0,4935
34000,500,0,1.7e-05,0,0,0,0,4935
35000,500,0,1.75e-05,0,0,0,0,4935
36000,500,0,1.8e-05,0,0,0,0,4935
37000,500,0,1.85e-05,0,0,0,0,4935
38000,500,0,1.9e-05,0,0,0,0,4935
39000,500,0,1.95e-05,0,0,0,0,4935
40000,500,0,2e-05,0,0,0,0,4935
41000,500,0,2.05e-05,0,0,0,0,4935
42000,500,0,2.1e-05,0,0,0,0,4935
43000,500,0,2.15e-05,0,0,0,0,4935
44000,500,0,2.2e-05,0,0,0,0,4935
45000,500,0,2.25e-05,0,0,0,0,4935
46000,500,0,2.3e-05,0,0,0,0,4935
47000,500,0,2.35e-05,0,0,0,0,4935
48000,500,0,2.4e-05,0,0,0,0,4935
49000,500,0,2.45e-05,0,0,0,0,4935
50000,500,0,2.5e-05,0,0,0,0,4935
51000,500,0,2.55e-05,0,0,0,0,4935
52000,500,0,2.6e-05,0,0,0,0,4935
53000,500,0,2.65e-05,0,0,0,0,4935
54000,500,0,2.7e-05,0,0,0,0,4935
55000,500,0,2.75e-05,0,0,0,0,4935
56000,500,0,2.8e-05,0,0,0,0,4935
57000,500,0,2.85e-05,0,0,0,0,4935
58000,500,0,2.9e-05,0,0,0,0,4935
59000,500,0,2.95e-05,0,0,0,0,4935
60000,500,0,3e-05,0,0,0,0,4935
61000,500,0,3.05e-05,0,0,0,0,4935
62000,500,0,3.1e-05,0,0,0,0,4935
63000,500,0,3.15e-05,0,0,0,0,4935
64000,500,0,3.2e-05,0,0,0,0,4935
65000,500,0,3.25e-05,0,0,0,0,4935
66000,500,0,3.3e-05,0,0,0,0,4935
67000,500,0,3.35e-05,0,0,0,0,4935
68000,500,0,3.4e-05,0,0,0,0,4935
69000,500,0,3.45e-05,0,0,0,0,4935
70000,500,0,3.5e-05,0,0,0,0,4935
71000,500,0,3.55e-05,0,0,0,0,4935
72000,500,0,3.6e-05,0,0,0,0,4935
73000,500,0,3.65e-05,0,0,0,0,4935
74000,500,0,3.7e-05,0,0,0,0,4935
75000,500,0,3.75e-05,0,0,0,0,4935
76000,500,0,3.8e-05,0,0,0,0,4935
77000,500,0,3.85e-05,0,0,0,0,4935
78000,500,0,3.9e-05,0,0,0,0,4935
79000,500,0,3.95e-05,0,0,0,0,4935
80000,500,0,4e-05,0,0,0,0,4935
81000,500,0,4.05e-05,0,0,0,0,4935
82000,500,0,4.1e-05,0,0,0,0,4935
83000,500,0,4.15e-05,0,0,0,0,4935
84000,500,0,4.2e-05,0,0,0,0,4935
85000,500,0,4.25e-05,0,0,0,0,4935
86000,500,0,4.3e-05,0,0,0,0,4935
87000,500,0,4.35e-05,0,0,0,0,4935
88000,500,0,4.4e-05,0,0,0,0,4935
89000,500,0,4.45e-05,0,0,0,0,4935
90000,500,0,4.5e-05,0,0,0,0,4935
91000,500,0,4.55e-05,0,0,0,0,4935
92000,500,0,4.6e-05,0,0,0,0,4935
93000,500,0,4.65e-05,0,0,0,0,4935
94000,500,0,4.7e-05,0,0,0,0,4935
95000,500,0,4.75e-05,0,0,0,0,4935
96000,500,0,4.8e-05,0,0,0,0,4935
97000,500,0,4.85e-05,0,0,0,0,4935
98000,500,0,4.9e-05,0,0,0,0,4935
99000,500,0,4.95e-05,0,0,0,0,4935
100000,500,0,5e-05,0,0,0,0,4935
101000,500,0,5.05e-05,0,0,0,0,4935
102000,500,0,5.1e-05,0,0,0,0,4935
103000,500,0,5.15e-05,0,0,0,0,4935
104000,500,0,5.2e-05,0,0,0,0,4935
105000,500,0,5.25e-05,0,0,0,0,4935
106000,500,0,5.3e-05,0,0,0,0,4935
107000,500,0,5.35e-05,0,0,0,0,4935
108000,500,0,5.4e-05,0,0,0,0,4935
109000,500,0,5.45e-05,0,0,0,0,4935
110000,500,0,5.5e-05,0,0,0,0,4935
111000,500,0,5.55e-05,0,0,0,0,4935
112000,500,0,5.6e-05,0,0,0,0,4935
113000,500,0,5.65e-05,0,0,0,0,4935
114000,500,0,5.7e-05,0,0,0,0,4935
115000,500,0,5.75e-05,0,0,0,0,4935
