pebble_id,proxy_atom_id,x,y,z,radius,source_timestep
1,253,-0.00368802,-0.000407506,0.00049929,0.0005,350000
2,187,0.00185962,-0.00313089,0.000499383,0.0005,350000
3,154,-0.000396422,-0.00106295,0.000499393,0.0005,350000
4,55,0.000167318,-0.00494728,0.000499418,0.0005,350000
5,47,0.00400865,-0.00149901,0.000499421,0.0005,350000
6,38,0.00400058,-0.00499943,0.000499424,0.0005,350000
7,63,-0.0040247,-0.00319188,0.000499466,0.0005,350000
8,28,0.000557179,0.0028646,0.000499484,0.0005,350000
9,59,0.00358385,0.00116472,0.000499488,0.0005,350000
10,12,-0.00331283,0.00239756,0.000499499,0.0005,350000
11,280,-0.00144424,0.00161382,0.00049952,0.0005,350000
12,165,0.00342514,0.00254872,0.000499522,0.0005,350000
13,271,-0.00354004,0.00448016,0.000499532,0.0005,350000
14,180,0.000303573,0.00428953,0.000499535,0.0005,350000
15,178,-0.00115858,-0.00170976,0.00049954,0.0005,350000
16,168,0.000404886,-0.000465191,0.000499547,0.0005,350000
17,176,-0.00116817,-0.00500027,0.00049955,0.0005,350000
18,34,-0.00159641,0.0049927,0.00049957,0.0005,350000
19,19,-0.00208661,-0.00021469,0.000499571,0.0005,350000
20,48,-0.00495403,-3.34144e-05,0.000499575,0.0005,350000
21,307,0.00457041,0.00391192,0.00049958,0.0005,350000
22,46,0.00320716,0.000171144,0.000499581,0.0005,350000
23,56,0.0022152,0.00178766,0.000499587,0.0005,350000
24,127,-0.00459066,0.00369126,0.000499601,0.0005,350000
25,77,-0.00102481,0.00414834,0.000499607,0.0005,350000
26,191,0.0013044,0.0022002,0.000499608,0.0005,350000
27,25,0.00151845,0.00319358,0.000499613,0.0005,350000
28,181,-0.00294101,0.000565185,0.00049964,0.0005,350000
29,151,-0.000356329,0.00109353,0.000499644,0.0005,350000
30,170,-0.00499611,0.000965449,0.000499656,0.0005,350000
31,291,0.00300875,-0.00149446,0.000499657,0.0005,350000
32,227,0.000956887,-0.00419293,0.00049966,0.0005,350000
33,177,0.000920403,-0.00136464,0.00049967,0.0005,350000
