pebble_id,proxy_atom_id,target_x,target_y,target_z,far_x,far_y,far_z,q1,q2,q3,q4
1,41,0.000147451,-0.0017918,0.00466431,-0.002025,-0.002025,-0.00135,0.025671625748788007,0.8890091029598726,-0.03957996168750877,-0.4554527517961792
2,34,-0.00274507,0.00352625,0.00578376,-0.000675,-0.002025,-0.00135,-0.866815513734208,0.37117414416875183,0.26235700477914153,-0.20501078482268476
3,46,-0.00265368,-0.000385208,0.00593465,0.000675,-0.002025,-0.00135,-0.7952072424361799,0.3126803674397037,0.36826928160927863,0.36640710366722473
4,1,-0.00212896,-0.00143416,0.00645428,0.002025,-0.002025,-0.00135,0.3854904164350061,0.6837787891911624,0.4909527919236523,0.37790086317896177
5,16,-0.00348171,0.00294021,0.0065464,-0.002025,-0.000675,-0.00135,0.8074447786002029,0.4295711386594896,0.37255389391583843,0.1571787596025784
6,4,0.00423906,-0.00410804,0.00667956,-0.000675,-0.000675,-0.00135,-0.3041830827578788,-0.1067279607485993,0.11153745938617891,0.9400219091659701
7,22,0.0014296,-0.00268303,0.00696691,0.000675,-0.000675,-0.00135,0.5862498059414062,-0.09862557405923807,-0.7706177895690933,-0.2296353273666617
8,6,-0.00315814,0.00113562,0.00723665,0.002025,-0.000675,-0.00135,-0.6452980649958834,-0.32288565123652047,0.5963646804687567,0.3516879745278966
9,26,0.00337183,0.000369894,0.00833438,-0.002025,0.000675,-0.00135,-0.5745564775958509,0.1090656925826648,-0.35125694392563966,0.7311689873744183
10,24,0.00225404,0.00365603,0.00873447,-0.000675,0.000675,-0.00135,0.17466687967679173,0.7226476217773681,0.3592210981865503,0.5641206417967135
11,36,-0.00258295,-0.00158821,0.008866,0.000675,0.000675,-0.00135,0.18978744755064217,0.14283514925493687,-0.030509663647979475,-0.9709006155696984
12,25,-0.000943483,0.00288911,0.00958657,0.002025,0.000675,-0.00135,-0.6722385011379146,0.2577432343024926,0.677628097250581,0.1499466057491716
13,17,0.00330791,-0.00397053,0.00960769,-0.002025,0.002025,-0.00135,0.17797950536552992,-0.9136146028992885,-0.006445488089509383,0.36549980673360793
14,32,0.00250015,-2.4539e-05,0.0101642,-0.000675,0.002025,-0.00135,-0.659312938010581,0.058048446086757646,0.2243922549226727,0.715251664527589
15,20,-0.00199365,0.00277491,0.011106,0.000675,0.002025,-0.00135,0.9483215531469634,0.13840739532131,-0.24994035052577931,-0.1380559521945804
16,31,0.00249323,0.00366027,0.0117341,0.002025,0.002025,-0.00135,0.19044050115214559,0.4413850175480689,-0.5450457071089587,-0.6869038207544821
17,44,-0.001847,-0.00251929,0.0119955,-0.002025,-0.002025,-0.0027,0.904426378217133,0.18054214703883592,-0.38633579937776713,0.012732228665413127
18,9,-0.0029561,-0.00315115,0.0128019,-0.000675,-0.002025,-0.0027,0.0628422899033835,0.7267856943413196,-0.1503911676976365,0.6672450058104942
19,48,0.00384539,-0.000488527,0.0143804,0.000675,-0.002025,-0.0027,0.4442577762232898,0.3506363573007117,0.26218735091816436,-0.7816309654962119
20,43,-0.0038036,0.00286306,0.0147451,0.002025,-0.002025,-0.0027,-0.1570945511757654,-0.030266963997160994,0.8095587326049734,-0.5648184410448269
21,42,0.00319915,-0.00182189,0.014949,-0.002025,-0.000675,-0.0027,-0.06438697756423366,-0.7713266389155398,0.43886488304348287,-0.4564067787080177
22,8,0.00149918,-0.00329864,0.0155501,-0.000675,-0.000675,-0.0027,0.17990647913254795,0.016536111587534826,-0.6912846880994193,-0.6996325433961627
23,27,0.00432868,0.00215921,0.015647,0.000675,-0.000675,-0.0027,-0.10175447638205623,0.5008363788146369,0.8379143291588658,-0.19159468985935657
24,12,0.00253183,0.00247278,0.0160864,0.002025,-0.000675,-0.0027,0.5865426360445495,-0.7062863845972288,0.3900562254587314,0.07059334257119372
25,47,-0.000768047,0.0014393,0.0165866,-0.002025,0.000675,-0.0027,0.690135205729832,-0.5619763296926108,-0.3289228925229596,0.3157621469584253
26,35,-0.00271849,0.000346901,0.0168813,-0.000675,0.000675,-0.0027,-0.5064180928292188,-0.5084620969808362,-0.6752032576058944,-0.17060941388872894
27,19,0.00334279,0.00228479,0.0172226,0.000675,0.000675,-0.0027,0.12727324768325987,0.507718876752053,-0.8394245182575365,-0.14625163507425187
28,18,0.00301185,0.000199364,0.0177096,0.002025,0.000675,-0.0027,0.04676442332797627,0.8903285013744946,-0.4087984695521673,0.19496681677366048
29,39,-0.00177424,0.000407024,0.0180514,-0.002025,0.002025,-0.0027,-0.4005179268814406,-0.5224973771949815,0.7405336284921908,0.13487707790113246
30,3,-0.000953517,0.00423164,0.0187529,-0.000675,0.002025,-0.0027,0.8265024737819574,0.5020217724556449,0.17267181632818537,0.187222446994806
31,7,-0.00295981,0.0044262,0.0187876,0.000675,0.002025,-0.0027,0.12492592668458757,-0.45395102439584417,-0.6497188325338051,0.5968143923724276
32,14,-0.00314288,-0.00237869,0.019423,0.002025,0.002025,-0.0027,-0.9495693507812917,0.21470609097322302,-0.1684501883051302,0.15441462565366162
33,29,-0.00228171,0.00124781,0.0204958,-0.002025,-0.002025,-0.00405,0.6350366241945078,-0.17722313747689147,0.12105473124892337,-0.7420688630556745
34,5,0.00447962,-0.000992927,0.0205068,-0.000675,-0.002025,-0.00405,-0.300769512035442,0.47450637591579625,-0.7334838563186452,0.38260009457022903
35,21,0.00380664,-0.00179616,0.0206788,0.000675,-0.002025,-0.00405,0.931113249136598,0.19187319812640397,-0.24790750207906073,-0.18642602698108945
36,23,0.00220746,0.00082478,0.0209802,0.002025,-0.002025,-0.00405,-0.6676035814352357,-0.7204984797349804,0.15292603751948286,-0.10863252645049928
37,50,0.000462852,-0.000851883,0.0217533,-0.002025,-0.000675,-0.00405,0.9378569175085621,-0.041212552235899626,-0.08210178636885426,-0.3346419347520337
38,15,-0.00438505,0.000420206,0.021762,-0.000675,-0.000675,-0.00405,0.019179799600187612,0.32885497695322585,-0.9426281470768828,-0.05420992306573165
39,45,0.00288201,-0.00213706,0.0218892,0.000675,-0.000675,-0.00405,0.11944779503819963,0.14962769782293125,0.542882806044797,0.8176931179884354
40,33,-0.0014256,-0.000109898,0.0230564,0.002025,-0.000675,-0.00405,0.5400355903933364,0.6206498436159521,-0.5458223760638379,-0.15884982378347548
41,2,-0.00179193,0.00311198,0.0232645,-0.002025,0.000675,-0.00405,0.3926792569410067,0.38472181031863634,0.827722561400804,0.11254994971790161
42,40,0.00216514,-0.000502574,0.0237773,-0.000675,0.000675,-0.00405,-0.6027071577625777,0.01075951548095295,0.7965168577201551,0.046788996313026424
43,30,-7.07668e-05,0.000622555,0.0238562,0.000675,0.000675,-0.00405,-0.3274244692097364,-0.9276066349256085,0.17972914337273455,0.006048373931428311
44,28,0.00409576,-0.00255469,0.0239141,0.002025,0.000675,-0.00405,-0.29161702076107227,0.4666021078530357,-0.4491247134524953,0.7039381918291934
45,49,-0.00390948,0.00334227,0.0245985,-0.002025,0.002025,-0.00405,0.6571803604344482,-0.2386877719177851,0.07019868613972377,0.7114873617011259
46,13,0.000862533,-0.00340848,0.0249921,-0.000675,0.002025,-0.00405,-0.2963012619016511,0.2664590907486861,0.8274917488594946,-0.3955534359885246
47,11,-0.00316822,0.00173761,0.0257497,0.000675,0.002025,-0.00405,-0.06170528578434614,0.402352226483607,-0.6048719323659631,-0.6844231797549101
48,10,6.37033e-05,0.000661285,0.0260988,0.002025,0.002025,-0.00405,-0.02080382825290167,0.5275314034653988,-0.0066818875071940394,-0.849254479804017
49,37,-0.00272999,-0.00300801,0.026403,-0.002025,-0.002025,-0.0054,-0.1074674345600503,0.42813309115030995,-0.7787666053369404,0.44573016633737045
50,38,-0.00423497,0.00293298,0.0269235,-0.000675,-0.002025,-0.0054,0.822353717481934,-0.06274311642266978,0.47698178592343227,0.3037861757593784
