pebble_id,proxy_atom_id,x,y,z,radius,source_timestep
1,59,-0.00364428,0.000715939,0.000499337,0.0005,350000
2,85,-0.00456103,-0.00352236,0.000499354,0.0005,350000
3,112,-0.00318991,-0.00255081,0.000499386,0.0005,350000
4,263,-0.00158145,0.00360901,0.000499389,0.0005,350000
5,152,-0.00164095,0.000231442,0.000499391,0.0005,350000
6,174,-0.00177636,0.00154033,0.000499393,0.0005,350000
7,317,0.00447009,-0.00414435,0.000499409,0.0005,350000
8,38,0.0038849,0.00112166,0.000499422,0.0005,350000
9,1,0.00428435,-0.00157774,0.000499428,0.0005,350000
10,20,0.00434052,0.0040467,0.000499432,0.0005,350000
11,19,0.00196202,0.000253101,0.000499447,0.0005,350000
12,9,-0.0013523,-0.00267366,0.000499455,0.0005,350000
13,72,0.00338486,0.00211245,0.000499458,0.0005,350000
14,51,0.000264157,-0.00126005,0.00049946,0.0005,350000
15,53,0.00219887,0.00304859,0.000499469,0.0005,350000
16,43,-0.00107787,0.00447447,0.000499471,0.0005,350000
17,283,-0.00385858,-0.00500032,0.00049955,0.0005,350000
18,237,-0.00499276,0.00448269,0.000499552,0.0005,350000
19,202,0.000566279,-0.00500017,0.000499554,0.0005,350000
20,239,-0.00296426,0.00500017,0.000499568,0.0005,350000
21,392,-0.000638357,-0.0040302,0.00049958,0.0005,350000
22,475,-0.00396846,0.00193211,0.000499583,0.0005,350000
23,26,0.00159849,-0.00194618,0.000499585,0.0005,350000
24,21,0.0010655,0.000695491,0.000499592,0.0005,350000
25,40,0.00356249,-0.000554288,0.000499597,0.0005,350000
26,128,0.00319747,0.00309466,0.000499598,0.0005,350000
27,216,0.00334974,-0.00213084,0.000499623,0.0005,350000
28,247,0.00118898,0.00168756,0.00049963,0.0005,350000
29,27,-0.00318417,-0.00414984,0.00049965,0.0005,350000
30,143,-0.00266344,0.0010766,0.000499668,0.0005,350000
31,212,-0.00500032,0.00267628,0.000499679,0.0005,350000
32,18,0.00248262,-0.00392297,0.000499681,0.0005,350000
33,69,0.00252767,-0.00156169,0.000499692,0.0005,350000
34,80,-0.00415263,0.00320596,0.000499717,0.0005,350000
35,68,-0.00175893,-0.000926729,0.000499719,0.0005,350000
36,105,0.000649651,0.00253182,0.000499719,0.0005,350000
37,46,-0.00500025,-0.0017609,0.000499721,0.0005,350000
38,29,-0.00349025,0.00395494,0.000499725,0.0005,350000
39,142,-0.00241022,0.00416797,0.000499726,0.0005,350000
40,71,-0.00415631,-0.00122482,0.000499742,0.0005,350000
41,150,0.0022854,0.00205261,0.000499747,0.0005,350000
42,82,-0.000686527,0.00106404,0.000499748,0.0005,350000
43,282,-0.00219362,0.00281859,0.000499748,0.0005,350000
44,45,0.00500003,-0.00499237,0.000499761,0.0005,350000
45,171,0.00175118,-0.00306365,0.000499767,0.0005,350000
46,125,-0.000651086,-0.000829439,0.000499769,0.0005,350000
47,62,0.00289253,0.00124228,0.000499771,0.0005,350000
48,162,0.000670126,0.0041581,0.000499776,0.0005,350000
49,66,-0.00500012,0.000627625,0.000499777,0.0005,350000
50,120,0.00150889,-0.00415045,0.000499781,0.0005,350000
51,63,0.000361374,-0.00402051,0.000499784,0.0005,350000
52,287,-0.00120303,0.00268172,0.000499786,0.0005,350000
53,11,-0.00206069,-0.00196483,0.0004998,0.0005,350000
54,14,0.00181721,0.00420638,0.000499811,0.0005,350000
55,2,0.00466026,0.000314107,0.000499826,0.0005,350000
56,114,-0.000347582,0.000123266,0.000499828,0.0005,350000
57,70,-0.00318306,0.00296251,0.000499829,0.0005,350000
58,195,0.00296168,0.000244876,0.000499833,0.0005,350000
59,6,0.00303688,-0.00308052,0.000499845,0.0005,350000
60,17,0.00347645,-0.00403292,0.000499861,0.0005,350000
61,103,-0.00401525,-0.000216575,0.000499861,0.0005,350000
62,44,0.00500035,0.00225462,0.000499862,0.0005,350000
63,107,0.00279777,0.00401113,0.000499877,0.0005,350000
64,132,0.00464366,0.00500002,0.000499884,0.0005,350000
65,48,-0.0041891,-0.0025816,0.000499897,0.0005,350000
66,360,0.00252551,0.00497635,0.000499906,0.0005,350000
67,22,-0.00142701,-0.00496931,0.000499907,0.0005,350000
68,268,-0.00500013,-0.000388926,0.000499912,0.0005,350000
69,16,-0.00212286,-0.00398872,0.000499917,0.0005,350000
70,56,0.00500026,-0.00329673,0.000499917,0.0005,350000
71,170,0.005,0.00329346,0.00049992,0.0005,350000
72,86,0.00227516,-0.00500002,0.000499921,0.0005,350000
73,322,0.00394796,-0.00499829,0.000499925,0.0005,350000
74,96,-0.00500002,0.00162758,0.000499926,0.0005,350000
75,61,-0.00248745,-0.00499056,0.000499939,0.0005,350000
76,233,-0.00482697,-0.00470929,0.000499939,0.0005,350000
77,78,-9.84751e-06,-0.00309195,0.000499939,0.0005,350000
78,91,-0.00229707,-0.00300141,0.000499939,0.0005,350000
79,7,0.000688722,-0.00237585,0.000499939,0.0005,350000
80,199,-0.000280521,-0.00212915,0.000499939,0.0005,350000
81,141,-0.00296794,-0.00152847,0.000499939,0.0005,350000
82,89,0.00153248,-0.000927267,0.000499939,0.0005,350000
83,241,0.0049947,-0.000858712,0.000499939,0.0005,350000
84,73,-0.00270672,-0.00048612,0.000499939,0.0005,350000
85,57,0.000749295,-0.000302255,0.000499939,0.0005,350000
86,13,-0.000408715,0.00202512,0.000499939,0.0005,350000
87,255,-0.000234694,0.00301099,0.000499939,0.0005,350000
88,293,-0.000138894,0.00493362,0.000499939,0.0005,350000
89,33,0.00364248,0.00499995,0.000499939,0.0005,350000
90,23,0.00124169,0.00333767,0.00049995,0.0005,350000
91,3,0.00499929,0.00125475,0.000499969,0.0005,350000
92,122,0.00414148,0.00276601,0.00050027,0.0005,350000
93,4,0.00120936,0.00500018,0.000501388,0.0005,350000
94,32,0.000277313,0.00129732,0.000627764,0.0005,350000
95,221,-0.000436234,-0.0050003,0.000631535,0.0005,350000
96,288,0.00401674,-0.00320524,0.000654228,0.0005,350000
97,172,-0.00281056,0.00205057,0.000670691,0.0005,350000
