pebble_id,proxy_atom_id,x,y,z,radius,source_timestep
1,102,-0.00453809,-8.91609e-05,0.000499586,0.0005,200000
2,3,0.00355527,-0.000472862,0.000499629,0.0005,200000
3,124,-0.000790577,0.00172481,0.000499634,0.0005,200000
4,174,0.00152443,0.00310975,0.000499638,0.0005,200000
5,175,-0.00282979,-0.0022613,0.00049964,0.0005,200000
6,237,-0.00498898,0.00429832,0.000499656,0.0005,200000
7,117,0.00361086,-0.00303769,0.000499685,0.0005,200000
8,199,0.00500015,-0.00180722,0.000499714,0.0005,200000
9,36,0.00500023,0.00311521,0.000499714,0.0005,200000
10,126,0.00167264,0.00177317,0.000499716,0.0005,200000
11,187,0.00232647,0.0037065,0.000499721,0.0005,200000
12,5,0.00311638,-0.00469897,0.000499729,0.0005,200000
13,150,-0.000500546,-0.00128551,0.00049973,0.0005,200000
14,138,0.00139913,0.00410172,0.000499738,0.0005,200000
15,49,0.00191496,-0.00477362,0.000499739,0.0005,200000
16,80,0.000816304,-0.00300924,0.000499742,0.0005,200000
17,209,0.0015177,-0.00125134,0.000499748,0.0005,200000
18,93,-0.0050002,-0.00374525,0.000499755,0.0005,200000
19,215,-0.00377649,0.000596092,0.000499755,0.0005,200000
20,144,-0.00304245,0.0041358,0.000499758,0.0005,200000
21,7,-0.00253677,0.00499848,0.000499769,0.0005,200000
22,55,-0.004032,-0.00202821,0.00049977,0.0005,200000
23,149,-0.00193081,0.00336037,0.000499775,0.0005,200000
24,243,0.00101192,-0.000388874,0.000499777,0.0005,200000
25,190,0.000950529,-0.00400006,0.000499786,0.0005,200000
26,63,-0.00398455,-0.00500013,0.000499789,0.0005,200000
27,105,0.00399161,0.00488932,0.000499791,0.0005,200000
28,196,0.00188201,-0.0035658,0.000499792,0.0005,200000
29,230,-0.00313262,0.00136345,0.000499794,0.0005,200000
30,56,0.00401232,0.00296168,0.000499798,0.0005,200000
31,132,-0.00362989,-0.00406527,0.000499802,0.0005,200000
32,95,-0.00262596,-0.00400271,0.000499802,0.0005,200000
33,110,0.00414162,0.00158392,0.000499803,0.0005,200000
34,8,-0.000952685,0.00356771,0.000499803,0.0005,200000
35,136,0.000152304,0.00139216,0.000499805,0.0005,200000
36,274,0.00167107,-0.00249051,0.000499806,0.0005,200000
37,194,0.000354304,0.00500008,0.000499808,0.0005,200000
38,40,-0.00131434,0.000855573,0.000499809,0.0005,200000
39,57,0.000502134,-0.00126785,0.000499812,0.0005,200000
40,27,-0.00269228,-0.00500025,0.000499814,0.0005,200000
41,309,0.00177074,0.000262146,0.000499814,0.0005,200000
42,216,-0.000645635,0.00500006,0.000499814,0.0005,200000
43,165,-0.00339561,-0.00032841,0.000499818,0.0005,200000
44,64,0.000941113,-0.00500009,0.000499828,0.0005,200000
45,188,0.00384143,-0.00401061,0.000499828,0.0005,200000
46,10,-0.000252259,0.000477742,0.00049983,0.0005,200000
47,156,-0.00242767,0.00249264,0.000499833,0.0005,200000
48,250,-0.00159339,0.0046671,0.000499833,0.0005,200000
49,268,-0.00404965,0.00176175,0.000499835,0.0005,200000
50,41,-0.00111577,-0.00311107,0.000499836,0.0005,200000
51,107,-0.00486574,0.00118413,0.00049984,0.0005,200000
