pebble_id,proxy_atom_id,x,y,z,radius,source_timestep
1,43,0.00288396,-0.000655138,0.000498134,0.0005,130000
2,41,0.00105589,0.0019459,0.000499851,0.0005,130000
3,24,0.0037677,9.31622e-05,0.000499918,0.0005,130000
4,14,0.00311889,0.00210404,0.00049992,0.0005,130000
5,18,-0.00328768,0.00348037,0.00049992,0.0005,130000
6,8,0.00480731,-0.000691595,0.000499921,0.0005,130000
7,4,-0.00111804,0.000172758,0.000499921,0.0005,130000
8,17,0.00161147,0.0010948,0.000499926,0.0005,130000
9,15,0.00040451,0.00102662,0.000499934,0.0005,130000
10,10,0.00336178,-0.00488217,0.000499939,0.0005,130000
11,22,-0.00057162,-0.00487122,0.000499939,0.0005,130000
12,38,0.00210198,-0.00483058,0.000499939,0.0005,130000
13,49,-0.00131817,-0.00401877,0.000499939,0.0005,130000
14,45,0.00447587,-0.00401406,0.000499939,0.0005,130000
15,32,0.00341401,-0.00383868,0.000499939,0.0005,130000
16,20,-0.00238596,-0.00333098,0.000499939,0.0005,130000
17,3,0.00303775,-0.00286041,0.000499939,0.0005,130000
18,7,0.00253886,-0.00162537,0.000499939,0.0005,130000
19,50,0.000532376,-0.00149496,0.000499939,0.0005,130000
20,28,-0.00227385,-0.00149033,0.000499939,0.0005,130000
21,37,-0.00498556,-0.00123774,0.000499939,0.0005,130000
22,35,-0.00397399,-0.0010222,0.000499939,0.0005,130000
23,42,-0.00495424,-0.000233871,0.000499939,0.0005,130000
24,23,-0.00214505,0.00033029,0.000499939,0.0005,130000
25,26,-0.00457137,0.000927496,0.000499939,0.0005,130000
26,2,0.00291351,0.00100864,0.000499939,0.0005,130000
27,39,-0.00193563,0.00134928,0.000499939,0.0005,130000
28,33,-0.000113169,0.00235039,0.000499939,0.0005,130000
29,48,-0.00111026,0.002442,0.000499939,0.0005,130000
30,1,0.00309835,0.00310569,0.000499939,0.0005,130000
31,34,-0.00431801,0.00373695,0.000499939,0.0005,130000
32,19,-0.000719421,0.00405694,0.000499939,0.0005,130000
33,40,0.00240891,0.00421844,0.000499939,0.0005,130000
34,31,-0.00260524,0.00426426,0.000499939,0.0005,130000
35,21,0.0039824,0.00439598,0.000499939,0.0005,130000
36,6,-0.0037728,0.00457717,0.000499939,0.0005,130000
37,25,0.000348845,0.00485789,0.000499939,0.0005,130000
38,11,-0.00118967,-0.00137079,0.000499966,0.0005,130000
39,5,0.00468288,0.00367196,0.000502311,0.0005,130000
40,13,-0.00461973,-0.00491595,0.000507107,0.0005,130000
41,47,0.00484552,0.00496458,0.00050886,0.0005,130000
42,30,-0.00168491,-0.00496728,0.000520542,0.0005,130000
43,16,-0.00175695,-0.000571406,0.000698472,0.0005,130000
44,29,0.00220822,0.00183387,0.000812339,0.0005,130000
45,9,0.00395781,-0.000872469,0.00099544,0.0005,130000
46,27,0.00358607,0.000766335,0.00121667,0.0005,130000
47,44,0.00138271,0.00497592,0.00122155,0.0005,130000
48,46,-0.00296752,0.00290846,0.00125511,0.0005,130000
49,12,0.00012883,0.0015915,0.00127734,0.0005,130000
50,36,-0.000462053,-0.00489944,0.0017489,0.0005,130000
