pebble_id,rigid_id,target_x,target_y,target_z,q1_w,q2_x,q3_y,q4_z
1,1,-0.000854605,0.00132252,0.000497748,-0.200027,-0.952742,-0.22287,0.0510035
2,2,0.00222174,0.0014475,0.00049674,0.611812,0.353912,0.196641,-0.679533
3,3,0.00184983,-0.00159644,0.000500603,0.0633899,0.741571,0.574488,0.340612
4,4,-0.000353325,2.91489e-05,0.000497698,-0.100858,-0.194636,-0.15331,0.963556
5,5,0.00223401,0.000393112,0.000494418,-0.560423,0.389304,-0.113715,-0.722106
6,6,0.000192868,-0.00174215,0.000495591,0.543231,0.264672,0.544831,-0.581384
7,7,0.00250308,-0.00024573,0.00119692,-0.286732,0.813716,0.495072,-0.102738
8,8,-0.000723951,-0.00110066,0.000498481,0.665298,-0.489495,-0.237636,-0.511178
9,9,-0.000222889,0.00228891,0.000496483,-0.415498,-0.205829,0.883192,0.0704813
10,10,-0.00226511,-0.00248777,0.000494691,-0.433952,0.738438,-0.414888,0.307022
11,11,-0.000320335,0.000788549,0.0011163,-0.73388,0.168166,-0.388797,0.531015
12,12,0.00140494,4.29556e-05,0.00103756,0.0596258,0.822092,-0.295958,-0.482719
13,13,-0.00222184,-0.000960891,0.000497966,-0.182309,-0.704071,-0.0396764,-0.685181
14,14,0.000696371,0.000469762,0.000497729,0.397101,0.53015,-0.248968,-0.706588
15,15,-0.00154128,-0.00179426,0.000494755,0.114817,-0.0160991,0.167813,0.978977
16,16,0.0013116,0.002503,0.000498511,0.593932,0.698135,-0.35883,0.176332
17,17,-0.00215119,0.0012046,0.000500329,-0.206419,-0.770069,-0.447489,0.40514
18,18,-0.00227298,0.00248291,0.000500744,0.27499,0.930292,-0.042901,-0.238949
19,19,0.00224835,-0.00250362,0.000495907,0.0358073,-0.650163,0.279102,-0.705768
20,20,0.00192127,-0.000593967,0.000496536,0.125543,-0.869361,0.436938,-0.19374
