id,atom1,atom2,length_mm
1,1,2,0.17994589224437874
2,1,4,0.15373134114014672
3,1,11,0.15152744363069826
4,1,13,0.2085670256047933
5,1,19,0.14751541222314501
6,1,26,0.1906398092136211
7,1,40,0.19859303200740983
8,1,50,0.24557093054107976
9,1,61,0.2201810661076681
10,1,66,0.21447289293367597
11,1,70,0.14935381827853214
12,1,71,0.13402985343170443
13,1,136,0.22970731724105775
14,1,137,0.12541116717560136
15,1,139,0.24370700132882928
16,1,141,0.19526618866730974
17,1,152,0.1766546581738168
18,1,156,0.24114681917938327
19,1,160,0.23638659038079615
20,1,161,0.23665293436562626
21,1,165,0.16952522284723043
22,1,168,0.1452137918170186
23,1,171,0.14526022358991383
24,1,184,0.23754388886589695
25,1,191,0.16353139004761652
26,1,201,0.24008112628521439
27,1,209,0.11084298122372375
28,1,210,0.24893098143238812
29,1,212,0.24635977811975882
30,1,215,0.18197056539542417
31,1,232,0.1973258692909818
32,1,236,0.13514245257006471
33,2,6,0.17692290238363306
34,2,11,0.15285540326354774
35,2,13,0.13663132048550672
36,2,19,0.2476427145849974
37,2,25,0.18730646173872478
38,2,48,0.24781906715531513
39,2,50,0.21874206748966898
40,2,61,0.22445077077915318
41,2,71,0.24043561979186623
42,2,86,0.23803226446592385
43,2,97,0.1273822490874345
44,2,105,0.2394988742789882
45,2,141,0.16798813368521753
46,2,157,0.1963066908082094
47,2,163,0.18068029899950022
48,2,168,0.22236690084474087
49,2,171,0.12231769996002022
50,2,183,0.21229704871076366
51,2,184,0.11207845259241728
52,2,191,0.1844479778342297
53,2,209,0.15917215099293183
54,2,212,0.10915607421236959
55,2,232,0.2487709515901175
56,2,233,0.11250461437883386
57,2,236,0.1513971068406996
58,3,5,0.17118318536504848
59,3,7,0.14651047096587738
60,3,12,0.22661796842076984
61,3,18,0.1177474343180859
62,3,36,0.11976411003063175
63,3,39,0.24016388364446836
64,3,52,0.195492099067241
65,3,54,0.15739706679477597
66,3,85,0.11687486922044145
67,3,95,0.17223082364796727
68,3,100,0.1805171032178703
69,3,101,0.22629861195796996
70,3,113,0.1920512221240809
71,3,116,0.1800780569842308
72,3,122,0.24360619329122798
73,3,125,0.2301035854885254
74,3,131,0.12940602664652548
75,3,142,0.19599177758177946
76,3,173,0.17513918385115088
77,3,178,0.2050982065024941
78,3,185,0.22164071055219625
79,3,193,0.12531676169284
80,3,203,0.20246776581697093
81,3,213,0.11163317323289648
82,3,221,0.21909448414029853
83,3,225,0.1203465625479059
84,3,229,0.18753238751738788
85,4,9,0.1388509256579958
86,4,13,0.24442024651745406
87,4,24,0.23228569016937578
88,4,26,0.21276092588288334
89,4,30,0.2193047850442198
90,4,61,0.20667795565237926
91,4,66,0.18447227306495145
92,4,68,0.1628700265572123
93,4,71,0.20863939139450197
94,4,79,0.23678866239064245
95,4,93,0.19689552137800806
96,4,103,0.2493144337427145
97,4,110,0.24928112470300398
98,4,111,0.21717547718393976
99,4,119,0.21745602782677487
100,4,128,0.24539132549848783
101,4,137,0.17891854336739815
102,4,139,0.1494467257634661
103,4,143,0.21273503155964996
104,4,152,0.13213881057095922
105,4,154,0.18026549604799208
106,4,156,0.13487343694216927
107,4,160,0.24215480881629212
108,4,165,0.16116874828125854
109,4,168,0.1329570428671493
110,4,170,0.19399683747775756
111,4,171,0.23610415249199512
112,4,179,0.23067837754298087
113,4,201,0.1288261772351585
114,4,209,0.14509271242983685
115,4,210,0.11305811470528043
116,4,211,0.2121984814600336
117,4,215,0.11883917779075741
118,4,219,0.23218176605929866
119,4,231,0.2335102148427719
120,4,232,0.22625080155498034
121,5,7,0.12327009423936315
122,5,12,0.20523158937041344
123,5,18,0.23890837349615612
124,5,39,0.15864118546656783
125,5,52,0.21926776075395973
126,5,54,0.11383722801082159
127,5,56,0.1384484492145626
128,5,64,0.2113335032229661
129,5,69,0.22082289436665067
130,5,80,0.2290449074472451
131,5,85,0.1969853953682277
132,5,89,0.22399727516793963
133,5,99,0.17793591553369734
134,5,100,0.15122208633080628
135,5,101,0.22690159532218632
136,5,104,0.1835346421714933
137,5,114,0.21637606411327848
138,5,117,0.2291457907795841
139,5,121,0.20428996696768975
140,5,131,0.2190874215426647
141,5,138,0.20395499541235082
142,5,142,0.2451453282001713
143,5,144,0.14711721506568903
144,5,158,0.18340496073877388
145,5,173,0.21184665222910032
146,5,193,0.21739001797288882
147,5,197,0.11043693344164483
148,5,203,0.19549555760113965
149,5,213,0.13869769443685284
150,5,221,0.11443248864992667
151,5,225,0.11105826298669835
152,5,234,0.1816610843456101
153,5,235,0.24610380810844926
154,5,242,0.23286131603900326
155,6,11,0.18778016492943816
156,6,15,0.21475597711924937
157,6,19,0.22242972624915264
158,6,25,0.15096293976611358
159,6,41,0.1718388818847751
160,6,46,0.17148896523990487
161,6,48,0.189292315473109
162,6,71,0.2219738451055433
163,6,78,0.19043129886751659
164,6,81,0.15165719384985515
165,6,86,0.15383333797239604
166,6,97,0.17748551109077354
167,6,105,0.24500065023969517
168,6,125,0.21039902039526126
169,6,146,0.13221860828243057
