id,atom1,atom2,length_mm
1,1,2,0.18435982240272503
2,1,4,0.15750224913075528
3,1,11,0.1552442917616372
4,1,19,0.1511338484025514
5,1,50,0.10195861093099437
6,1,55,0.17236116670741827
7,1,59,0.08493382627672125
8,1,90,0.11254174554500232
9,1,98,0.1530173491018337
10,1,99,0.1373174995391104
11,1,103,0.18899746592154248
12,1,120,0.07488901362860328
13,1,141,0.17758414965302083
14,1,177,0.13253511402200924
15,1,198,0.12770256563079757
16,1,213,0.1821545629617586
17,1,232,0.14658770051654188
18,1,240,0.12450367507550505
19,1,270,0.08150640517339745
20,1,283,0.17679906467921327
21,1,284,0.13627309231551663
22,1,329,0.10323762974652662
23,1,346,0.1835003060110915
24,1,378,0.1602819313393251
25,1,393,0.12491559302867684
26,1,412,0.08109886801129608
27,1,418,0.18093080834994743
28,1,420,0.1799468368231624
29,1,434,0.17314229551818439
30,1,436,0.1683652610621012
31,1,438,0.1231909447396174
32,1,445,0.1780896539154665
33,1,448,0.17229029278621322
34,1,450,0.12382924499037472
35,2,6,0.18126268099593226
36,2,11,0.15660482519208427
37,2,13,0.139982778518495
38,2,90,0.09150146935717159
39,2,120,0.1588072067039569
40,2,131,0.1398306483386762
41,2,160,0.13050683472744135
42,2,188,0.16746759231747188
43,2,226,0.14702658535332658
44,2,235,0.09228626900120547
45,2,270,0.17910339683546894
46,2,323,0.09070378089245909
47,2,326,0.15833559652217777
48,2,329,0.09731694141712655
49,2,337,0.13749760234964734
50,2,346,0.13867408676488518
51,2,378,0.1452961407973175
52,2,393,0.18323373439919036
53,2,402,0.17935601353842776
54,2,418,0.13164829799620176
55,2,437,0.1135046312842527
56,2,438,0.1474317206581935
57,2,445,0.1467089751658476
58,2,459,0.16172768212815875
59,2,498,0.0794289916567033
60,3,5,0.1753821732666918
61,3,7,0.1501042567324985
62,3,18,0.12063568558585401
63,3,42,0.12270182875573492
64,3,48,0.07092921817056398
65,3,64,0.1724865697762123
66,3,74,0.16125789213118974
67,3,135,0.11974171715773306
68,3,156,0.17645550928660447
69,3,165,0.18494504472880266
70,3,169,0.1256808005778787
71,3,173,0.13049287679609797
72,3,205,0.13878541540131528
73,3,217,0.18449522903892607
74,3,227,0.11747781657911008
75,3,266,0.14919069135692758
76,3,273,0.10570054343550637
77,3,310,0.07461105396538979
78,3,334,0.16587583205360987
79,3,335,0.17835725219645188
80,3,344,0.15441420109576437
81,3,349,0.1754087901143286
82,3,356,0.1761157651678772
83,3,406,0.17324825559108284
84,3,419,0.12440449998431102
85,3,427,0.11914824317448373
86,3,476,0.1455125310739342
87,4,9,0.14225682884718208
88,4,30,0.11539298581388405
89,4,50,0.1127617354414797
90,4,59,0.14033032711904622
91,4,94,0.18899723175839167
92,4,96,0.16686509926015142
93,4,97,0.18705772259900072
94,4,103,0.1795271714935564
95,4,115,0.09754402430315773
96,4,141,0.1474903855242925
97,4,150,0.17277353889014227
98,4,152,0.1816563304328904
99,4,198,0.08112700122038233
100,4,210,0.1536236230070523
101,4,248,0.18845657138639263
102,4,258,0.15652769131925684
103,4,259,0.08701311052357695
104,4,260,0.16772340525703383
105,4,276,0.13361666329386512
106,4,283,0.10643056338711465
107,4,284,0.07231400348567643
108,4,303,0.17603122397563623
109,4,307,0.14038156601977603
110,4,345,0.1527540418011578
111,4,355,0.10069936204366099
112,4,381,0.1895134978608957
113,4,393,0.156390247351159
114,4,434,0.18574413453377484
115,4,448,0.13826457228831246
116,4,464,0.1768206063562811
117,5,7,0.12629381197917336
118,5,45,0.1625325280482352
119,5,48,0.16919207391128252
120,5,64,0.1513810497870778
121,5,74,0.11662956501608705
122,5,75,0.1418444799754899
123,5,86,0.14726384048678925
124,5,91,0.08932505069906267
125,5,106,0.11485938303435259
126,5,123,0.13637216161679389
127,5,124,0.16028887494248634
128,5,161,0.18230054255591635
129,5,164,0.16456267872449643
130,5,165,0.15493144428912567
131,5,174,0.1880366015220399
132,5,273,0.09380603037091995
133,5,310,0.17203495140815264
134,5,334,0.13319642250626895
135,5,344,0.18723368649987338
136,5,347,0.1507258837843307
137,5,356,0.10525859754686165
138,5,367,0.14099044649220355
139,5,383,0.1372599241467456
140,5,401,0.18459708814403583
141,5,423,0.1800183825215522
142,5,427,0.17463800313389424
143,5,435,0.15399554231671542
144,5,467,0.18226904362395843
145,5,471,0.11197266786618597
146,5,485,0.0837860324729152
147,6,26,0.15466594106453338
148,6,36,0.10769655281761863
149,6,51,0.17605395350251252
150,6,62,0.17569545367959663
151,6,82,0.07983645960550338
152,6,121,0.15537722465086365
153,6,129,0.16937380407461186
154,6,138,0.15760674786448342
155,6,158,0.06998560749861599
156,6,160,0.18183909004888138
157,6,188,0.13784573783032705
158,6,213,0.16790142027935348
159,6,226,0.12633291514870412
160,6,234,0.11260362234079431
161,6,235,0.12996927016834772
162,6,245,0.15867095295157965
163,6,292,0.15740324563293961
164,6,319,0.09357008613456128
165,6,326,0.12988938458692229
166,6,331,0.13572995753156203
167,6,340,0.1310629561837993
168,6,346,0.07917470080168634
169,6,352,0.18482441656203327
170,6,363,0.18228427522894713
171,6,375,0.15053699120474906
172,6,379,0.18572825171917248
173,6,387,0.14249559291538408
174,6,400,0.16428073417286357
175,6,402,0.17890497540807812
176,6,404,0.09140073780712515
177,6,410,0.15114029008334345
178,6,438,0.15545495708706922
179,6,442,0.1715311081518011
180,6,479,0.18563629464151601
181,6,487,0.12520956780641562
182,7,45,0.12323705904096374
183,7,48,0.18541230366333156
184,7,64,0.1794447739328975
185,7,86,0.1266355356811965
186,7,91,0.14632348127805936
187,7,106,0.16053437214319044
188,7,135,0.11248627766083687
189,7,161,0.129479919678764
190,7,165,0.1198076636779366
191,7,166,0.12016169857068214
192,7,169,0.18881740647871206
193,7,205,0.18061513995760198
194,7,242,0.18611807159385763
195,7,256,0.15401697520469718
196,7,273,0.12465957076479843
197,7,310,0.12812098846726488
198,7,334,0.16813889834934434
199,7,360,0.1476385072505219
200,7,365,0.07965233135045952
201,7,370,0.10569739249504623
202,7,414,0.15389020881924975
203,7,433,0.1700413943796833
204,7,449,0.1744503310448712
205,7,476,0.15677336464617117
206,7,485,0.08483545158213669
207,8,21,0.1032749143931413
208,8,65,0.127211477592865
209,8,104,0.08415441512772215
210,8,138,0.17274103859744194
211,8,147,0.13533525507461286
212,8,208,0.10940454662149976
213,8,211,0.18110900892547352
214,8,238,0.18957220417540951
215,8,262,0.0853926323120946
216,8,277,0.18736203404244922
217,8,352,0.13880918317197657
218,8,353,0.11433062070386948
219,8,364,0.0887731583268931
220,8,369,0.15516430794851963
221,8,400,0.15730162994083197
222,8,489,0.1495688556056099
223,9,25,0.18853590732967285
224,9,30,0.08981015579270557
225,9,96,0.12469601845817355
226,9,115,0.1181695576602276
227,9,116,0.1773819949104178
228,9,181,0.18704208995283064
229,9,186,0.15982618093128712
230,9,206,0.10599394762313505
231,9,221,0.12191820977311645
232,9,248,0.11106661194494392
233,9,254,0.13740984604146841
234,9,259,0.1437350009687258
235,9,260,0.17849239671883188
236,9,274,0.11062292331767595
237,9,276,0.09086398721995942
238,9,284,0.17854049339907896
239,9,303,0.1679610412622861
240,9,307,0.1451727935009368
241,9,333,0.1327206853751762
242,9,345,0.15835591485144712
243,9,355,0.0852078272776458
244,9,368,0.07019335170768669
245,9,381,0.18298605058236625
246,10,14,0.16187532629281182
247,10,20,0.1778895163277185
248,10,57,0.07406882376207825
249,10,60,0.16170773750183998
250,10,107,0.13076569390684395
251,10,128,0.14394422262787962
252,10,130,0.11426130260332437
253,10,136,0.18885358720659073
254,10,140,0.18136821781669096
255,10,218,0.10493158833993457
256,10,223,0.18199769136995542
257,10,236,0.16777440626959558
258,10,256,0.14051661081585795
259,10,257,0.1544116496267475
260,10,278,0.15612141075086391
261,10,317,0.16012416477993016
262,10,338,0.07034834281594378
263,10,360,0.18277226115834505
264,10,391,0.14336510219259208
265,10,426,0.07864790434850713
266,10,428,0.10812415793570536
267,10,453,0.184302185548457
268,10,466,0.17969710214241408
269,10,477,0.10920522283939771
270,10,482,0.16634055394970934
271,10,500,0.18878363030012243
272,11,19,0.13595440538627707
273,11,27,0.10919214049927745
274,11,62,0.1395145013221063
275,11,69,0.1615856545655324
276,11,84,0.17283743058770645
277,11,90,0.08860630665947893
278,11,98,0.129735955697559
279,11,120,0.12211392922093685
280,11,131,0.10733527345047106
281,11,213,0.07704640863107615
282,11,235,0.14334318761904097
283,11,240,0.18571369328823475
284,11,270,0.156474531520729
285,11,280,0.18225302868579
286,11,323,0.15800123879829608
287,11,329,0.16413356584031238
288,11,340,0.14361810339492243
289,11,346,0.15149155908498918
290,11,378,0.14619747020626445
291,11,402,0.07430882199276032
292,11,404,0.144337972047896
293,11,407,0.1188974427330108
294,11,412,0.1460174293916938
295,11,422,0.18868768393659888
296,11,438,0.07121831748901143
297,11,446,0.16423185449544095
298,11,459,0.16298447714827846
299,12,33,0.15869419252799155
300,12,39,0.15935918169220128
301,12,45,0.15870021033110626
302,12,53,0.0797470912419967
303,12,64,0.0828289418656631
304,12,88,0.1337800911987188
305,12,91,0.15450435583912117
306,12,100,0.1328681518912602
307,12,113,0.15818874718888612
308,12,124,0.16885925167813595
309,12,145,0.16361820476831626
310,12,169,0.17168796745461623
311,12,242,0.12930706794635308
312,12,273,0.16017709087388848
313,12,289,0.14837965816288967
314,12,293,0.12017008692901385
315,12,304,0.16356975693379391
316,12,306,0.11051791032572823
317,12,308,0.1500007462391825
318,12,310,0.16571394551018528
319,12,347,0.13264593826303894
320,12,389,0.15744531085510113
321,12,396,0.1792995639811532
322,12,408,0.1612235384324452
323,12,410,0.1732335195960251
324,12,427,0.156099415416985
325,12,441,0.13098893994548189
326,12,449,0.07616415233499628
327,12,480,0.1703718828020945
328,12,483,0.18534495955016952
329,13,67,0.07680322510565843
330,13,79,0.1601721939858955
331,13,81,0.14581694528794512
332,13,90,0.1861268716635647
333,13,160,0.15692457710066776
334,13,251,0.0923972245711349
335,13,260,0.15350625369501927
336,13,305,0.16356426516326347
337,13,323,0.18276196554115315
338,13,329,0.12002248829513594
339,13,337,0.09272535744393123
340,13,385,0.13959332015129813
341,13,393,0.1526346872501831
342,13,418,0.08430076458435797
343,13,437,0.08910522039852689
344,13,445,0.13573617591981646
345,13,455,0.14735024579147313
346,13,498,0.1639014394840106
347,14,20,0.12831002600821986
348,14,57,0.1492168066217392
349,14,61,0.07258640676780571
350,14,83,0.150990815094018
351,14,128,0.14536538841732727
