timestep,top_displacement_mm,engineering_strain_percent,top_plate_force_N,top_plate_pressure_MPa,cumulative_localized_broken_bonds,inter_pebble_edges,inter_subparticle_contacts,reconstructed_inter_normal_force_N,active_network_pebbles,largest_component_pebbles,network_effective_pebbles,network_strength_entropy,edge_force_effective_count,edge_force_gini,force_weighted_fabric_xx,force_weighted_fabric_yy,force_weighted_fabric_zz,force_weighted_fabric_anisotropy,topwall_loaded_pebbles,topwall_subparticle_contacts,reconstructed_topwall_normal_force_N,topwall_effective_pebbles,topwall_load_entropy,topwall_load_gini,topwall_max_load_share
5000,0.009997500000000001,0.24502115061295116,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
10000,0.0224975,0.5513741771357709,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
15000,0.0349975,0.8577272036585905,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
20000,0.047497500000000005,1.1640802301814102,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
25000,0.0599975,1.4704332567042298,2.7758475,0.022940888429752067,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2.7671280990858484,1.0,0.0,0.0,1.0
30000,0.0724975,1.7767862832270493,0.074858821,0.0006186679421487604,42,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0.07142307118167197,1.0,0.0,0.0,1.0
35000,0.0849975,2.0831393097498694,8.0440999,0.06648016446280994,42,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,8.042137980366844,1.0,0.0,0.0,1.0
40000,0.0974975,2.3894923362726885,9.0885862,0.07511228264462812,60,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,9.079048950207465,1.0,0.0,0.0,1.0
45000,0.10999750000000001,2.6958453627955086,11.62621,0.09608438016528928,60,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,11.628818637642995,1.0,0.0,0.0,1.0
50000,0.12249750000000001,3.002198389318328,12.259979,0.10132214049586777,60,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,12.253735053662709,1.0,0.0,0.0,1.0
55000,0.1349975,3.3085514158411478,12.370967,0.10223939669421489,60,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,12.371648295402386,1.0,0.0,0.0,1.0
60000,0.1474975,3.614904442363967,12.603016,0.1041571570247934,60,1,1,1.1969309639929682,2,2,2.0,1.0,1.0,0.0,0.0035538286099396662,0.06309917092317811,0.9333470004668822,1.0,1,4,12.602284970754631,1.0,0.0,0.0,1.0
65000,0.15999750000000001,3.921257468886787,11.670273,0.09644853719008266,60,1,3,3.8269083588531405,2,2,2.0,1.0,1.0,0.0,0.005650029426349866,0.10372820702232118,0.8906217635513289,0.905932626571779,1,4,11.651881020052581,1.0,0.0,0.0,1.0
70000,0.1724975,4.227610495409607,9.0178954,0.0745280611570248,148,1,2,2.3375565004466408,2,2,2.0,1.0,1.0,0.0,0.005190047504515862,0.07439060038989531,0.9204193521055886,0.9817154689777509,1,6,9.009196723537377,1.0,0.0,0.0,1.0
75000,0.1849975,4.533963521932427,16.58717,0.1370840495867769,148,1,3,4.787242331222983,2,2,2.0,1.0,1.0,0.0,0.004743592839069053,0.1358158624069493,0.8594405447539818,0.8205371194005489,2,9,16.57528487438099,1.096262558416782,0.26925646652559576,0.4539770006756556,0.9539770006756558
80000,0.1974975,4.840316548455246,24.392046,0.2015871570247934,233,4,6,7.578075077261692,5,5,2.678542858053046,0.708160404464656,2.0027926821131348,0.5177741207075228,0.022542043244964675,0.19013101422364728,0.7873269425313879,0.7019927358169709,2,13,24.35796487208784,1.770880646260702,0.9045463903602056,0.17984826244267937,0.6798482624426793
