timestep,top_displacement_mm,pebble_i,pebble_j,subparticle_contacts,overlap_sum_um,reconstructed_normal_force_N,max_subcontact_normal_force_N
55000,0.1349975,478,499,1,0.2055823726864137,0.02739389750724559,0.02739389750724559
60000,0.1474975,478,499,1,3.1808700679436024,1.6672238316819405,1.6672238316819405
60000,0.1474975,429,498,1,0.4503123038432382,0.08880670064334732,0.08880670064334732
65000,0.15999750000000001,429,498,2,7.49131038612224,4.262871541192101,2.244965771200425
65000,0.15999750000000001,478,499,1,2.3535195517875747,1.0610888018396627,1.0610888018396627
65000,0.15999750000000001,480,498,1,0.6330149267365425,0.14801166425184267,0.14801166425184267
65000,0.15999750000000001,436,500,1,0.11109011309249739,0.010881484023953673,0.010881484023953673
70000,0.1724975,436,500,2,6.483083243021009,3.538738167621611,2.511686525062538
70000,0.1724975,429,498,2,4.502098339445763,2.666711994513471,2.6451789476442897
70000,0.1724975,480,498,1,2.267422172433741,1.0033988505056881,1.0033988505056881
70000,0.1724975,478,499,1,1.6698179474916532,0.6341305879701753,0.6341305879701753
70000,0.1724975,455,499,1,0.8146934887493726,0.2161057803336343,0.2161057803336343
75000,0.1849975,436,500,2,8.132948946510194,4.88273733472368,3.1140194688337024
75000,0.1849975,429,498,3,4.920261816794265,2.5174807754686883,2.317061697319704
75000,0.1849975,480,498,1,2.7667001670211295,1.352440475952566,1.352440475952566
75000,0.1849975,478,499,1,1.6704541885777415,0.6344930511634054,0.6344930511634054
75000,0.1849975,455,499,1,1.248248288118051,0.4098514577531727,0.4098514577531727
80000,0.1974975,429,498,4,9.666810979164937,5.107220682204381,2.7132972651048157
80000,0.1974975,436,500,2,8.398807565804129,5.0886244840226516,3.0250744548605537
80000,0.1974975,464,498,1,2.702691084388313,1.3057788468855414,1.3057788468855414
80000,0.1974975,478,499,1,2.436733222339657,1.1178589085180337,1.1178589085180337
80000,0.1974975,480,498,1,2.1892783833176073,0.9519770941395861,0.9519770941395861
80000,0.1974975,455,499,2,1.5413743845577292,0.5363399174016482,0.5325470063294342
