timestep,top_displacement_mm,engineering_strain_percent,top_plate_force_N,top_plate_pressure_MPa,cumulative_localized_broken_bonds,inter_pebble_edges,inter_subparticle_contacts,reconstructed_inter_normal_force_N,active_network_pebbles,largest_component_pebbles,network_effective_pebbles,network_strength_entropy,edge_force_effective_count,edge_force_gini,force_weighted_fabric_xx,force_weighted_fabric_yy,force_weighted_fabric_zz,force_weighted_fabric_anisotropy,topwall_loaded_pebbles,topwall_subparticle_contacts,reconstructed_topwall_normal_force_N,topwall_effective_pebbles,topwall_load_entropy,topwall_load_gini,topwall_max_load_share
5000,0.009997500000000001,0.26203706130579507,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
10000,0.0224975,0.5896652949964616,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
15000,0.0349975,0.9172935286871281,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
20000,0.047497500000000005,1.2449217623777948,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
25000,0.0599975,1.572549996068461,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
30000,0.0724975,1.9001782297591276,5.4380537,0.04494259256198348,23,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,5.425599763282702,1.1246381395510054,0.3229801109252237,0.44112067244278985,0.9411206724427896
35000,0.0849975,2.2278064634497943,10.864918,0.08979271074380166,23,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5,10.860611363979542,2.1049944011757664,0.7248215873801045,0.31592716695082856,0.5002298078012819
40000,0.0974975,2.5554346971404605,12.514847,0.1034284876033058,144,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,12.494738221930534,1.7912158147452595,0.6105678796273888,0.4464186158255863,0.6792970937816213
45000,0.10999750000000001,2.8830629308311275,26.08615,0.21558801652892565,144,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,13,26.07423186778971,2.8307218819202786,0.9725684596185084,0.13299333091655963,0.43550443334146965
50000,0.12249750000000001,3.2106911645217937,28.414774,0.23483284297520665,213,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,14,28.420859620840815,2.7797548197074256,0.9606794315822058,0.1372690747078742,0.4068106432223892
55000,0.1349975,3.53831939821246,34.719893,0.28694126446280993,213,1,1,0.02739389750724559,2,2,2.0,1.0,1.0,0.0,0.18541985905714634,0.5744502364390697,0.24012990450378416,1.0,3,15,34.700822445548845,2.979697066302433,0.9968331886204375,0.039531646709726864,0.35373402736665405
60000,0.1474975,3.8659476319031265,36.572236,0.3022498842975207,219,2,2,1.7560305323252878,4,2,2.212462037864095,0.6444117832102597,1.1062310189320474,0.4494275873861078,0.19559686301651039,0.611466672484338,0.19293646449915147,0.9646385816135196,3,15,36.58410805513511,2.985285156521051,0.9977384790894959,0.03783111279980478,0.35936325839174194
65000,0.15999750000000001,4.193575865593793,28.259671,0.23355100000000004,219,4,5,5.4828534913075595,7,3,3.0135569107613915,0.6461951982005539,1.5559869708270717,0.6232633851498577,0.12043305176015646,0.3315456636739016,0.5480212845659419,0.5305124575491524,3,20,28.25559497894672,2.2615004140659036,0.8149281882412471,0.29931531319836724,0.5211623660743545
70000,0.1724975,4.52120409928446,32.898875,0.27189152892561985,411,5,7,8.05908538094458,8,3,5.43448956115464,0.8721068182695927,3.0796550528166335,0.43071121701416426,0.08329331791911163,0.3463606553247631,0.5703460267561253,0.7675569319398321,3,23,32.86893188600851,2.588569540465429,0.9208348120967024,0.21418369363970036,0.47885252901010184
75000,0.1849975,4.848832332975126,38.068887,0.3146189008264463,411,5,8,9.797003095061513,8,3,5.296500329216641,0.8700731768471143,2.946154805628664,0.4421253876587985,0.09485078886225051,0.3642362357645692,0.5409129753731803,0.6901010217504209,4,27,38.058018257451295,2.765391663737449,0.7642243102244716,0.36253680981602354,0.4235515098612331
80000,0.1974975,5.176460566665793,46.27913,0.38247214876033064,528,6,11,14.107799933171844,9,4,5.727493123849415,0.8665002229348313,3.546104046884625,0.4188258280285433,0.1374744445614421,0.2920927448785781,0.5704328105599795,0.5136664626263523,4,29,46.291129673662645,3.084632105540873,0.8526295467709999,0.28664605504354745,0.3899791292797555
