seed,cutoff_mm,bed_height_mm,top_bin_count,geometric_contact_count,global_mean_degree,top_bin_mean_degree,top5_mean_degree,active_mean_degree,localized_broken_bonds
seed01,1.0,3.9943700000000004,15,933,3.732,2.466666666666667,2.8,3.8,271
seed02,1.0,4.08026,9,950,3.8,2.4444444444444446,2.2,3.0,246
seed03,1.0,3.8153040000000003,28,917,3.668,2.9285714285714284,3.0,3.4285714285714284,559
seed01,1.02,3.9943700000000004,15,1225,4.9,3.0,2.8,4.6,271
seed02,1.02,4.08026,9,1181,4.724,2.888888888888889,2.8,3.75,246
seed03,1.02,3.8153040000000003,28,1195,4.78,3.5357142857142856,3.2,4.142857142857143,559
seed01,1.05,3.9943700000000004,15,1371,5.484,3.2,3.0,4.8,271
seed02,1.05,4.08026,9,1328,5.312,3.2222222222222223,3.0,4.5,246
seed03,1.05,3.8153040000000003,28,1341,5.364,3.75,3.2,4.428571428571429,559
seed01,1.1,3.9943700000000004,15,1535,6.14,3.6666666666666665,3.8,5.4,271
seed02,1.1,4.08026,9,1497,5.988,3.6666666666666665,3.4,4.75,246
seed03,1.1,3.8153040000000003,28,1511,6.044,4.0,3.6,4.857142857142857,559
