seed,pebble_id,broken_bonds,event_count,height_bin,zrank,z_mm,degree,first_event_top_displacement_mm
seed01,500,200,6,8,1,4.4939100000000005,3,0.0724975
seed01,454,23,2,7,47,3.66228,7,0.1724975
seed01,471,23,1,7,30,3.8196,5,0.1974975
seed01,499,23,1,8,2,4.37315,2,0.1974975
seed01,466,2,1,7,35,3.77873,7,0.1974975
seed02,500,187,5,8,1,4.579879999999999,3,0.0724975
seed02,459,23,1,7,42,3.68925,6,0.1724975
seed02,499,23,1,8,2,4.46157,3,0.1974975
seed02,485,13,2,7,16,3.93035,6,0.1974975
seed03,500,181,7,8,1,4.31489,4,0.0724975
seed03,499,164,5,8,2,4.31083,3,0.0974975
seed03,498,93,3,8,3,4.29744,3,0.0974975
seed03,497,39,1,8,4,4.18434,3,0.1974975
seed03,429,36,2,7,72,3.44911,7,0.1724975
seed03,436,23,2,7,65,3.48623,6,0.1724975
seed03,478,23,2,8,23,3.9049699999999996,5,0.1724975
