mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
2,43,2,0.05030181802488977,0.02684575755338262,6.20039e-07
2,49,1,0.0006365372870386226,0.0006365372870386226,5.39314e-08
3,6,2,0.006034003666906469,0.003541680846729276,1.61416e-07
5,57,1,0.005910651336785482,0.005910651336785482,2.40555e-07
5,73,2,0.0028245061061094737,0.002793085549960831,1.39305e-07
5,83,4,0.020330328943772184,0.008144491872247157,2.92922e-07
6,23,2,0.007887703471196512,0.004945039132274384,2.08853e-07
6,30,2,0.0014032887058342371,0.00115248830541789,7.17373e-08
6,73,2,0.008555470771549,0.006217657196710108,2.37901e-07
7,19,3,0.022178166834198293,0.011071316126161334,3.50515e-07
7,75,2,0.07013500320011834,0.03789843432795081,7.95775e-07
8,26,3,0.003719328898650831,0.0023663193402922184,1.25893e-07
8,30,2,0.0014777662305014087,0.0012965145267747678,8.7631e-08
8,45,3,0.004401771923505772,0.0015856111806045517,9.67039e-08
9,69,1,6.445357195338362e-05,6.445357195338362e-05,9.9169e-09
11,61,2,0.0644667302637785,0.05516646215556786,1.06239e-06
12,41,1,0.0005629202342197338,0.0005629202342197338,4.6747e-08
13,26,1,0.0033973293869079047,0.0033973293869079047,1.64904e-07
13,27,1,0.0026741081764215372,0.0026741081764215372,1.41962e-07
13,42,1,0.0034991288045689317,0.0034991288045689317,1.72276e-07
13,68,1,0.0031626232717916693,0.0031626232717916693,1.60121e-07
17,65,3,0.0010664304530562275,0.0006216813573910352,5.07012e-08
18,22,1,0.0001805615188400895,0.0001805615188400895,2.18284e-08
20,35,1,0.06177609184908114,0.06177609184908114,1.16321e-06
22,32,2,0.0002562628626404871,0.00022251597056995707,2.62626e-08
22,36,2,0.00022661137962924765,0.0002251704086957254,2.61332e-08
22,54,1,0.00017793843570087167,0.00017793843570087167,2.19466e-08
23,56,1,0.0017755893262826853,0.0017755893262826853,1.08062e-07
23,89,1,0.00530327554371824,0.00530327554371824,2.11194e-07
25,26,1,0.0003324390102350956,0.0003324390102350956,3.40516e-08
25,51,2,0.00045352403423867696,0.0003156705992635519,3.23733e-08
28,45,1,0.0012386824867467046,0.0012386824867467046,8.032e-08
28,56,1,0.0009458446196564212,0.0009458446196564212,6.71844e-08
28,94,1,6.597015805627572e-05,6.597015805627572e-05,1.21713e-08
30,67,1,0.000928246829167221,0.000928246829167221,6.69415e-08
31,53,1,8.014161451703852e-05,8.014161451703852e-05,1.44216e-08
32,69,1,4.39618926728411e-05,4.39618926728411e-05,8.8349e-09
33,40,1,0.004251826790616005,0.004251826790616005,1.78983e-07
33,73,2,0.006683906601240637,0.003489934583298088,1.71403e-07
34,69,1,0.00027881853331699453,0.00027881853331699453,2.76283e-08
35,66,1,0.0005717562257623436,0.0005717562257623436,4.92371e-08
35,75,3,0.07502259921337476,0.03561076215261336,7.50068e-07
35,83,2,0.012671028315276386,0.01094625810476804,3.42764e-07
36,54,2,0.0006162482966104465,0.00046686767125385755,4.2536e-08
38,53,1,0.0004903099576055742,0.0004903099576055742,4.31809e-08
40,43,2,0.018929190328462218,0.01779571565969145,4.68129e-07
40,83,2,0.01571435570873456,0.008693061903437705,2.93383e-07
40,92,1,0.006059989662284912,0.006059989662284912,2.3649e-07
42,69,2,0.0014341311677510031,0.0009183896125297857,6.88489e-08
42,74,2,0.0040785995554883355,0.0028823244958278535,1.45491e-07
43,57,3,0.03533020224141428,0.01746728911485981,4.68968e-07
43,61,1,0.0888232299775374,0.0888232299775374,1.4285e-06
48,53,1,0.0006717606655416794,0.0006717606655416794,5.44473e-08
50,58,2,0.0032031273138007,0.002921422706046833,1.41312e-07
50,92,1,0.005431866327156809,0.005431866327156809,2.25248e-07
50,93,2,0.0025211241272712907,0.0018204221394685657,1.05434e-07
51,56,1,0.0007547827427411413,0.0007547827427411413,5.25947e-08
54,87,1,0.0006996756316634802,0.0006996756316634802,5.96975e-08
56,63,2,0.00034257147169456206,0.0002059543217670365,2.42531e-08
56,79,1,0.0031892606862719765,0.0031892606862719765,1.50145e-07
58,67,1,0.000975738565019975,0.000975738565019975,6.82349e-08
58,74,1,0.0020553732752758075,0.0020553732752758075,1.15152e-07
61,86,3,0.06300599658832752,0.04045839768552383,8.63117e-07
65,93,2,0.0006465758002269653,0.00049939358444117,4.3887e-08
66,79,1,0.0019272091046093054,0.0019272091046093054,1.04863e-07
74,82,2,0.00043480096068766684,0.00026202015920804645,2.93005e-08
74,93,1,0.0011627101451853767,0.0011627101451853767,8.15019e-08
75,78,4,0.11723337648449335,0.05141265976877679,9.77923e-07
75,89,1,0.0015975499967637945,0.0015975499967637945,9.42582e-08
78,79,1,0.0007202433813996489,0.0007202433813996489,5.27406e-08
78,96,1,0.005907248420315163,0.005907248420315163,2.25668e-07
83,96,1,0.012780166555199663,0.012780166555199663,3.84143e-07
86,92,2,0.008783695175264922,0.008782886855106411,3.01907e-07
87,93,1,0.00020558120995645493,0.00020558120995645493,2.26974e-08
