mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
5,37,2,7.610838350692836e-05,6.813847380753402e-05,1.01768e-08
6,31,1,2.4019741599599607e-06,2.4019741599599607e-06,1.3309e-09
7,37,1,4.023036224496245e-05,4.023036224496245e-05,6.67609e-09
10,43,1,0.00023497831157706872,0.00023497831157706872,2.77083e-08
11,92,1,0.00039137492826316815,0.00039137492826316815,3.71537e-08
26,27,1,0.0010457094920755955,0.0010457094920755955,6.91418e-08
26,40,2,0.0014126985046344594,0.000999269755747786,7.15554e-08
26,92,1,0.00039472505534358975,0.00039472505534358975,3.61977e-08
27,43,1,0.00042601714508950226,0.00042601714508950226,4.12377e-08
30,36,1,3.386264536853109e-06,3.386264536853109e-06,1.43119e-09
34,81,1,0.00019721263619646687,0.00019721263619646687,2.38082e-08
35,70,1,0.00043511312010470336,0.00043511312010470336,3.68982e-08
37,92,1,0.0009889252058639217,0.0009889252058639217,6.95472e-08
40,72,1,0.0022184035591769594,0.0022184035591769594,1.113e-07
40,74,1,0.0031599214856646357,0.0031599214856646357,1.52993e-07
43,58,2,0.001840631959025859,0.0016188884381074565,1.0081e-07
55,82,1,0.00033412628617036406,0.00033412628617036406,2.68623e-08
58,72,1,0.0011536623160357626,0.0011536623160357626,6.76551e-08
58,83,1,0.0012486140341134244,0.0012486140341134244,8.07077e-08
58,94,1,0.0005563852453660145,0.0005563852453660145,4.62258e-08
60,62,1,0.00012596377862723077,0.00012596377862723077,1.68352e-08
62,70,2,0.0019002100500337727,0.0017014451662892341,9.98564e-08
62,81,1,0.00021201924352841182,0.00021201924352841182,2.4604e-08
62,83,1,0.0009369137498121158,0.0009369137498121158,6.634e-08
71,81,2,0.0006167066016017397,0.0006158320078852674,5.07581e-08
72,96,1,0.006577507721789462,0.006577507721789462,2.41812e-07
74,82,2,0.0010947717083488132,0.0006966054695091045,5.76074e-08
80,82,1,0.0012698879785973248,0.0012698879785973248,8.22191e-08
