mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
3,8,2,0.005484475447784073,0.004479206194635942,1.88714e-07
3,35,1,0.006902927393135466,0.006902927393135466,2.56956e-07
3,36,1,0.0024370144809682604,0.0024370144809682604,1.23192e-07
3,78,1,0.002889426574298783,0.002889426574298783,1.43811e-07
4,10,1,0.00036916959947975135,0.00036916959947975135,3.51142e-08
4,44,1,0.00011385901648701344,0.00011385901648701344,1.62796e-08
5,34,1,0.00030582432136802004,0.00030582432136802004,2.98027e-08
5,37,2,0.0010881178341755286,0.0007411804686309536,5.741e-08
6,31,1,7.227301826401053e-05,7.227301826401053e-05,1.18046e-08
6,47,1,0.00011846042027647885,0.00011846042027647885,1.68991e-08
6,85,1,4.2710865285593315e-05,4.2710865285593315e-05,8.54493e-09
7,15,2,0.001007485262959847,0.0007707638551370225,5.80069e-08
7,37,2,0.0015659689601644194,0.0008105147946430158,6.18259e-08
7,44,2,0.0004206883758355231,0.0002866938680655029,3.21e-08
7,73,1,7.723048168702561e-05,7.723048168702561e-05,4.49696e-09
8,23,1,0.0009483222269281681,0.0009483222269281681,6.88148e-08
10,43,1,0.0010264376353690465,0.0010264376353690465,6.9001e-08
10,73,1,0.0002611148555089312,0.0002611148555089312,2.83279e-08
11,29,1,0.0005169778730409649,0.0005169778730409649,4.49302e-08
11,92,3,0.0028817404123827684,0.0016225863556606163,1.00709e-07
12,89,3,0.002908064003598344,0.0020078104532263497,1.1451e-07
13,19,2,0.0013122810077148992,0.0008038528951997374,6.0117e-08
13,55,2,0.0008693980822362721,0.0005933012552439106,4.86499e-08
17,29,1,0.00025076275866081946,0.00025076275866081946,2.79542e-08
18,26,2,0.007210249819463965,0.004831003336169516,2.09647e-07
18,47,1,0.0017280098053930161,0.0017280098053930161,9.84498e-08
19,23,2,0.001206281339818843,0.0007190324658765834,5.62355e-08
20,26,1,0.0005319342122222969,0.0005319342122222969,4.43636e-08
21,22,1,0.0008111349932258131,0.0008111349932258131,6.01486e-08
21,24,1,0.00029398296755834343,0.00029398296755834343,3.06127e-08
21,55,2,0.0007813936882456811,0.0006928969447283628,5.81412e-08
22,65,1,2.038973917670356e-05,2.038973917670356e-05,5.00613e-09
23,88,1,0.00012961664910782103,0.00012961664910782103,1.8052e-08
24,33,1,0.00027408637975956574,0.00027408637975956574,2.88371e-08
24,69,1,0.00015944738173670334,0.00015944738173670334,2.0387e-08
25,56,1,2.972157053623008e-05,2.972157053623008e-05,6.60586e-09
26,27,1,0.0016067920107071137,0.0016067920107071137,9.34596e-08
26,40,1,0.0074823334486843075,0.0074823334486843075,2.66017e-07
27,43,2,0.007683377663602765,0.004544686664653681,1.91107e-07
28,35,2,0.0024873775009007838,0.002399376014920546,1.25041e-07
29,33,2,0.00013143956091889124,9.404175261308138e-05,1.43282e-08
29,34,1,0.00035207725520188036,0.00035207725520188036,3.43329e-08
30,36,2,0.011698068891772887,0.006316318751274353,2.42036e-07
30,49,3,0.01812663523998192,0.013500369626439863,3.88341e-07
32,44,1,0.0006222613636841034,0.0006222613636841034,5.10628e-08
32,52,2,0.0014229545810008433,0.0011255957233755154,7.55469e-08
32,54,2,0.000884433455068058,0.0007834609588575552,6.08123e-08
34,55,1,0.0006906735962095265,0.0006906735962095265,5.44777e-08
34,81,1,0.0010043546857783857,0.0010043546857783857,6.88955e-08
35,70,2,0.00872587004914574,0.004659476471600646,1.93663e-07
37,62,2,0.0013419832337247172,0.0013230169683303386,9.01701e-08
37,73,1,0.0006085361359987178,0.0006085361359987178,5.00018e-08
37,92,1,0.0003484914588881627,0.0003484914588881627,3.15548e-08
40,58,1,0.0008790651719086021,0.0008790651719086021,6.1356e-08
40,72,2,0.010642657041383586,0.006153475187080955,2.46057e-07
40,74,1,0.002675857693669452,0.002675857693669452,1.323e-07
40,81,1,0.0010359061003570738,0.0010359061003570738,6.14798e-08
43,58,2,0.003990156138998166,0.0025444895100805586,1.31474e-07
48,61,2,6.601169690088589e-05,4.2725574944570375e-05,9.01959e-09
49,86,3,0.02564509653280718,0.013357652169127628,4.14118e-07
