mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
2,14,1,8.356095540705599e-05,8.356095540705599e-05,1.34449e-08
3,28,2,0.005009886258437821,0.002719151062063454,1.35946e-07
4,73,1,0.001873190552816237,0.001873190552816237,1.02999e-07
21,49,1,0.0004926993804359814,0.0004926993804359814,3.92995e-08
24,64,1,1.6326477207897603e-06,1.6326477207897603e-06,1.54321e-09
28,68,2,0.00030663029278432224,0.00018328020130559656,2.34999e-08
33,40,4,0.03103978524399729,0.017661660781657085,4.71804e-07
33,49,2,0.00322060311128729,0.001961444072445095,1.0644e-07
40,65,2,0.027400058501252895,0.02495021347498103,6.24862e-07
40,87,2,0.009609677439330538,0.007227599850144997,2.63382e-07
42,67,1,1.1722888261077131e-07,1.1722888261077131e-07,1.13452e-10
57,64,1,2.3988167654627145e-05,2.3988167654627145e-05,5.81119e-09
57,69,1,3.857113496346847e-06,3.857113496346847e-06,1.84655e-09
60,87,1,0.0035771820578424578,0.0035771820578424578,1.61116e-07
65,95,1,0.02539692026282124,0.02539692026282124,5.97076e-07
68,94,1,0.0033643066726147305,0.0033643066726147305,1.54436e-07
73,87,2,0.0012849735080585538,0.0008728626418075412,6.05504e-08
94,95,2,0.004615106231875607,0.0032737881269049775,1.52428e-07
