mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
1,67,1,0.0030849714849302905,0.0030849714849302905,1.34145e-07
1,78,2,0.004176477631590202,0.00303108607479052,1.50387e-07
2,14,1,0.004174722966985474,0.004174722966985474,1.71068e-07
2,31,1,0.002460079410470524,0.002460079410470524,1.20615e-07
2,42,2,0.0019106887217161645,0.00108049046607779,7.73333e-08
3,28,2,0.006378778379692634,0.0032237970338205224,1.63619e-07
3,29,1,0.00020846490872675528,0.00020846490872675528,2.11815e-08
7,24,1,0.014958473649664258,0.014958473649664258,4.2439e-07
7,34,1,0.008015294400044455,0.008015294400044455,2.78077e-07
11,19,2,0.0020328784777271505,0.001367236526866179,8.59609e-08
14,32,1,0.0009398047842743726,0.0009398047842743726,6.8593e-08
17,30,1,0.00857401612685094,0.00857401612685094,2.90825e-07
17,34,2,0.01608216561215138,0.010728925004482042,3.3928e-07
17,49,2,0.001436040871057903,0.0011206814264522278,7.76997e-08
18,41,1,0.0022364364487983466,0.0022364364487983466,1.13765e-07
18,69,1,0.00016367611856251356,0.00016367611856251356,1.8478e-08
19,96,1,0.0018649941741852706,0.0018649941741852706,1.06315e-07
19,98,2,0.0006426468038046994,0.0006231903407349635,5.05194e-08
19,99,1,0.0009725886674386042,0.0009725886674386042,6.9096e-08
20,66,1,0.0009124081211026127,0.0009124081211026127,6.71068e-08
21,55,1,3.354705659611436e-05,3.354705659611436e-05,6.04184e-09
24,50,3,0.052207311581454814,0.024416300802750607,5.89458e-07
24,54,2,0.02706673947162192,0.026224022636918237,6.10366e-07
24,78,2,0.025545484262567038,0.020994154213790087,5.29906e-07
28,68,2,0.029978038111934495,0.016013371376802574,4.38043e-07
29,84,1,0.00046371351486235553,0.00046371351486235553,3.91366e-08
31,78,2,0.010987294283358406,0.006619879065165843,2.45557e-07
32,96,1,0.0004036762916686711,0.0004036762916686711,3.40061e-08
33,40,4,0.1297133869689578,0.08821699500918687,1.37099e-06
33,49,1,0.0029422051766149824,0.0029422051766149824,1.45411e-07
34,50,2,0.01494917079878394,0.009280469343194663,3.1584e-07
34,71,1,0.0045544772732528166,0.0045544772732528166,1.89466e-07
34,79,1,0.0011716323746312407,0.0011716323746312407,7.55003e-08
37,75,1,0.00021014418524244253,0.00021014418524244253,2.33737e-08
40,47,1,0.03409193970515758,0.03409193970515758,7.71378e-07
40,65,3,0.11004014963383447,0.04913696076897817,9.73128e-07
40,87,1,0.03345909519122865,0.03345909519122865,7.46593e-07
41,48,1,0.0015973492817715229,0.0015973492817715229,9.56625e-08
41,54,1,0.003310433455697305,0.003310433455697305,1.51925e-07
47,50,2,0.031818187867576536,0.02317479913893538,5.80339e-07
48,58,1,0.0015935058627447498,0.0015935058627447498,9.49315e-08
50,64,1,0.0007668699106862649,0.0007668699106862649,5.68906e-08
50,70,2,0.06963921560568878,0.044184395081041904,8.64599e-07
52,78,2,0.006539306422874667,0.005639923387881789,2.15709e-07
53,75,1,0.0003191345684753847,0.0003191345684753847,3.05952e-08
56,99,1,0.0008544775854813279,0.0008544775854813279,6.41784e-08
57,64,2,0.005290243826235668,0.003751625710571485,1.72094e-07
58,60,1,0.023889549906894438,0.023889549906894438,5.88493e-07
58,63,4,0.04432638589113809,0.021602968860695973,5.41972e-07
58,73,1,0.018560013375054446,0.018560013375054446,5.23226e-07
60,87,2,0.025817210419267905,0.016572542651578846,4.50487e-07
63,93,1,0.0006921930286430223,0.0006921930286430223,5.44226e-08
65,95,3,0.08996417060750891,0.045232984662864115,8.82122e-07
68,94,1,0.0007433376676957854,0.0007433376676957854,7.03786e-08
68,97,3,0.058798729286821616,0.03744142529703297,7.78987e-07
71,96,2,0.002663931331199682,0.0015555736900738583,9.30474e-08
73,87,1,0.014816684678749461,0.014816684678749461,4.43706e-07
74,94,2,0.035993633631185414,0.02769118257906231,6.38485e-07
76,84,1,0.0008152090297545839,0.0008152090297545839,6.00858e-08
79,91,1,0.0008135098541496348,0.0008135098541496348,4.99843e-08
89,99,1,4.792072449932284e-05,4.792072449932284e-05,1.20693e-08
94,95,2,0.027522328735472168,0.017977807251474135,4.725e-07
94,97,1,0.0058382136862913814,0.0058382136862913814,2.21111e-07
