mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
1,48,2,6.415760720205497e-06,3.753542645408468e-06,3.74567e-07
2,21,1,3.895545163534071e-06,3.895545163534071e-06,3.75396e-07
2,43,2,3.4715750492945495e-05,2.182216574316124e-05,1.01507e-06
2,49,1,4.795791834556626e-06,4.795791834556626e-06,4.37033e-07
3,6,3,1.2504350505746664e-05,5.904390499255617e-06,5.06211e-07
3,28,2,8.764572521409565e-06,5.167254126982822e-06,4.60842e-07
4,14,1,5.98181573931436e-06,5.98181573931436e-06,5.07916e-07
4,26,1,6.690018331758442e-06,6.690018331758442e-06,5.51888e-07
5,73,2,4.056010456813258e-06,3.401330694463565e-06,3.39627e-07
5,83,4,2.561995221366162e-05,9.537046877486973e-06,6.81062e-07
6,20,1,3.037484942533378e-06,3.037484942533378e-06,3.2251e-07
6,23,2,1.2836163788744215e-05,7.084880032280011e-06,5.72114e-07
6,30,2,1.0797521335827354e-05,6.301911000133213e-06,5.20996e-07
6,73,3,2.0038059296691198e-05,9.280886486699425e-06,6.81042e-07
7,19,3,7.4275959718070925e-06,3.943516203516856e-06,3.58139e-07
7,75,4,0.0004482507533345279,0.00023784396020026322,5.66767e-06
7,89,2,3.6221161395606924e-06,2.407776325997911e-06,2.67985e-07
8,25,2,8.287454784231731e-06,4.202864519431479e-06,3.96297e-07
8,26,4,1.718075255265831e-05,8.282919783107886e-06,6.22141e-07
8,30,3,1.40064024479209e-05,6.39670140530258e-06,5.29947e-07
8,45,4,2.941805830549077e-05,9.137822977525884e-06,6.7614e-07
9,34,2,1.7872796823111622e-06,1.1500143251246917e-06,1.70571e-07
9,69,1,8.477996593517835e-08,8.477996593517835e-08,2.76801e-08
9,80,2,2.068099338953585e-06,1.6191432403483764e-06,2.14103e-07
10,39,1,2.0376735784450367e-06,2.0376735784450367e-06,2.47765e-07
11,38,1,7.959695614808396e-06,7.959695614808396e-06,5.9961e-07
11,61,1,5.3865651401070054e-05,5.3865651401070054e-05,1.77245e-06
12,41,4,1.0237845935918838e-05,4.3254675119112845e-06,4.04975e-07
12,60,1,9.505487144002669e-06,9.505487144002669e-06,6.97549e-07
12,73,3,3.7642305573705033e-06,2.589954131343642e-06,2.9177e-07
13,26,2,9.983646530304092e-06,6.7716543610202075e-06,5.56371e-07
13,27,1,6.578418077387602e-06,6.578418077387602e-06,5.43935e-07
13,42,2,2.7072222188191017e-05,1.6997526626085927e-05,1.01801e-06
13,68,2,1.9994981174192033e-05,1.1500289670811819e-05,7.9002e-07
14,24,2,4.318534324511064e-06,3.204052006950574e-06,3.35035e-07
14,60,2,8.92779288644481e-06,5.7418656344867565e-06,4.94722e-07
14,65,1,6.368101093096827e-07,6.368101093096827e-07,1.12724e-07
15,88,2,6.743605911581489e-06,4.7858893412618725e-06,4.38276e-07
16,21,1,1.4592412921258085e-06,1.4592412921258085e-06,1.95812e-07
16,55,1,1.7675400201955823e-07,1.7675400201955823e-07,4.76676e-08
17,42,2,4.556808840833031e-06,3.2678235793385484e-06,3.38733e-07
17,65,3,4.063333505879005e-06,2.2613435667314334e-06,2.66264e-07
18,22,3,1.0123469259036549e-05,4.209740709215236e-06,3.9863e-07
18,52,1,2.1425497481888255e-06,2.1425497481888255e-06,2.5698e-07
19,20,1,2.1761405479161958e-06,2.1761405479161958e-06,2.55922e-07
20,35,1,1.0162936805963126e-05,1.0162936805963126e-05,7.06719e-07
21,38,1,2.6652502365436537e-06,2.6652502365436537e-06,2.9477e-07
22,32,2,7.753245739116954e-06,4.973149679207333e-06,4.48243e-07
22,36,2,1.1282360767895292e-05,5.65196762939244e-06,4.9159e-07
22,54,1,9.265007750537503e-07,9.265007750537503e-07,1.38566e-07
22,85,2,2.2553358874060618e-06,2.209097995871845e-06,2.57164e-07
23,56,1,6.418566049835431e-07,6.418566049835431e-07,1.08787e-07
23,66,2,4.5678614696886384e-06,3.2509432678199724e-06,3.4015e-07
