mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
1,48,2,6.3399352070316074e-06,3.780898666534188e-06,3.76682e-07
2,21,1,3.887338748439858e-06,3.887338748439858e-06,3.77756e-07
2,43,2,8.57099085988588e-06,6.998347755063619e-06,5.64073e-07
2,49,1,4.951409551753925e-06,4.951409551753925e-06,4.46795e-07
3,6,3,1.260115627278731e-05,5.878472987111534e-06,5.05502e-07
3,28,2,8.538707467850238e-06,5.065168732551464e-06,4.55488e-07
4,14,1,6.127546164021042e-06,6.127546164021042e-06,5.18968e-07
4,26,1,6.883831611280814e-06,6.883831611280814e-06,5.62798e-07
5,73,2,4.047333029254047e-06,3.3730310684308854e-06,3.4357e-07
5,83,4,2.0570375575632285e-05,7.337870161334282e-06,5.85996e-07
6,20,1,3.035320534816216e-06,3.035320534816216e-06,3.22562e-07
6,23,2,1.2514280538570888e-05,7.010608857125036e-06,5.67657e-07
6,30,2,1.0660282686202393e-05,6.259831087888874e-06,5.21699e-07
6,73,3,2.0639620298540685e-05,9.442126493497108e-06,6.90331e-07
7,19,3,4.842083005803705e-06,3.1787368508865278e-06,3.34383e-07
7,89,2,4.81952577845962e-06,2.8759599512108995e-06,3.13382e-07
8,25,2,8.048998999604498e-06,4.14051087048398e-06,3.92381e-07
8,26,4,1.6717761078279523e-05,8.098291278757513e-06,6.12854e-07
8,30,3,1.3886110401266436e-05,6.369507805238957e-06,5.29298e-07
8,45,4,2.9389732570626762e-05,8.94498270959201e-06,6.67233e-07
9,34,2,1.8064322120091494e-06,1.2061549978613858e-06,1.76327e-07
9,69,1,9.483993792306067e-08,9.483993792306067e-08,3.03943e-08
9,80,2,2.1294683357524123e-06,1.6610265031956262e-06,2.18095e-07
10,39,1,2.10161177909337e-06,2.10161177909337e-06,2.54754e-07
11,38,1,7.987882460683808e-06,7.987882460683808e-06,6.10825e-07
11,61,1,2.8772369558569556e-06,2.8772369558569556e-06,3.11013e-07
12,41,4,1.041519719652509e-05,4.3007036401965665e-06,4.05528e-07
12,60,1,9.677083032112518e-06,9.677083032112518e-06,7.05931e-07
12,73,3,3.6988890822656323e-06,2.4996326651642236e-06,2.85181e-07
13,26,2,1.0399198633604085e-05,7.002420411389836e-06,5.69683e-07
13,27,1,6.692369799301291e-06,6.692369799301291e-06,5.50716e-07
13,42,3,2.7729199805076904e-05,1.7342619167386454e-05,1.03298e-06
13,68,2,1.9718973548138363e-05,1.1267654678547655e-05,7.7901e-07
14,24,2,4.459948625022346e-06,3.3283476666059092e-06,3.45936e-07
14,60,2,8.745117072709801e-06,5.686534838576477e-06,4.92409e-07
14,65,1,5.445808616755184e-07,5.445808616755184e-07,1.01231e-07
15,88,2,6.5311677516923925e-06,4.687081687949976e-06,4.33581e-07
16,21,1,1.5043175515711437e-06,1.5043175515711437e-06,2.02223e-07
16,55,1,1.714327519689572e-07,1.714327519689572e-07,4.73044e-08
17,42,2,4.617612683797579e-06,3.3311633115446324e-06,3.43417e-07
17,65,3,3.971636575208871e-06,2.215624518512559e-06,2.63202e-07
18,22,3,9.98433899467047e-06,4.110995735828487e-06,3.93672e-07
18,52,1,2.1578876592688973e-06,2.1578876592688973e-06,2.5885e-07
19,20,1,2.269001847987348e-06,2.269001847987348e-06,2.66911e-07
20,35,1,7.4576473498097915e-06,7.4576473498097915e-06,5.92092e-07
21,38,1,2.7539090049943553e-06,2.7539090049943553e-06,2.99964e-07
22,32,2,7.573367367707217e-06,4.929979481154054e-06,4.46616e-07
22,36,2,1.1541837359197867e-05,5.8183738469266475e-06,5.03542e-07
22,54,1,8.924157452381317e-07,8.924157452381317e-07,1.39395e-07
22,85,2,2.2747166070946206e-06,2.2363272267861427e-06,2.61559e-07
23,56,1,6.504730305393145e-07,6.504730305393145e-07,1.1055e-07
23,66,2,4.397550421410428e-06,3.273326667615837e-06,3.41904e-07
23,89,2,1.0221626415430846e-05,6.4603805797801105e-06,5.38952e-07
24,71,1,1.6000431763262172e-06,1.6000431763262172e-06,2.0799e-07
24,77,2,1.498397529755544e-05,1.3006287112112395e-05,8.45696e-07
25,51,1,1.4692480168586546e-06,1.4692480168586546e-06,1.97933e-07
25,64,1,4.551387831939177e-07,4.551387831939177e-07,9.28108e-08
25,82,3,2.775613130042323e-06,2.3802060555758614e-06,2.74451e-07
26,91,2,6.447650675653493e-06,5.079430328973909e-06,4.57805e-07
27,34,2,7.634361356064392e-06,4.338404382823252e-06,4.10741e-07
28,45,2,2.99007111332362e-06,2.9759891150279766e-06,3.12826e-07
28,56,2,3.045176803671078e-06,2.256535756519714e-06,2.67106e-07
28,94,2,2.151961322513363e-06,1.3737089838313645e-06,1.9238e-07
29,32,1,7.494314087766805e-06,7.494314087766805e-06,5.84332e-07
29,52,1,4.914438090596014e-07,4.914438090596014e-07,9.40245e-08
29,65,2,1.322745080145749e-06,6.917735983702254e-07,1.16782e-07
30,41,3,7.027098319883448e-06,3.2709251053127155e-06,3.41806e-07
30,67,2,1.2286750579543741e-05,6.834853878155406e-06,5.59509e-07
31,53,4,1.8352811310903384e-05,9.172239945950444e-06,6.71581e-07
32,69,4,4.174402763924268e-06,1.3320633812040853e-06,1.86306e-07
32,87,1,3.1556853041613638e-06,3.1556853041613638e-06,3.26773e-07
33,49,2,2.230736570046015e-06,1.3600145859828123e-06,1.88295e-07
33,50,2,3.039869620912757e-06,1.5711023568596668e-06,2.08907e-07
33,59,2,1.7222352197922805e-06,1.0789743701480634e-06,1.63467e-07
33,73,3,8.111669740410472e-06,4.758598733608456e-06,4.365e-07
34,69,3,3.95022600912628e-06,2.402037124546196e-06,2.77178e-07
34,84,1,2.462031734198404e-06,2.462031734198404e-06,2.82923e-07
35,66,1,1.5793899859755982e-07,1.5793899859755982e-07,4.18075e-08
35,75,1,5.348218845036916e-06,5.348218845036916e-06,4.42707e-07
36,54,2,5.312388070187836e-06,3.013688058032052e-06,3.22948e-07
37,39,1,2.2826099134394384e-06,2.2826099134394384e-06,2.67413e-07
38,53,3,1.4423423968522747e-05,8.112911331611114e-06,6.17787e-07
38,62,1,4.940653573397047e-06,4.940653573397047e-06,4.4363e-07
38,81,2,3.900180251724323e-06,2.6338163364562836e-06,2.92785e-07
39,88,3,8.470905709493973e-06,4.566518011995683e-06,4.27086e-07
40,43,3,3.7050359594880695e-06,2.2054202436408803e-06,2.61759e-07
40,49,1,3.7348478237941634e-06,3.7348478237941634e-06,3.72006e-07
40,83,2,7.859026180870908e-06,7.823842147909172e-06,5.9903e-07
40,92,1,6.202701007783706e-06,6.202701007783706e-06,4.86152e-07
41,74,2,9.106707261859918e-06,6.168759550136478e-06,5.18275e-07
42,69,2,2.3676220400370068e-06,1.5333482212664547e-06,2.03759e-07
42,74,2,1.8263289446878708e-05,1.1202840534621074e-05,7.76771e-07
42,84,1,3.668783581368762e-06,3.668783581368762e-06,3.65598e-07
42,91,1,1.6174768293981833e-06,1.6174768293981833e-06,2.01751e-07
43,61,4,8.274472373775782e-06,3.606680447290694e-06,3.5241e-07
44,49,2,9.98316658989681e-06,5.2704316142987766e-06,4.68433e-07
44,73,2,5.805304579884825e-06,3.5391760977662585e-06,3.59527e-07
45,47,3,9.043284248242958e-06,4.341253418127074e-06,4.11899e-07
46,53,1,4.165965275371363e-06,4.165965275371363e-06,3.96269e-07
